Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Economía General I,B,2020-03-30,Clase 01-B-30-03-2020,1:37:50,https://ca.bbcollab.com/recording/1504d9ed0fa440ff8dc14e1260d993d1
Economía General I,B,2020-03-30,Clase 01-B-30-03-2020,1:09:56,https://ca.bbcollab.com/recording/947ce98976ce4972a302b169da52c450
Economía General I,B,2020-03-31,PD-01-B-31-03-2020,1:58:25,https://ca.bbcollab.com/recording/2e2d66e1995f48108821f8a80c15ab73
Economía General I,B,2020-04-01,Clase 02-B-01-04-2020,2:09:56,https://ca.bbcollab.com/recording/590c133f47364655bef6943775d65476
Economía General I,B,2020-04-06,Clase-03-B-06-04-2020,1:49:17,https://ca.bbcollab.com/recording/40e33de8e034472faf06980e522d8eb8
Economía General I,B,2020-04-07,PD-02-B-07-04-2020,1:56:57,https://ca.bbcollab.com/recording/e52fdcb6332749dca576537de768b94e
Economía General I,B,2020-04-08,Clase-04-B-08-04-2020,1:42:29,https://ca.bbcollab.com/recording/e3e6b840f21143b3bd67e0ec5c19046a
Economía General I,B,2020-04-13,Clase-05-B-13-04-2020,1:36:31,https://ca.bbcollab.com/recording/697b1b27b8d542d7a731735da6fd0a25
Economía General I,B,2020-04-14,PD-03-B-14-04-2020,1:40:52,https://ca.bbcollab.com/recording/1117e9ac5bac46caafc5a84da42e2003
Economía General I,B,2020-04-15,Clase-06-B-15-04-2020,1:46:54,https://ca.bbcollab.com/recording/2aea5b4e3ebd4b5cb2135db0830436b4
Economía General I,B,2020-04-20,Clase 07-B-20-04-2020,1:55:37,https://ca.bbcollab.com/recording/5cbf44dd58414717a048391014ca1c8c
Economía General I,B,2020-04-21,PD-04-B-14-04-2020,1:05:17,https://ca.bbcollab.com/recording/b84e5e60ab0c45198122770caf18e566
Economía General I,B,2020-04-22,Clase-08-B-22-04-2020,1:39:52,https://ca.bbcollab.com/recording/f9379901ca494c99beef90c4c1928aa7
Economía General I,B,2020-04-27,Clase 09 B-27-04-2020,1:33:56,https://ca.bbcollab.com/recording/5cebe76231ce46ba8dacded5debbdcf7
Economía General I,B,2020-04-29,Clase 10-B-29-04-2020,1:48:15,https://ca.bbcollab.com/recording/be7ddf28f0eb49b1a4c4ac1b8574e4e1
Economía General I,B,2020-05-04,clase 11-B-04-05-2020,1:43:16,https://ca.bbcollab.com/recording/72452f6ef65c46398d493b46f68fd3d0
Economía General I,B,2020-05-05,PD-05-05-05-2020,1:51:39,https://ca.bbcollab.com/recording/3c092a2468884d6fa551cd3264ea389c
Economía General I,B,2020-05-06,Clase 12-B-06-05-2020,1:55:33,https://ca.bbcollab.com/recording/ebf2444a1a924a6b80e9a3adc81ab46b
Economía General I,B,2020-05-11,Clase 13-B-11-05-2020,2:11:01,https://ca.bbcollab.com/recording/7d1b8274fe524a63bb4bcfec6e6aaa5f
Economía General I,B,2020-05-12,PD-06-B-12-05-2020,1:59:39,https://ca.bbcollab.com/recording/6edc29199228451680657e668e04e068
Economía General I,B,2020-05-13,Clase 14-B-13-05-2020,1:44:12,https://ca.bbcollab.com/recording/39c1a139c6bb4a10914f49678aaf3219
Economía General I,B,2020-05-19,Examen parcial seccion B,1:43:13,https://ca.bbcollab.com/recording/4d1e7527fd784c15af86676d3be29aab
Economía General I,B,2020-05-25,Clase 15-B-25-05-2020,1:41:44,https://ca.bbcollab.com/recording/f1168b2b3f3a49cb9f4302ac80c6d204
Economía General I,B,2020-05-26,PD-07-B-26-05-2020,1:43:42,https://ca.bbcollab.com/recording/1278116feb1348989e42e898246c2f64
Economía General I,B,2020-05-27,Clase 16-B-27-05-2020,1:30:41,https://ca.bbcollab.com/recording/2865df03e2e044c1b3361693956d18c2
Economía General I,B,2020-06-01,Clase 17-B-01-06-2020,0:31:55,https://ca.bbcollab.com/recording/0fb23bb96bb0498487803291f561cbb4
Economía General I,B,2020-06-02,PD-08-B-02-06-2020,1:40:22,https://ca.bbcollab.com/recording/89aa35c45d384eeba472b188883a2232
Economía General I,B,2020-06-03,Clase 18-B-03-06-2020,1:37:04,https://ca.bbcollab.com/recording/7a7398d26ddc4b0d95afaf533edc2ad7
Economía General I,B,2020-06-08,Clase 19-B-08-06-2020,1:44:42,https://ca.bbcollab.com/recording/58f593099cc344e298e01272c14accc4
Economía General I,B,2020-06-09,PD-09-B-09-06-2020,1:59:14,https://ca.bbcollab.com/recording/97e2cfb5bfb74a5194e34a64a04d5565
Economía General I,B,2020-06-10,Clase 20-B-10-06-2020,1:39:38,https://ca.bbcollab.com/recording/1be9cd9cb9de44e2ab7c66391563a4ab
Economía General I,B,2020-06-15,Clase 21-B-15-06-2020,1:35:57,https://ca.bbcollab.com/recording/a792302c805f4d7fadd91de59eafb5ea
Economía General I,B,2020-06-16,PD-10-B-16-06-2020,2:14:08,https://ca.bbcollab.com/recording/66334b8abc3b4b2bbe3ea9eb2b8cd4df
Economía General I,B,2020-06-17,Clase 22-B-17-06-2020,1:26:21,https://ca.bbcollab.com/recording/cb5edc1e41264453937666b12be3f33c
Economía General I,B,2020-06-22,Clase 23-B-22-06-2020,1:48:49,https://ca.bbcollab.com/recording/171b4a771a934c269754b525e2dacadc
Economía General I,B,2020-06-23,PC2 23-06-2020,1:46:25,https://ca.bbcollab.com/recording/991db12b264c45b3a0bc982106ce544b
Economía General I,B,2020-06-24,Clase 24-B-24-06-2020,1:52:37,https://ca.bbcollab.com/recording/9221ba7bb82d44f691ae01a456b292bd
Economía General I,B,2020-06-30,PD-11-B-30-06-2020,1:28:37,https://ca.bbcollab.com/recording/b0d748e031544cbd967c2c4d59a815c8
Economía General I,B,2020-07-01,Clase 25 B 01-07-2020,1:35:00,https://ca.bbcollab.com/recording/8585a313749f476cb5e2aad91d7c1b81
Economía General I,B,2020-07-06,Clase 27-B-06-07-2020,1:58:40,https://ca.bbcollab.com/recording/357b7ea0378e42a9a4b93debb8b25cf0
Economía General I,B,2020-07-07,PD-12-B-07-07-2020,1:52:44,https://ca.bbcollab.com/recording/fca42052032d4c77818349486daaed05
Economía General I,B,2020-07-08,Clase 28 B 08-07-2020,2:08:42,https://ca.bbcollab.com/recording/49e17434bd584997a9d8d6296aaf2ac7
Economía General I,B,2020-07-08,Clase 28 B 08-07-2020,2:08:42,https://ca.bbcollab.com/recording/49e17434bd584997a9d8d6296aaf2ac7
Economía General I,B,2020-07-14,Examen final seccion B,0:00:14,https://ca.bbcollab.com/recording/ebf90de9be70420d8d073e8bc4b3b6d6
Economía General I,B,2020-07-14,Examen final seccion B,0:00:14,https://ca.bbcollab.com/recording/ebf90de9be70420d8d073e8bc4b3b6d6
