Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Economía General I,E,2020-04-01,Sesión 02 (01/04),2:36:39,https://ca.bbcollab.com/recording/caacf5894206442a96bcf2dcf8c532e7
Economía General I,E,2020-04-04,Sesión 03 (04/04),2:16:25,https://ca.bbcollab.com/recording/c4fa118935be44d3a42c359f19d953d3
Economía General I,E,2020-04-06,Sesión 05 (06/04),2:00:26,https://ca.bbcollab.com/recording/d874561dc85340d48a1cf2d019494679
Economía General I,E,2020-04-07,Clase Práctica_Sesión 01 (07/04),1:59:19,https://ca.bbcollab.com/recording/f030000b66044b51b3c96ec86c248926
Economía General I,E,2020-04-08,Sesión 06 (08/04),2:07:57,https://ca.bbcollab.com/recording/e16bb53fd60d4741b08c3f409a899205
Economía General I,E,2020-04-13,Sesión 07 (13/04),2:10:43,https://ca.bbcollab.com/recording/a88a530fb10c4d09bb82afd22ef16029
Economía General I,E,2020-04-14,Clase Práctica_Sesion 02(14/04),1:59:19,https://ca.bbcollab.com/recording/ae360ffebf7f4114bbfea379e1dd45ae
Economía General I,E,2020-04-15,Sesión 08 (15/04),2:06:01,https://ca.bbcollab.com/recording/c5e58cb394594408ac1a937e69d5814c
Economía General I,E,2020-04-17,Clase Práctica_Sesión 03,1:53:21,https://ca.bbcollab.com/recording/0c7b4d242ee24df18c9188d09371550c
Economía General I,E,2020-04-20,Sesión 09 (20/04),2:18:21,https://ca.bbcollab.com/recording/b7f0d453f6864fa699a12a280774ab69
Economía General I,E,2020-04-21,Clase Práctica_Sesión 04,2:12:16,https://ca.bbcollab.com/recording/e72b819c5b9b4db68a351925ef440aef
Economía General I,E,2020-04-22,Sesión 10 (22/04),2:08:44,https://ca.bbcollab.com/recording/bb5c94b47e904170a0e30f0c8279b0e0
Economía General I,E,2020-04-27,Sesión 11 (27/04),2:17:18,https://ca.bbcollab.com/recording/d2df84ace50040209325e981400cebc7
Economía General I,E,2020-04-28,PC1,1:46:38,https://ca.bbcollab.com/recording/319c8cf225854d1e817d40210a55ba33
Economía General I,E,2020-04-29,Sesión 12 (29/04),2:04:47,https://ca.bbcollab.com/recording/c0672994676b49d2a4a6410b118d8b9e
Economía General I,E,2020-05-04,Sesión 13 (04/05),2:06:12,https://ca.bbcollab.com/recording/f5b863bf81d447fcaace8c8d8d58e091
Economía General I,E,2020-05-05,Clase_Practica_Sesión05(05/05),1:45:56,https://ca.bbcollab.com/recording/05549f7216554180bf585fd2bd4ecd52
Economía General I,E,2020-05-05,Clase_Practica_Sesión05(05/05),0:15:00,https://ca.bbcollab.com/recording/3651ff3f24b1442a9506c1d198a25bfb
Economía General I,E,2020-05-06,Sesión 14 (06/05),2:10:36,https://ca.bbcollab.com/recording/ff63c8afc7da4d4e84db8209abab23bc
Economía General I,E,2020-05-11,Sesión 16 (11/05),2:10:15,https://ca.bbcollab.com/recording/7414263e42ca47bf8ac9162880fb4ea8
Economía General I,E,2020-05-12,Clase Práctica_Sesión 06,2:04:00,https://ca.bbcollab.com/recording/f1e9e41398d8470bab63fc908c4b2fa3
Economía General I,E,2020-05-13,Sesión 17 (13/05),2:38:30,https://ca.bbcollab.com/recording/6a6ee40d05f744488c5e9ebcbc823a1d
Economía General I,E,2020-05-19,Examen parcial (19/05),2:30:33,https://ca.bbcollab.com/recording/52917a176c4141e7bc2be696552c2369
Economía General I,E,2020-05-25,Sesión 18 (25/05),2:06:22,https://ca.bbcollab.com/recording/0af626105c86484c9d93e1bc86d4176e
Economía General I,E,2020-05-27,Sesión 19 (27/05),2:05:41,https://ca.bbcollab.com/recording/895b6a74f11c43e2a42cae491a112e8b
Economía General I,E,2020-06-01,Sesión 20 (01/06),1:53:40,https://ca.bbcollab.com/recording/7ba7d343b8ee48df86ca8a31965b6803
Economía General I,E,2020-06-02,Clase_Práctica_Sesión07,2:06:35,https://ca.bbcollab.com/recording/f3e72f4ccaeb4da396c4dcab3437e5c2
Economía General I,E,2020-06-03,Sesión 21 (03/06),2:02:32,https://ca.bbcollab.com/recording/b7fe25e5facc4286acd0a0a2c2cea950
Economía General I,E,2020-06-08,Sesión 22 (08/06),2:08:29,https://ca.bbcollab.com/recording/3bd75cac604f4f3a9030bf6141aadbd0
Economía General I,E,2020-06-09,Clase Práctica_Sesión08 (09/06),2:04:25,https://ca.bbcollab.com/recording/ff1623d9c2dd412c8d53b14057d004a5
Economía General I,E,2020-06-10,Sesión 23 (10/06),2:03:30,https://ca.bbcollab.com/recording/943d75f08b63407d93644b067f799281
Economía General I,E,2020-06-15,Sesión 24 (15/06),2:02:38,https://ca.bbcollab.com/recording/4bb6f04e934648aea73f85a92fc42f46
Economía General I,E,2020-06-16,Clase Práctica_Sesión09 (16/06),1:56:41,https://ca.bbcollab.com/recording/c709b5f39ca24625a1a572247ae485fb
Economía General I,E,2020-06-17,Sesión 25 (17/06),2:12:16,https://ca.bbcollab.com/recording/79c70adea7f34dcd956642b3870237e4
Economía General I,E,2020-06-22,Sesión 26 (22/06),1:57:53,https://ca.bbcollab.com/recording/0435bcac138747e7bafc64b1ce9f99ce
Economía General I,E,2020-06-23,Práctica Calificada 02_23/06,1:59:54,https://ca.bbcollab.com/recording/203045c387614736ad0466bc7c095ef6
