Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Economía General I,G,2020-03-30,Clase 1,1:40:51,https://ca.bbcollab.com/recording/4cf74ee08f1b4ea28fd4670892fd0dd6
Economía General I,G,2020-03-31,Práctica Dirigida 1,1:26:50,https://ca.bbcollab.com/recording/6bf7ecdfd26d408a8d85684e05edbb55
Economía General I,G,2020-04-01,Clase 2,1:52:39,https://ca.bbcollab.com/recording/8ad1d7c2cb7b4647b1f6d900cd10cc0f
Economía General I,G,2020-04-06,Clase 3,1:38:47,https://ca.bbcollab.com/recording/63db20f0ec8d4cc4b28b9b4eb2fe8221
Economía General I,G,2020-04-07,Práctica Dirigida 2,1:57:08,https://ca.bbcollab.com/recording/d19875dc43594c7299fc6f2ea61a36df
Economía General I,G,2020-04-08,Clase 4,1:43:32,https://ca.bbcollab.com/recording/9f24e0c859d642edb50298e6b412cf71
Economía General I,G,2020-04-13,Clase 5,1:53:13,https://ca.bbcollab.com/recording/b90ef95fe3c3453a83e3dd85570e789f
Economía General I,G,2020-04-14,PD 3,1:37:20,https://ca.bbcollab.com/recording/236bb2df80f54719bc9a88626464a641
Economía General I,G,2020-04-15,Clase 6,1:26:46,https://ca.bbcollab.com/recording/2066d8f6a49f4ba6a6c4d39986a14e62
Economía General I,G,2020-04-15,PD 3,0:05:53,https://ca.bbcollab.com/recording/15caeed0f02f45b7916effc129bf622b
Economía General I,G,2020-04-20,Clase 7,1:57:41,https://ca.bbcollab.com/recording/db101b62b8a24427a29da26aecd547e3
Economía General I,G,2020-04-21,PD 4,1:02:27,https://ca.bbcollab.com/recording/43b3ab0db2614b51a8a0554e2d5ad1e5
Economía General I,G,2020-04-22,Clase 8,1:34:04,https://ca.bbcollab.com/recording/73428f3316484e2087a387652cf61903
Economía General I,G,2020-04-27,Clase 9,1:48:22,https://ca.bbcollab.com/recording/b5eca68822ad4a9eb01cfb4ec8084357
Economía General I,G,2020-04-29,Clase 10,1:55:03,https://ca.bbcollab.com/recording/c12d88336bf14e1795f88a282250fc24
Economía General I,G,2020-05-04,Clase 11,1:53:05,https://ca.bbcollab.com/recording/424af0d2722a49c6a2354863a40b0433
Economía General I,G,2020-05-05,PD 5,1:26:12,https://ca.bbcollab.com/recording/3bb3c72fe0ed4d78b8050a4993c3a00a
Economía General I,G,2020-05-06,Clase 12,1:53:22,https://ca.bbcollab.com/recording/ba7f4ad3f2a0486e84f1867a30db6f68
Economía General I,G,2020-05-11,Clase 13,1:49:44,https://ca.bbcollab.com/recording/25daafdb9dd746f1b19fd0f43d8c3341
Economía General I,G,2020-05-12,PD 5,1:34:42,https://ca.bbcollab.com/recording/54382160705145d6a86f244504fb7ddd
Economía General I,G,2020-05-13,Clase 14,1:53:42,https://ca.bbcollab.com/recording/c5fce75db56d465eb21ef8fc2fbe3888
Economía General I,G,2020-05-19,Examen Parcial,2:14:19,https://ca.bbcollab.com/recording/d6cd4bf8267a4c6b90ab3565d4d27dd0
Economía General I,G,2020-05-25,Clase 15,1:47:20,https://ca.bbcollab.com/recording/8a682b84a9bd4f8e827175a33a24e667
Economía General I,G,2020-05-26,Práctica Dirigida 6,1:22:53,https://ca.bbcollab.com/recording/5ae69d4d2421422b9571293d4a49173d
Economía General I,G,2020-05-27,Clase 16,1:35:25,https://ca.bbcollab.com/recording/06bb4df244c84fbbaeeef4a4609e1391
Economía General I,G,2020-06-01,Clase 17,1:40:13,https://ca.bbcollab.com/recording/0f846ef39780415d95c252de004c31fc
Economía General I,G,2020-06-02,PD 7,1:31:43,https://ca.bbcollab.com/recording/aeba3b617521499d84513623d9a064cb
Economía General I,G,2020-06-03,Clase 18,0:56:18,https://ca.bbcollab.com/recording/c9b5c590068245de9a082850ce053bfa
Economía General I,G,2020-06-03,Clase 18,0:29:38,https://ca.bbcollab.com/recording/ee983c19afc84918a4c15743b42956b5
Economía General I,G,2020-06-08,Clase 19,1:00:10,https://ca.bbcollab.com/recording/04585eb788034f08b38adf161e394e6f
Economía General I,G,2020-06-08,Clase 19,0:33:55,https://ca.bbcollab.com/recording/4bcebf3661c14f9f9a3bb7ccccfc164c
Economía General I,G,2020-06-09,PD8,1:49:28,https://ca.bbcollab.com/recording/990fc72e334240719b49e244369f6d56
Economía General I,G,2020-06-10,Clase 20,1:48:10,https://ca.bbcollab.com/recording/64bb0e31928b41cbbde012ed2bf011a1
Economía General I,G,2020-06-15,Clase 21,1:43:34,https://ca.bbcollab.com/recording/a50daff3add44502ab30860aa7dd5f3d
Economía General I,G,2020-06-16,PD 9,1:39:51,https://ca.bbcollab.com/recording/1ee6877c01234a2d8520279a9d91c143
