Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Economía General I,J,2020-03-30,Unidad 1: Introduccion,1:35:23,https://ca.bbcollab.com/recording/36bb966c386b4666a269072402155feb
Economía General I,J,2020-03-30,Unidad 1: Introduccion,1:31:40,https://ca.bbcollab.com/recording/eddaea58e0fe47b387e6e00df22c6773
Economía General I,J,2020-03-31,Práctica Dirigida 1 - Introducción y repaso,1:31:43,https://ca.bbcollab.com/recording/c5ec87caa2434045a3c4859c081fc3e8
Economía General I,J,2020-03-31,Práctica Dirigida 1 - Introducción y repaso,0:15:00,https://ca.bbcollab.com/recording/e4dd830aae754a709bacc0761f51bf01
Economía General I,J,2020-04-01,continuacion Unid 1 + Unid 2: Oferta y Demanda,1:26:55,https://ca.bbcollab.com/recording/03b0ae99a7354707abd74ed119828897
Economía General I,J,2020-04-01,continuacion Unid 1 + Unid 2: Oferta y Demanda,1:21:23,https://ca.bbcollab.com/recording/68e5fe99140745979d24f9847d88a944
Economía General I,J,2020-04-06,Unidad 2: Oferta y Demanda,1:40:37,https://ca.bbcollab.com/recording/ff91dae13ab1442ebfb5840564b675c5
Economía General I,J,2020-04-08,Unidad 2: Oferta y Demanda,1:38:39,https://ca.bbcollab.com/recording/8998ba16391c4d8cbf1a65e48fb02f25
Economía General I,J,2020-04-13,Unidad 2: Elasticidad,1:44:57,https://ca.bbcollab.com/recording/0f5b6f7062b24a7f82e5d36eb0283b8d
Economía General I,J,2020-04-15,Unidad 2: Elasticidad,1:40:40,https://ca.bbcollab.com/recording/9417cad4473b4790a2a27ff3e24333f2
Economía General I,J,2020-04-20,Unidad 2: Excedentes (Bienestar) e Intervencion del Estado,1:32:23,https://ca.bbcollab.com/recording/0eca80f490194d569cf45167daa1f141
Economía General I,J,2020-04-21,Práctica Dirigida 4,0:56:23,https://ca.bbcollab.com/recording/9cadc356ae864293a7b5d032595dab29
Economía General I,J,2020-04-22,Unidad 2: Excedentes (Bienestar) e Intervencion del Estado,1:37:35,https://ca.bbcollab.com/recording/f9b0adb58fde4439ad6845bda78c5867
Economía General I,J,2020-04-27,Unidad 3: Teoria de Eleccion del Consumidor,1:45:59,https://ca.bbcollab.com/recording/ab829c8c06794cb98b6595ed677ba280
Economía General I,J,2020-04-29,Unidad 3: Teoria de Eleccion del Consumidor,1:39:50,https://ca.bbcollab.com/recording/8b8c50d76bb14e4487d163763b53ff0e
Economía General I,J,2020-05-04,Unidad 3: Teoria de Eleccion del Consumidor,1:27:11,https://ca.bbcollab.com/recording/776adda770c44c95aa5ded9e3af00352
Economía General I,J,2020-05-05,Práctica Dirigida 5 - Intervención del Gobierno y Consumidor,1:32:50,https://ca.bbcollab.com/recording/9cded620ec03442c81adcd4a8f18f8e4
Economía General I,J,2020-05-06,Unidad 3: Teoria de Eleccion del Consumidor,1:32:04,https://ca.bbcollab.com/recording/f6a88aaa317a485b812adf8fd42c4476
Economía General I,J,2020-05-11,Unidad 3: Teoria de Eleccion del Consumidor,1:35:21,https://ca.bbcollab.com/recording/4d6a46051dea481c8642991936b1b249
Economía General I,J,2020-05-12,Práctica Dirigida 6 - Aranceles y Teoría del Consumidor,1:43:15,https://ca.bbcollab.com/recording/41e670a81e86410ebabe849e1b96ed9e
Economía General I,J,2020-05-13,Unidad 3: Teoria de Eleccion del Consumidor,1:44:16,https://ca.bbcollab.com/recording/fb423beaa8d349d6aebc9c6b5fb41431
Economía General I,J,2020-05-25,Unidad 4: Teoria de la Producción,1:34:20,https://ca.bbcollab.com/recording/4227310a40d9405587c03e5ef49a7a25
Economía General I,J,2020-05-26,Práctica Dirigida 6 - Producción,1:33:31,https://ca.bbcollab.com/recording/5b59687c50d149eaaad3eb227055700e
Economía General I,J,2020-05-27,Unidad 4: Teoria de la Producción,1:45:57,https://ca.bbcollab.com/recording/f9113513bcbd40a982ac8404da15781a
Economía General I,J,2020-06-01,Unidad 4: Teoria de la Producción,1:26:42,https://ca.bbcollab.com/recording/4bc9d8d90fb9401894c7409b5a6d0519
Economía General I,J,2020-06-02,Práctica Dirigida 7 - Minimización de costos,1:48:56,https://ca.bbcollab.com/recording/a68090e9d52348ef818ea84a04f945f1
Economía General I,J,2020-06-03,Unidad 4: Teoria de la Producción,1:48:30,https://ca.bbcollab.com/recording/82f1973dbd7d477ea7ddcbb8bab9adda
Economía General I,J,2020-06-08,Unidad 5: Costos de la empresa,1:43:10,https://ca.bbcollab.com/recording/5688c23558e3463fac81ffda0c20ae1c
Economía General I,J,2020-06-09,Práctica Dirigida 8 - Costos,1:46:54,https://ca.bbcollab.com/recording/1878cfe756e44430a0f69c5068e5baf9
Economía General I,J,2020-06-10,Costos de la empresa,1:44:31,https://ca.bbcollab.com/recording/066ec548061041d1991a8a61c08eddcc
Economía General I,J,2020-06-15,Unidad 5: Costos de la empresa,1:43:34,https://ca.bbcollab.com/recording/804aaf1af6d24c30b1bb409fc7de6c66
Economía General I,J,2020-06-16,Práctica Dirigida 9 - Costos y pre-PC,1:42:39,https://ca.bbcollab.com/recording/b1377a4432ae4e3bbb3993a438b1dfd7
Economía General I,J,2020-06-17,Unidad 5: Costos de la empresa,1:40:55,https://ca.bbcollab.com/recording/9bbe3ccedd2542f59c7c41453ba1d560
Economía General I,J,2020-06-22,Unidad 6: Estructuras de mercado,1:40:43,https://ca.bbcollab.com/recording/c688850dd5404feebc2944080b5bd447
Economía General I,J,2020-06-29,Unidad 6: Estructuras de mercado,1:42:00,https://ca.bbcollab.com/recording/e7a6fb03f8114aea9bf4811d88c98b2f
Economía General I,J,2020-06-30,Práctica Dirigida 9 - Competencia Perfecta,1:44:55,https://ca.bbcollab.com/recording/d6121af0908f4a2c847f490af3a005b1
Economía General I,J,2020-07-01,Unidad 6: Estructuras de mercado,1:46:55,https://ca.bbcollab.com/recording/f7c86c0ff4084a828ca637535c3f267f
Economía General I,J,2020-07-04,Unidad 6: Estructuras de mercado,1:44:24,https://ca.bbcollab.com/recording/52c3a24a57e44a53aedbbe3b82bfa1b0
Economía General I,J,2020-07-06,Unidad 7: Fallas del Mercado,1:43:26,https://ca.bbcollab.com/recording/83926037dfc347148f63f4a8a551f454
Economía General I,J,2020-07-07,Práctica Dirigida 12,1:35:11,https://ca.bbcollab.com/recording/67f7c8998af845709f8cee96cda44197
Economía General I,J,2020-07-08,Unidad 7: Fallas del Mercado,1:37:20,https://ca.bbcollab.com/recording/ce24fbf82f7149bd9d34469394e862fb
Economía General I,J,2020-07-08,Unidad 7: Fallas del Mercado,1:37:20,https://ca.bbcollab.com/recording/ce24fbf82f7149bd9d34469394e862fb
Economía General I,J,2020-07-14,Examen Final Secc J,2:43:03,https://ca.bbcollab.com/recording/19492384903940b5aa38c9df3a641e9f
