Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Economía General I,K,2020-03-31,31marzo/PD 1- Eco 1 (K),1:41:59,https://ca.bbcollab.com/recording/859393e5fe0846ab9b3e541d7a803133
Economía General I,K,2020-04-01,01 abril/ Clase 1- Eco 1 (K),1:45:04,https://ca.bbcollab.com/recording/95274c7ea4914264beb491e4104e48b2
Economía General I,K,2020-04-03,03 Abril/ Clase 2- Eco 1 (K),1:53:36,https://ca.bbcollab.com/recording/e04a88a9d0dd4d7d9dd5a127cb40da36
Economía General I,K,2020-04-08,08 abril/ Clase 3- Eco1 (K),1:47:32,https://ca.bbcollab.com/recording/38b1dc43fd4b4a14841fd7832bd0988f
Economía General I,K,2020-04-10,10 abril/ Clase 4- Eco 1 (K),1:57:00,https://ca.bbcollab.com/recording/7e543b1e15034e76922dac48db4761cb
Economía General I,K,2020-04-14,14abril/ PD3 - Eco1 (K),2:11:33,https://ca.bbcollab.com/recording/5826ac2d13b148069e4a8440459cdee3
Economía General I,K,2020-04-15,15 Abril/ Clase 5- Eco 1 (sección K),1:51:17,https://ca.bbcollab.com/recording/bc8fd46e5f444929a3f08473204da3cb
Economía General I,K,2020-04-17,17 abril/ Clase 06- Eco 1 (K),1:37:41,https://ca.bbcollab.com/recording/26c9b8ba565e4055a49e2db1818032eb
Economía General I,K,2020-04-21,PD4,1:28:28,https://ca.bbcollab.com/recording/8945cb9e9b6b451faadb3ee73627fb3d
Economía General I,K,2020-04-22,22 abril/ Clase 07- Eco 1 (K),1:39:46,https://ca.bbcollab.com/recording/db61d319bca6481b857b3eae7573cdaa
Economía General I,K,2020-04-24,24 abril- Clase 08/ Eco 1 (K),1:49:10,https://ca.bbcollab.com/recording/f6cc9db0f3bc4652903cb0975abccbbb
Economía General I,K,2020-04-29,29 Abril/ Clase 09- Eco 1 (K),1:46:13,https://ca.bbcollab.com/recording/ad67c3c7a11e41d59d4a53d5be5861e0
Economía General I,K,2020-05-01,01 Mayo/ Clase 10- Eco 1 (K),2:02:40,https://ca.bbcollab.com/recording/1e70fc4765d14314a39c361a6cb7294c
Economía General I,K,2020-05-05,5mayo/PD 5 - Eco1 (K),1:51:44,https://ca.bbcollab.com/recording/2e88b0f91a854fb7992a918aeb88394e
Economía General I,K,2020-05-06,06 Mayo/ Clase 11- Eco 1 (K),1:47:15,https://ca.bbcollab.com/recording/e5b28f6aa527436a839040843ee6f542
Economía General I,K,2020-05-08,08 Mayo/ Clase 12- Eco 1 (K),1:50:05,https://ca.bbcollab.com/recording/d5b57ab790a84b98a225ad19e3b147c3
Economía General I,K,2020-05-12,12 Mayo/ Clase 13- Eco 1 (K),2:09:28,https://ca.bbcollab.com/recording/78065e0f32fb4737861aefcf755ab8b5
Economía General I,K,2020-05-13,13 Mayo/ Clase 14- Eco 1 (K),1:52:27,https://ca.bbcollab.com/recording/a6faf35e38c94575b4fd7d361c4a829c
Economía General I,K,2020-05-15,PD6,1:54:52,https://ca.bbcollab.com/recording/ff914c0b9b5741b09bc9939b48ac1c7c
Economía General I,K,2020-05-26,26 Mayo/ Clase 15- Eco 1 (K),1:52:57,https://ca.bbcollab.com/recording/3d22856fb8174fdf93ba8882d1b46428
Economía General I,K,2020-05-27,27 Mayo/ Clase 16- Eco 1 (K),1:47:54,https://ca.bbcollab.com/recording/e35794cce1d143a79c0d65e502aa55fa
Economía General I,K,2020-05-29,28mayo/PD7 - Eco1(K,1:16:51,https://ca.bbcollab.com/recording/f91851c375e4400787cb871d9c190f0b
Economía General I,K,2020-06-02,02 Junio/ Clase 17- Eco 1 (K),1:54:46,https://ca.bbcollab.com/recording/01c004d53f884c6e8e6f068b73c9de58
Economía General I,K,2020-06-03,03 Junio/ Clase 18- Eco 1 (K),1:51:16,https://ca.bbcollab.com/recording/3a0ea8b7008d4012af81e179273f4203
Economía General I,K,2020-06-05,PD 8,2:00:12,https://ca.bbcollab.com/recording/9197a09eea6c480b86ec9b8908e94f2c
Economía General I,K,2020-06-09,Clase 9-jun,1:43:29,https://ca.bbcollab.com/recording/7ed5319053974842a89853ed743f37d2
Economía General I,K,2020-06-10,10 Junio/ Clase 20- Eco 1 (K),1:56:18,https://ca.bbcollab.com/recording/3bc545248b1b401e9c488fc95e633806
Economía General I,K,2020-06-12,12junio/PD9 - Eco1(K),1:46:39,https://ca.bbcollab.com/recording/d6fbf0ec4d6d47b5bfb33d1bfb049060
Economía General I,K,2020-06-16,16junio/ Clase21- Eco 1 (K),1:48:52,https://ca.bbcollab.com/recording/a91aca07d71d4017b447b3e107ea9b13
Economía General I,K,2020-06-17,17 Junio/ Clase 22- Eco 1 (K),1:23:56,https://ca.bbcollab.com/recording/48c4ff1c4c4342ea96af1c1f523c4c87
Economía General I,K,2020-06-19,19junio/PD10 - Eco1(K),1:30:57,https://ca.bbcollab.com/recording/d1967eee76e54465aaf1c375dd7fe484
Economía General I,K,2020-06-24,24 junio/ Clase 23- Eco I (K),1:48:12,https://ca.bbcollab.com/recording/e3fe5db55d604645b64b4c9df6af95fb
Economía General I,K,2020-06-26,26 junio/ Clase 24-Eco 1(K),1:42:23,https://ca.bbcollab.com/recording/575b52c7c75f412385dc7f73f7c8ea93
Economía General I,K,2020-06-30,30junio/PD11 - Eco1(K),1:45:08,https://ca.bbcollab.com/recording/912346feaba146908e36c141507abc8d
Economía General I,K,2020-07-01,0 Julio/ Clase 24-Eco 1 (K),1:44:22,https://ca.bbcollab.com/recording/39ac6951a0da41f3a8094dadaaabaf10
Economía General I,K,2020-07-03,033 julio/Clase 26-Eco 1(K),1:52:55,https://ca.bbcollab.com/recording/333a67f47c5748d5bf466769d18d6292
Economía General I,K,2020-07-07,07Julio/ Clase 25- Eco 1 (K),1:54:38,https://ca.bbcollab.com/recording/556886ad28284b32826b270a9ef94a2f
Economía General I,K,2020-07-08,08Julio/ Última clase,2:01:04,https://ca.bbcollab.com/recording/16ad670c178d42829024fba537c6e60e
Economía General I,K,2020-07-08,08Julio/ Última clase,2:01:04,https://ca.bbcollab.com/recording/16ad670c178d42829024fba537c6e60e
Economía General I,K,2020-07-10,PD12,1:50:35,https://ca.bbcollab.com/recording/8a645d6f4ff049a8a99f128414ae451f
Economía General I,K,2020-07-10,PD12,1:50:35,https://ca.bbcollab.com/recording/8a645d6f4ff049a8a99f128414ae451f
Economía General I,K,2020-07-14,Examen Final,0:17:38,https://ca.bbcollab.com/recording/449afd0c92594ce3933a0f2d32836130
Economía General I,K,2020-07-14,Examen Final,0:17:38,https://ca.bbcollab.com/recording/449afd0c92594ce3933a0f2d32836130
