Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Economía General I,L,2020-03-31,PDS,1:46:04,https://ca.bbcollab.com/recording/c6fb4575a7ac4d5db6bc6df8ec357daa
Economía General I,L,2020-04-02,sesión 2 - 02 abril,1:27:10,https://ca.bbcollab.com/recording/09beef7c6fc64f53872a6638e2fe3a96
Economía General I,L,2020-04-07,PDS,1:58:35,https://ca.bbcollab.com/recording/262f626a041245c78cd53b190baebb5f
Economía General I,L,2020-04-07,sesión 3 - 07 de abril,1:29:50,https://ca.bbcollab.com/recording/eec7c5b7bd9643bb825485e06be19bdb
Economía General I,L,2020-04-14,clase 5 - 14 de abril,1:29:47,https://ca.bbcollab.com/recording/f2f2b2891814495fb50a9818b653f109
Economía General I,L,2020-04-14,PDS,1:47:55,https://ca.bbcollab.com/recording/9152f1153df9448a9ddebc303473d31d
Economía General I,L,2020-04-16,clase 6 - 16 de abril,1:18:12,https://ca.bbcollab.com/recording/c8ef1de01a5946919f6b07cf5100a495
Economía General I,L,2020-04-21,clase 7 - 21 abril,1:21:03,https://ca.bbcollab.com/recording/26f72a258bb54673991a926b5576ee57
Economía General I,L,2020-04-21,PDS,3:06:14,https://ca.bbcollab.com/recording/f62202c8e5b3424bb975c1f1d1081712
Economía General I,L,2020-04-23,clase 8 - 23 de abril,1:23:39,https://ca.bbcollab.com/recording/266a8ab73e16440e9eee3ba952e8c97f
Economía General I,L,2020-04-28,clase 9 - 28 de abril,1:34:24,https://ca.bbcollab.com/recording/30c50deb836a49fd9fa315a9febf551c
Economía General I,L,2020-04-30,clase 10 - 30 de abril,0:27:32,https://ca.bbcollab.com/recording/4e406383c25b4582aebe081101e95253
Economía General I,L,2020-05-05,clase 11 - 05 de mayo,1:37:27,https://ca.bbcollab.com/recording/d2c86765701a485aa45da5be7a9fe596
Economía General I,L,2020-05-05,PDS,1:22:17,https://ca.bbcollab.com/recording/5e692fd58003428f9c65e2b21f8dc062
Economía General I,L,2020-05-07,clase 12 - 7 de mayo,1:31:31,https://ca.bbcollab.com/recording/eb7b7d18aa7a4e9db6c599f3deb4e921
Economía General I,L,2020-05-12,Clase 13 - 12 de mayo,1:46:28,https://ca.bbcollab.com/recording/949a24314a20403b9915dcba79db334d
Economía General I,L,2020-05-12,PDS,2:06:40,https://ca.bbcollab.com/recording/2fb6ae4b9f97491f8f582c3a032e0c37
Economía General I,L,2020-05-14,CLASE 14 - 14 DE MAYO,1:50:14,https://ca.bbcollab.com/recording/0236877140f24315ae2185cd0d1f728f
Economía General I,L,2020-05-26,clase 15 - 26 de mayo,1:30:19,https://ca.bbcollab.com/recording/9520a1bd2b304eb9a6445f4950fa23aa
Economía General I,L,2020-05-26,PDS,2:05:08,https://ca.bbcollab.com/recording/2081e09d9cac4d81930533299dd3d328
Economía General I,L,2020-05-28,clase 28 de mayo,1:42:43,https://ca.bbcollab.com/recording/365b07a8c9604707af80abeaf520375f
Economía General I,L,2020-06-02,clase 02 de junio,1:34:32,https://ca.bbcollab.com/recording/eb877c2b2f214a4499d126bb6f0a98aa
Economía General I,L,2020-06-02,PD 8,1:46:20,https://ca.bbcollab.com/recording/47416d38aefc4174ba2c6b64d314ed2d
Economía General I,L,2020-06-04,clase 04 de junio,1:28:14,https://ca.bbcollab.com/recording/659b01d374ee4295ab48834f2f5d2899
Economía General I,L,2020-06-09,clase 09 de junio,1:14:17,https://ca.bbcollab.com/recording/1f82d06a6d7a4620b2b577b0f2a8e5f8
Economía General I,L,2020-06-09,PD9,1:52:59,https://ca.bbcollab.com/recording/dfc8432b41fc4b66bb817472f3d36359
Economía General I,L,2020-06-11,clase 11 de junio,1:56:32,https://ca.bbcollab.com/recording/2959c688ee4e4a8393998b3b34a2a103
Economía General I,L,2020-06-16,clase 16 de junio,0:45:25,https://ca.bbcollab.com/recording/bb80d6623a704d8fa045415e7bc9f165
Economía General I,L,2020-06-16,PDs,1:53:22,https://ca.bbcollab.com/recording/99cc578516484ac9847b7ab174139aed
Economía General I,L,2020-06-18,clase 18 de junio,1:25:55,https://ca.bbcollab.com/recording/aecb749393a74192829786952c95a1a2
Economía General I,L,2020-06-23,clase 23 de junio,1:13:17,https://ca.bbcollab.com/recording/4dc0bcab814c4990a152ab8886b6316f
Economía General I,L,2020-06-25,clase 25 de junio,1:19:55,https://ca.bbcollab.com/recording/6c9dab90753343fdae4eb354bd22bdc8
Economía General I,L,2020-06-30,clase 30 de junio,1:26:58,https://ca.bbcollab.com/recording/f4fb43bb95c84e8bbb793491a5d80ba8
Economía General I,L,2020-06-30,PD 11,1:39:41,https://ca.bbcollab.com/recording/3f352c88945e4216a853842efcd57bc8
Economía General I,L,2020-07-02,clase 02 de julio,1:48:17,https://ca.bbcollab.com/recording/5cad1644cb684a019fe7492d4da18bd5
Economía General I,L,2020-07-07,¡Última PD!,1:52:39,https://ca.bbcollab.com/recording/703077cb69f447af8c55d839f11ae82c
Economía General I,L,2020-07-07,clase 07 de julio,1:49:11,https://ca.bbcollab.com/recording/e291173a35f54a7e8e5e9d0425674364
Economía General I,L,2020-07-09,clase 9 de julio,1:58:55,https://ca.bbcollab.com/recording/ac72ea8953824946b01b114e6b9721b9
Economía General I,L,2020-07-09,clase 9 de julio,1:58:55,https://ca.bbcollab.com/recording/ac72ea8953824946b01b114e6b9721b9
