Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Economía General I,M,2020-03-30,Clase 1_30.04.2020_ Sección M (9:30 - 11:20),1:37:35,https://ca.bbcollab.com/recording/014eb158ad8e4e8bbfc771a0a0278a55
Economía General I,M,2020-03-30,Clase 1_30.04.2020_Sección N (11:30 - 1:20),1:25:28,https://ca.bbcollab.com/recording/294092de60ff4fdab88905c737b6516d
Economía General I,M,2020-03-31,PD1,1:40:41,https://ca.bbcollab.com/recording/3569421c58234640ad354d9e83ee82bc
Economía General I,M,2020-04-01,Clase 01.04.2020,1:34:12,https://ca.bbcollab.com/recording/2228870a7a70477981e18dd03a4d557e
Economía General I,M,2020-04-06,Clase 3_06.04.2020,1:36:34,https://ca.bbcollab.com/recording/c61319968f2548419f93be142990dd52
Economía General I,M,2020-04-07,PD2,2:14:56,https://ca.bbcollab.com/recording/a1c3ce7662c445c2b7ec12b6e8b57222
Economía General I,M,2020-04-08,Clase 4_08.04.2020,1:29:12,https://ca.bbcollab.com/recording/9b79e428f5f84a2ab68f211ece248cc6
Economía General I,M,2020-04-13,Clase 5_13.04.2020,1:40:33,https://ca.bbcollab.com/recording/d67d437ced5c46ceadfddc54c3bfc1c1
Economía General I,M,2020-04-14,PD3,1:52:33,https://ca.bbcollab.com/recording/7d4c43ad0527474c9341bd721a336e75
Economía General I,M,2020-04-15,Clase_6_15.04.2020,0:38:22,https://ca.bbcollab.com/recording/e6af67bc3d7a40a8a4206d08eb91f3b0
Economía General I,M,2020-04-20,Clase 7_20_04_2020,1:22:08,https://ca.bbcollab.com/recording/91912a2665e94593838fc57824d58926
Economía General I,M,2020-04-21,PD4,1:13:12,https://ca.bbcollab.com/recording/4914b03f36fc49009b20e82f3a0d0ad3
Economía General I,M,2020-04-22,Clase 8,1:40:56,https://ca.bbcollab.com/recording/cb7586cb066e4a21a3626d8be6bac9f0
Economía General I,M,2020-04-27,Clase 9_27.04.2020,1:41:25,https://ca.bbcollab.com/recording/0d43b96aab484879a78f66a1294e37ff
Economía General I,M,2020-04-28,PC1,0:00:06,https://ca.bbcollab.com/recording/579683f4b69a4c059bb817fa56ff1ee7
Economía General I,M,2020-04-29,Clase 10_29.04,1:19:29,https://ca.bbcollab.com/recording/e5247a5cf22d4caf88054715274460fb
Economía General I,M,2020-05-04,Clase 11,1:26:47,https://ca.bbcollab.com/recording/99bd8e4e73c44f259306b57910f2b5db
Economía General I,M,2020-05-05,PD5,2:02:53,https://ca.bbcollab.com/recording/3c5ab53700f242b6ae253bd79e9025cc
Economía General I,M,2020-05-06,Clase 12_06.05,1:33:04,https://ca.bbcollab.com/recording/3d84a3809473464593460712d57f5078
Economía General I,M,2020-05-11,Clase 13,1:38:09,https://ca.bbcollab.com/recording/d96a93d13dac40c699f3a9b8f5e9ebfd
Economía General I,M,2020-05-13,Clase 14,1:38:45,https://ca.bbcollab.com/recording/67e451b5d1b643748f84a48b78c314cc
Economía General I,M,2020-05-25,Clase 15,1:38:38,https://ca.bbcollab.com/recording/d8a272078fdb48fd8daea39430c50c88
Economía General I,M,2020-05-26,PD7,1:48:25,https://ca.bbcollab.com/recording/71ac636c0f914bac8cc1683fcb305ae5
Economía General I,M,2020-05-27,Clase 16,1:43:27,https://ca.bbcollab.com/recording/081cb661c5ef4d379f96f8e905ad7669
Economía General I,M,2020-06-01,Clase 17,1:27:32,https://ca.bbcollab.com/recording/8aa68adb7104410698e0db35a6cf97c1
Economía General I,M,2020-06-02,PD8,2:01:55,https://ca.bbcollab.com/recording/da0fd127bcd147be994467117b9f87a3
Economía General I,M,2020-06-03,Clase 18,0:51:49,https://ca.bbcollab.com/recording/ef934c519f5945c3a58947313989c435
Economía General I,M,2020-06-08,Clase 19,1:30:22,https://ca.bbcollab.com/recording/cc35d183e7fd4ca79d1f08d9df8c3f19
Economía General I,M,2020-06-09,PD9,1:41:56,https://ca.bbcollab.com/recording/3c356eb890f44583a4c27ad488ae7c6a
Economía General I,M,2020-06-09,PD9,0:49:09,https://ca.bbcollab.com/recording/b07b4a54a98e434183b65fad99d23a8e
Economía General I,M,2020-06-10,Clase 20,1:36:12,https://ca.bbcollab.com/recording/132c6bf8840a477895d61ceb4d598e89
Economía General I,M,2020-06-15,Clase 21,1:42:28,https://ca.bbcollab.com/recording/d840b62f793141e298bf640ac9da5bcc
Economía General I,M,2020-06-16,PD10,2:29:20,https://ca.bbcollab.com/recording/5803e1fed7e84b39beb4422535de6ac3
Economía General I,M,2020-06-22,Clase 23,1:11:33,https://ca.bbcollab.com/recording/6145c8958b87498a96dc1ca5112489c0
Economía General I,M,2020-06-24,Clase 24,1:41:17,https://ca.bbcollab.com/recording/70d897654d0d4b0986edbddde437fcff
Economía General I,M,2020-06-29,Clase 25,1:33:19,https://ca.bbcollab.com/recording/deadfe41d2474b3b9f0801455dbad8c9
Economía General I,M,2020-06-29,Ejercicio competencia perfecta tarea,0:22:14,https://ca.bbcollab.com/recording/c9da5fe60129472eb76fc7b0e90227b9
Economía General I,M,2020-06-30,Ejercicio competencia perfecta tarea,0:15:32,https://ca.bbcollab.com/recording/ab4a5105be0343e898c650e07c77043c
Economía General I,M,2020-06-30,PD 11,2:07:45,https://ca.bbcollab.com/recording/110241da75494c11a7f0f23c3c8cdcdb
Economía General I,M,2020-07-01,Clase 26,1:34:18,https://ca.bbcollab.com/recording/523c7515014b4b5d922691638f34a279
Economía General I,M,2020-07-06,Clase 27,1:39:08,https://ca.bbcollab.com/recording/d10aa628d0fa407d91c712f9a195b9f1
Economía General I,M,2020-07-07,PD12,1:42:48,https://ca.bbcollab.com/recording/ec29e8aa3e984920b15ec7041dfbffc3
Economía General I,M,2020-07-08,Última clase,1:27:16,https://ca.bbcollab.com/recording/cd716846dc44409a943141a783de9a54
Economía General I,M,2020-07-08,Última clase,1:27:16,https://ca.bbcollab.com/recording/cd716846dc44409a943141a783de9a54
