Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Economía General I,O,2020-04-20,Clase 7,1:48:14,https://ca.bbcollab.com/recording/554ebef1f7374e3a9a9dc75700c3b45e
Economía General I,O,2020-04-21,Práctica Dirigida 4,0:32:25,https://ca.bbcollab.com/recording/52e2f9e493a646c9a38cf19001f33e87
Economía General I,O,2020-04-22,Clase 8,1:35:37,https://ca.bbcollab.com/recording/14aacd76d7684729b8e647d658b70689
Economía General I,O,2020-04-29,Clase 9,1:37:57,https://ca.bbcollab.com/recording/2649862c3dad4ff7bce533d1b94eed84
Economía General I,O,2020-04-30,Clase 10 pt1,1:15:19,https://ca.bbcollab.com/recording/3377884a32bb46e9a67579297b309d20
Economía General I,O,2020-05-04,Clase 11,1:42:26,https://ca.bbcollab.com/recording/fa7d7ecc754b46d3982ee63aca8ca355
Economía General I,O,2020-05-06,Clase 12,1:49:01,https://ca.bbcollab.com/recording/c30c77ab54304d8fad9c29c3ce180211
Economía General I,O,2020-05-11,Clase 13,1:17:54,https://ca.bbcollab.com/recording/4ef952a35f4d40a88b38e297057c64fe
Economía General I,O,2020-05-12,Práctica Diriga 6,1:46:31,https://ca.bbcollab.com/recording/31755e4fc112425ab8f0acf1f17b8310
Economía General I,O,2020-05-13,Clase 14,1:46:57,https://ca.bbcollab.com/recording/e92a48592cac4eeba4cad8edf3fd628c
Economía General I,O,2020-05-19,Parcial,2:07:57,https://ca.bbcollab.com/recording/fb42efc3db68427490ac9484b2ad4449
Economía General I,O,2020-05-25,Clase 15,1:39:20,https://ca.bbcollab.com/recording/ea9795980c3e47f197d1bdb804160781
Economía General I,O,2020-05-26,Práctica Dirigida 7,1:17:15,https://ca.bbcollab.com/recording/0539f1a511d54a55ab8f2963a6bf9701
Economía General I,O,2020-06-08,Clase 19,1:31:28,https://ca.bbcollab.com/recording/85b108feb0604455b8ccdf1a05a915c8
Economía General I,O,2020-06-09,Práctica Dirigida 9,1:28:52,https://ca.bbcollab.com/recording/77c934982b66445693c5e8cc0a51908e
Economía General I,O,2020-06-10,Clase 20,1:59:31,https://ca.bbcollab.com/recording/9711d4b7c46e4a6a99a16b83e5d5dfc1
Economía General I,O,2020-06-15,Clase 21,1:47:41,https://ca.bbcollab.com/recording/04a7e1aa65b0404f83e9d00ac4467d68
Economía General I,O,2020-06-16,Práctica Dirigida 10,1:59:00,https://ca.bbcollab.com/recording/44a53a24cd654f57b5dde4aed7b363df
Economía General I,O,2020-06-17,Clase 22,1:43:50,https://ca.bbcollab.com/recording/09e582ee0956408dbe241c1e85b5011c
Economía General I,O,2020-06-22,Clase 23,1:53:31,https://ca.bbcollab.com/recording/f2190880cbf34de4b70f9fa28166daad
Economía General I,O,2020-06-24,Clase 24,1:15:53,https://ca.bbcollab.com/recording/6aaf5c0d82a146388c6a19458f700faa
Economía General I,O,2020-06-30,Práctica Dirigida 11,1:28:26,https://ca.bbcollab.com/recording/3d4f617108144641b28ee924c79d2da1
Economía General I,O,2020-07-01,Clase 26,1:15:01,https://ca.bbcollab.com/recording/fa9d9eeda48e45f79f33a98e77f0f480
Economía General I,O,2020-07-01,Clase 26,1:15:01,https://ca.bbcollab.com/recording/fa9d9eeda48e45f79f33a98e77f0f480
Economía General I,O,2020-07-06,Clase 27,1:42:04,https://ca.bbcollab.com/recording/8a531100cd8646e9931573073c8a13ab
Economía General I,O,2020-07-06,Clase 27,1:42:04,https://ca.bbcollab.com/recording/8a531100cd8646e9931573073c8a13ab
Economía General I,O,2020-07-07,Práctica Dirigida 12,1:58:42,https://ca.bbcollab.com/recording/83ec318005504d9aad49916baa2c14ff
Economía General I,O,2020-07-08,Clase 28,1:32:17,https://ca.bbcollab.com/recording/5c5574768b2440959059515c754b48ff
Economía General I,O,2020-07-08,Clase 28,1:32:17,https://ca.bbcollab.com/recording/5c5574768b2440959059515c754b48ff
