Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Economía General I,P,2020-03-31,Clase 1 (31/03/20) :Principios y Silabo,1:29:07,https://ca.bbcollab.com/recording/4fcb91e24fc448bc81c66e254f7b78ba
Economía General I,P,2020-03-31,PD1,1:29:54,https://ca.bbcollab.com/recording/03ef32fa93954e40b23eef4d5834b27d
Economía General I,P,2020-04-02,Clase 2 (02/04/20): Principios y Pensando como Economista,1:44:45,https://ca.bbcollab.com/recording/b35fd8d837074067bd6eb253e5d05439
Economía General I,P,2020-04-07,Clase  4 (04/07/20): Elasticidades,1:24:21,https://ca.bbcollab.com/recording/29a174f4b31f4c63b0589512e93eb71c
Economía General I,P,2020-04-07,Clase 3 (04/07/20) : Oferta y Demanda,1:23:24,https://ca.bbcollab.com/recording/e1bd0163365a4226a78412b6abddd047
Economía General I,P,2020-04-09,Clase 5 (09.04.20) : Elasticidades,1:35:39,https://ca.bbcollab.com/recording/03b5ce932d8d406c89500613d586c31e
Economía General I,P,2020-04-14,Clase 06 (14/04/2020): Estado,0:37:39,https://ca.bbcollab.com/recording/9f9ab4b524a44489bd2a00ead2be9b85
Economía General I,P,2020-04-14,Clase 06 (14/04/2020): Estado,1:18:10,https://ca.bbcollab.com/recording/cf8d6fd28afd4234b6e02872ed584b26
Economía General I,P,2020-04-14,PD2,0:58:08,https://ca.bbcollab.com/recording/3d641313843e4b1296f40a2768c860d9
Economía General I,P,2020-04-16,Clase 7 (16/04/20): Estado,1:38:05,https://ca.bbcollab.com/recording/71b690061b4e492d9da4b3e1170fb8e5
Economía General I,P,2020-04-21,Clase 8,1:39:36,https://ca.bbcollab.com/recording/859bdebe8cac470a951fa442032627df
Economía General I,P,2020-04-21,PD3,1:13:46,https://ca.bbcollab.com/recording/afa66a3afaa44dbd86e5ab91213a1505
Economía General I,P,2020-04-23,PD4- PREPC,2:08:45,https://ca.bbcollab.com/recording/b66a4cbbcdc348c7b5d00c04ceecac10
Economía General I,P,2020-04-28,Clase 9 Utilidad,1:38:06,https://ca.bbcollab.com/recording/405c0a3bc68e42d4b84778b76a457888
Economía General I,P,2020-04-30,Clase 10,1:40:16,https://ca.bbcollab.com/recording/9cbe220870724eb7bf3c011a9e5f7fba
Economía General I,P,2020-05-05,Clase 11,1:16:47,https://ca.bbcollab.com/recording/558e019ced834f749ed2abadd0212328
Economía General I,P,2020-05-05,PD5,1:37:58,https://ca.bbcollab.com/recording/d4c45b7518c8485bb388c33f53e5d5c2
Economía General I,P,2020-05-07,Clase 12,1:30:53,https://ca.bbcollab.com/recording/65a74fba761644b58cc4848f8090f580
Economía General I,P,2020-05-12,Clase 13,1:37:43,https://ca.bbcollab.com/recording/5145bdfca8e34feeb642f28e038f7e5a
Economía General I,P,2020-05-12,PD5 - ii,1:58:53,https://ca.bbcollab.com/recording/a589197c3f8f4990915f7097c9b7bdfb
Economía General I,P,2020-05-14,clase 14,1:36:21,https://ca.bbcollab.com/recording/71f855ec147f4559bb82160899d11d73
Economía General I,P,2020-05-19,parcial,2:17:24,https://ca.bbcollab.com/recording/46310d2cc93741dcbd63403d89ce3028
Economía General I,P,2020-05-26,Clase 15,1:32:19,https://ca.bbcollab.com/recording/f0ae946ed89b4f6087b8187b5d3be2e3
Economía General I,P,2020-05-26,clase 16,1:40:38,https://ca.bbcollab.com/recording/6a705f7dcc534c25a887310b50a7f132
Economía General I,P,2020-05-26,clase 16,1:40:38,https://ca.bbcollab.com/recording/6a705f7dcc534c25a887310b50a7f132
Economía General I,P,2020-05-28,Clase 17,1:37:14,https://ca.bbcollab.com/recording/b49902fc2fe64a659f6bdc89efe4d90a
Economía General I,P,2020-06-02,PD6*,1:31:05,https://ca.bbcollab.com/recording/7f3567ad18f448958e91b37384fa6cb4
Economía General I,P,2020-06-02,Sesion 16,1:38:03,https://ca.bbcollab.com/recording/1464ec569db641218e5de4185efd1341
Economía General I,P,2020-06-04,Clase 17,1:36:36,https://ca.bbcollab.com/recording/5c6c3c034c7645dd8dde949b1f7c2d1b
Economía General I,P,2020-06-09,Clase 18,1:34:01,https://ca.bbcollab.com/recording/ef755629c72248708414fad6193df255
Economía General I,P,2020-06-09,PD7,1:03:40,https://ca.bbcollab.com/recording/681987fb75224315ad6b0a998cb30fa4
Economía General I,P,2020-06-11,Clase 19,1:09:37,https://ca.bbcollab.com/recording/56d61d8167a44b2cb37717c27aecfefd
Economía General I,P,2020-06-16,PD8,2:04:36,https://ca.bbcollab.com/recording/e21fee03af124fb58aa0ee8a41385832
Economía General I,P,2020-06-16,Clase 20,1:45:01,https://ca.bbcollab.com/recording/25ee4549620d4e5e8e776de7db55e7e1
Economía General I,P,2020-06-18,PD8 ii (pre PC),1:21:37,https://ca.bbcollab.com/recording/e2e5816bde2c486688002331300eafb3
Economía General I,P,2020-06-23,Semana 13 Primera Clase,1:15:36,https://ca.bbcollab.com/recording/ca46f6a652dd4c008f0027a359ff0701
Economía General I,P,2020-06-25,Semana 13 Segunda Clase,1:29:35,https://ca.bbcollab.com/recording/6e6cea552d0549c3b509e52369745ba7
Economía General I,P,2020-06-30,Clase 1 Semana 14,1:53:18,https://ca.bbcollab.com/recording/650f36740a3644a184982616194a92a5
Economía General I,P,2020-06-30,Clase 1 Semana 14,1:53:18,https://ca.bbcollab.com/recording/650f36740a3644a184982616194a92a5
Economía General I,P,2020-07-07,Ultima Semana Primera Clase,1:21:19,https://ca.bbcollab.com/recording/7bf5b73ee6094f29a245fa88a4124b8f
Economía General I,P,2020-07-09,Ultima Clase,1:51:12,https://ca.bbcollab.com/recording/3cdd62d9681a4934b9652a7ac636e3b3
Economía General I,P,2020-07-09,Ultima Clase,1:51:12,https://ca.bbcollab.com/recording/3cdd62d9681a4934b9652a7ac636e3b3
