Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Economía General II,A,2020-03-30,sesión 1 Eco2A UD 1,1:46:01,https://ca.bbcollab.com/recording/fdf90783716a47bf88c9262fa1881b44
Economía General II,A,2020-03-31,Práctica Dirigida 1,1:56:58,https://ca.bbcollab.com/recording/e3fa4debd0224cfdbad5e1bfbf8c162c
Economía General II,A,2020-04-01,sesión 2 Eco2A UD 1,1:42:22,https://ca.bbcollab.com/recording/7fbea704c541480b9aea5970be9a1074
Economía General II,A,2020-04-02,Repetición PD1,1:18:26,https://ca.bbcollab.com/recording/ac3f51ac445f47b292be482f449b7aa3
Economía General II,A,2020-04-06,Tercera sesión de Eco2 A,1:42:55,https://ca.bbcollab.com/recording/ec1c0b9fce0448fd9002a90aa2cd9a65
Economía General II,A,2020-04-07,Práctica Dirigida 2,1:32:19,https://ca.bbcollab.com/recording/348bd874022d43188847fdc32ee42d3f
Economía General II,A,2020-04-08,sesión 4 de Eco2 A UD II,1:40:03,https://ca.bbcollab.com/recording/95a0c4a44658496e9958cc63e695ca26
Economía General II,A,2020-04-13,sesión 5 de Eco2 A,1:41:21,https://ca.bbcollab.com/recording/2e54748773864f7192e4ce0eed3f4c77
Economía General II,A,2020-04-14,Sesion PC de prueba,1:52:12,https://ca.bbcollab.com/recording/2678eb02898a45019419665bb46ac9e0
Economía General II,A,2020-04-15,sesión 6 de Eco2 A,1:52:57,https://ca.bbcollab.com/recording/b1d5c998c2274ebba3364ed42a30f6f2
Economía General II,A,2020-04-20,sesión 7 de Eco2 A,1:40:40,https://ca.bbcollab.com/recording/c4152911dceb44c78e7f5c4c2b16dc91
Economía General II,A,2020-04-22,sesión 8 de Eco2 A,1:40:35,https://ca.bbcollab.com/recording/3fb87275e8624cfb9f715e6e2d0c2402
Economía General II,A,2020-04-27,sesión 9 de Eco2 A,1:38:57,https://ca.bbcollab.com/recording/8b41dedbd78f4bb980f70cc11bd55c17
Economía General II,A,2020-04-28,Práctica Dirigida 3,1:45:35,https://ca.bbcollab.com/recording/e3401cff2abb49f69381fa114f3c2667
Economía General II,A,2020-04-29,sesión 10 de Eco2 A,1:40:22,https://ca.bbcollab.com/recording/fa57a9e5c5fb4c88a1f7cd6efa6e510c
Economía General II,A,2020-05-04,sesión 11 de Eco2 A,1:40:41,https://ca.bbcollab.com/recording/03f8c365b53b497eb70cb66e2ad3f354
Economía General II,A,2020-05-05,Práctica Dirigida 4,1:45:48,https://ca.bbcollab.com/recording/abe77aaa36d044f192a6436a9b1e9492
Economía General II,A,2020-05-06,sesión 12 de Eco2 A,1:45:27,https://ca.bbcollab.com/recording/cdf7a9e31018469b951484a627f3dacb
Economía General II,A,2020-05-11,sesión 13 de Eco2 A,1:38:34,https://ca.bbcollab.com/recording/fbea6ecb5fe7421d8490a49d4d77dcaa
Economía General II,A,2020-05-13,sesión 14 de Eco2,1:40:51,https://ca.bbcollab.com/recording/36c131c22bc34b63b7bbea68b85e0550
Economía General II,A,2020-05-22,EXAMEN PARCIAL A-B,1:56:47,https://ca.bbcollab.com/recording/076b356eee524006ac2140d6b7d494b3
Economía General II,A,2020-05-25,sesión 15 de Eco2 A,1:39:50,https://ca.bbcollab.com/recording/d472213b166d43a38d758b40f35963ca
Economía General II,A,2020-05-26,Práctica Dirigida 5,2:08:50,https://ca.bbcollab.com/recording/2ebaf177ab8246e08aefea547b3405cf
Economía General II,A,2020-05-27,sesión 16 de Eco2 A,1:40:09,https://ca.bbcollab.com/recording/133c3654b410412cb348aea43cd843b8
Economía General II,A,2020-06-01,Sesión 17 de Eco2 A,1:40:40,https://ca.bbcollab.com/recording/8c689904a4514917ab8f681fd9d47f20
