Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Economía General II,B,2020-03-30,Sesión 1 de Eco2B UD1,1:44:20,https://ca.bbcollab.com/recording/017e614d93c347c9a269890a67011328
Economía General II,B,2020-03-31,Práctica Calificada 1,2:13:01,https://ca.bbcollab.com/recording/5b5f6e417a3a4bdb814eaadc237d5b96
Economía General II,B,2020-04-01,sesión 2 de Eco2B UD 1,1:48:05,https://ca.bbcollab.com/recording/41b1101d309046128bf1fd0ec8edd911
Economía General II,B,2020-04-06,Tercera sesión Eco2B UD II,1:41:39,https://ca.bbcollab.com/recording/a6a4e5ba2bfe40928a4e1e9a3eb9a305
Economía General II,B,2020-04-07,Práctica Calificada 1,1:55:11,https://ca.bbcollab.com/recording/7a681763ad6a4bfcabb5b31de0cf4a8e
Economía General II,B,2020-04-08,sesión 4 de Eco2 B UD II,1:48:36,https://ca.bbcollab.com/recording/34f892a230ce483c8e1ff123eafed8cd
Economía General II,B,2020-04-13,sesión 5 de Eco2 B,1:45:21,https://ca.bbcollab.com/recording/198ee86280f448d0be52a1f22e4923f4
Economía General II,B,2020-04-14,Práctica Calificada 1,2:04:36,https://ca.bbcollab.com/recording/5a1a78dfbbd6406a8fd0430fcc401eb9
Economía General II,B,2020-04-15,sesión 6 de Eco2 B,1:44:03,https://ca.bbcollab.com/recording/ff55d0483da64c02a13eecc9bd255e5f
Economía General II,B,2020-04-20,sesión 7 de Eco2 B,1:42:39,https://ca.bbcollab.com/recording/e74078fea6794836a2042020e74ce201
Economía General II,B,2020-04-22,sesión 8 de Eco2 B,1:41:57,https://ca.bbcollab.com/recording/e1b7b1b3cdb9472eb112b0da38384442
Economía General II,B,2020-04-27,sesión 9 de Eco2,1:40:54,https://ca.bbcollab.com/recording/23c5f784036645ffa0e3e58df51d567c
Economía General II,B,2020-04-28,PD 3,2:08:17,https://ca.bbcollab.com/recording/602c0008c70948b8945dfc3ffab8bad1
Economía General II,B,2020-04-29,sesión 10 de Eco2 B,1:40:12,https://ca.bbcollab.com/recording/e8b362ef6f5d4ffd8e22c53c46d466b6
Economía General II,B,2020-05-04,sesión 11 de Eco2 B,2:03:26,https://ca.bbcollab.com/recording/42e22aba04ae4e18a9295e36f4b1f7b0
Economía General II,B,2020-05-05,PD 4,2:02:40,https://ca.bbcollab.com/recording/b393a30191c14573a3cbd865216c6c56
Economía General II,B,2020-05-06,sesión 12 de Eco2 B,2:00:08,https://ca.bbcollab.com/recording/1733c672f90b415184a8cecd351b6642
