Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Economía General II,D,2020-03-30,Sesión 01,1:46:27,https://ca.bbcollab.com/recording/e095e0e27684476f95a7ea6ad7f0ad17
Economía General II,D,2020-04-03,sesion 2,1:47:52,https://ca.bbcollab.com/recording/64197a686288451c8c9c33a8644cbb3c
Economía General II,D,2020-04-06,Sesión 03,1:54:08,https://ca.bbcollab.com/recording/c74ff6b1b6fa4ed6adb21649a1ed7517
Economía General II,D,2020-04-07,Práctica dirigida 2,1:39:46,https://ca.bbcollab.com/recording/c41e2e90d27843ee85ac3909d1fda444
Economía General II,D,2020-04-10,sesión 04,1:53:26,https://ca.bbcollab.com/recording/f2c130cb5c2b4e0889839200c1b6df9f
Economía General II,D,2020-04-13,Sesion 05,0:45:17,https://ca.bbcollab.com/recording/242961a006674e6385edf5d51a8b3613
Economía General II,D,2020-04-13,Sesion 05,1:05:48,https://ca.bbcollab.com/recording/b5ab16fcbc204039a5ec7c2470a28092
Economía General II,D,2020-04-17,Sesion 06,1:45:40,https://ca.bbcollab.com/recording/a432893e4b264f1cb01d7cebf23e2f20
Economía General II,D,2020-04-20,Sesión 07,1:08:50,https://ca.bbcollab.com/recording/bdf1e44ab9dd40c683ff35d790607bc9
Economía General II,D,2020-04-20,Sesión 07,0:10:52,https://ca.bbcollab.com/recording/dfe4d76e5b9845768a44665a8203c1e0
Economía General II,D,2020-04-24,Sesión 08,0:48:02,https://ca.bbcollab.com/recording/1b1635a816ec4bd88bef3c88c762ae00
Economía General II,D,2020-04-24,Sesión 08,0:58:13,https://ca.bbcollab.com/recording/2643d682ffae4070906fa841374a5432
Economía General II,D,2020-04-27,sesión 09,1:03:34,https://ca.bbcollab.com/recording/8e7299d061d5406f87cc1bc4a6beaace
Economía General II,D,2020-04-27,sesión 09,0:20:51,https://ca.bbcollab.com/recording/d882845c92c84a2a93ec558b614e95d0
Economía General II,D,2020-04-28,Práctica dirigida 3,1:39:46,https://ca.bbcollab.com/recording/6cf7c1187e6f42d584247c4a5f1bc588
Economía General II,D,2020-05-01,Sesión 10,1:44:32,https://ca.bbcollab.com/recording/578554cd44b443ea8bb7a0503a02a4e9
Economía General II,D,2020-05-04,sesión 11,1:42:09,https://ca.bbcollab.com/recording/5448570d995c4ee993dc1458d9ed6b3c
Economía General II,D,2020-05-05,Práctica dirigida 4,1:35:33,https://ca.bbcollab.com/recording/3665902ebb7d4c0b95bf2fc0ee089243
Economía General II,D,2020-05-08,Sesión 12,1:34:29,https://ca.bbcollab.com/recording/bacd409565a74382aa2c97783fa8f37a
Economía General II,D,2020-05-11,Sesión 13,1:36:21,https://ca.bbcollab.com/recording/ee3ccbcfe8e941049c14ca9bcbcd5229
Economía General II,D,2020-05-15,Sesion 14,1:25:07,https://ca.bbcollab.com/recording/48b31faeb8704af18572bd19b428068c
Economía General II,D,2020-05-25,Sesión 15,1:39:10,https://ca.bbcollab.com/recording/4492d4c84d1b47e39d07e520554f2b35
Economía General II,D,2020-05-26,Práctica dirigida 5,1:44:36,https://ca.bbcollab.com/recording/fefcc0ebb2184a54bd8e3151971aa237
Economía General II,D,2020-05-29,Sesión 16,1:40:03,https://ca.bbcollab.com/recording/6d4fde6599a24d64a95d6fcb0cb52914
Economía General II,D,2020-06-01,Sesión 17,1:30:56,https://ca.bbcollab.com/recording/c81942332b8f41c0b42b0ac4e406de0e
Economía General II,D,2020-06-02,Práctica dirigida 6,1:29:14,https://ca.bbcollab.com/recording/b34624d03bfc465ea20b643210c65e9b
Economía General II,D,2020-06-05,Sesión 18,1:38:44,https://ca.bbcollab.com/recording/aa50244e729e4f8f8fd0db865e14784a
Economía General II,D,2020-06-08,Sesión 19,1:41:31,https://ca.bbcollab.com/recording/744495e412d345eea0c5941ae0c3dfc4
Economía General II,D,2020-06-12,Sesión 20,1:35:09,https://ca.bbcollab.com/recording/ef386f97d2ba46e7bcdcd533c9f3d56a
Economía General II,D,2020-06-15,Sesión 21,1:43:17,https://ca.bbcollab.com/recording/e79bf74a831e47d2a133e7762b0aed75
Economía General II,D,2020-06-16,Práctica dirigida 7,1:40:00,https://ca.bbcollab.com/recording/edf8b7202939458d9b716a43bab5be76
Economía General II,D,2020-06-19,Sesión 22,1:48:29,https://ca.bbcollab.com/recording/a6e3538c01384be196a78b3332bf407f
Economía General II,D,2020-06-22,Sesión 23,1:43:07,https://ca.bbcollab.com/recording/3e8743919d0c4dbcbe4e7200c57a30b2
Economía General II,D,2020-06-23,Práctica dirigida 8,1:46:40,https://ca.bbcollab.com/recording/471b2b6869c24fe2b3e91d347da6193f
Economía General II,D,2020-06-26,Sesión 2?,1:46:44,https://ca.bbcollab.com/recording/7b176ed5d693456d9318f6b61bdd0c3b
Economía General II,D,2020-07-03,Sesión IS-LM-BP,1:39:16,https://ca.bbcollab.com/recording/2b45cde5431f4d3abe0c1b029b13fc90
Economía General II,D,2020-07-06,Sesión IS-LM eco abierta 2,1:40:50,https://ca.bbcollab.com/recording/ce6499a7b0ce498fb9376df357b136d6
Economía General II,D,2020-07-07,Última práctica dirigida,1:27:02,https://ca.bbcollab.com/recording/8d73e1e5aff64e988c957334b4dc8053
Economía General II,D,2020-07-10,Sesión Final,1:36:52,https://ca.bbcollab.com/recording/a3caf7c78e41461da35142765404b13d
Economía General II,D,2020-07-10,Sesión Final,1:36:52,https://ca.bbcollab.com/recording/a3caf7c78e41461da35142765404b13d
