Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Economía General II,G,2020-03-30,Sesión EGII G - Sesión lunes 30/03 - 11:30,1:28:41,https://ca.bbcollab.com/recording/08ab8f99b8bf4696a7df9ca9666e2ead
Economía General II,G,2020-04-01,Sesión EGII G - miércoles 01/04 - 11:30,1:45:16,https://ca.bbcollab.com/recording/3dc87aacaa944264aa802f9d193e298f
Economía General II,G,2020-04-02,PD1 - 02/04,1:45:26,https://ca.bbcollab.com/recording/6b66243abb0f4bf3a6a107d4fc54cc30
Economía General II,G,2020-04-06,Sesión EGII G - 06/034- 11:30,1:45:44,https://ca.bbcollab.com/recording/30227fba275e4bb8a669b33270b027da
Economía General II,G,2020-04-07,PD2,1:26:19,https://ca.bbcollab.com/recording/c8ebe58e358043c284d07f3fe5134d5f
Economía General II,G,2020-04-08,EGII G - Sesión miércoles 08/0 - 11:30,1:43:33,https://ca.bbcollab.com/recording/407b40140cef46879309e28d95c713bb
Economía General II,G,2020-04-13,Sesión EGII G - 13/04 - 11:30,1:38:31,https://ca.bbcollab.com/recording/ccd0d90aeb434d1e84b2b0247309e9c5
Economía General II,G,2020-04-14,PC Ensayo,1:58:17,https://ca.bbcollab.com/recording/ca12dad7f56e4411879d95de910bda69
Economía General II,G,2020-04-15,EGII G - Sesión miércoles 15/04 - 11:30,1:50:14,https://ca.bbcollab.com/recording/06e03ce487b948dfacff10f002bebded
Economía General II,G,2020-04-20,EGII G - Sesión lunes 20/04 - 11:30,1:41:12,https://ca.bbcollab.com/recording/c0a37ffabd754e95bade5c3f58285b84
Economía General II,G,2020-04-22,EGII F - Sesión miércoles 22/04 - 11:30,2:01:23,https://ca.bbcollab.com/recording/5dbb86ea18c94ef5b4b3f1903419b87c
Economía General II,G,2020-04-27,EGII G- Sesión lunes 27/04 - 11:30,1:42:38,https://ca.bbcollab.com/recording/a9ea70e75a2248a194434d467d510d82
Economía General II,G,2020-04-28,PD3,1:36:31,https://ca.bbcollab.com/recording/849bcbdc454d44d685004c67e5239b30
Economía General II,G,2020-04-29,EGII G - Sesión miércoles 28/04 - 11:30,1:42:13,https://ca.bbcollab.com/recording/b6ea4a6319df44f0b442e24753da466f
Economía General II,G,2020-05-04,EGII G - Sesión lunes 04/05 - 11:30,1:49:10,https://ca.bbcollab.com/recording/1fb1e5847a554bd59a6a1fe36e6ca1ff
Economía General II,G,2020-05-05,Práctica Dirigida 4,1:54:04,https://ca.bbcollab.com/recording/aa7d440f98e54ac7abeb495daa9f6db7
Economía General II,G,2020-05-06,EGII F - Sesión miércoles 06/05 - 09:30,1:41:54,https://ca.bbcollab.com/recording/4421ddd6f9ad4f07b6ccb30f1d9ed4f2
Economía General II,G,2020-05-11,Sesión EGII G - 11/05 - 11:30,1:54:28,https://ca.bbcollab.com/recording/14763d33a4a7469f97479be756810b09
Economía General II,G,2020-05-12,PC2 Eco II,2:16:06,https://ca.bbcollab.com/recording/ab16e32206e74250b159f090f482a254
Economía General II,G,2020-05-13,EGII F - Sesión miércoles 13/05 - 11:30,1:54:23,https://ca.bbcollab.com/recording/fe427b3553ca4f88904dd8ef2746a2c7
Economía General II,G,2020-05-22,Examen Parcial,1:57:00,https://ca.bbcollab.com/recording/59cfc50ef03d43d3b37b0e3d06f49a2b
Economía General II,G,2020-05-22,Examen Parcial,0:00:02,https://ca.bbcollab.com/recording/d8740c302edf46dea0386e7a02df598b
Economía General II,G,2020-05-25,Sesión EGII G - 25/05 - 11:30,1:36:55,https://ca.bbcollab.com/recording/75180b5384604d7c953dba303ce7c29f
Economía General II,G,2020-05-27,Sesión EGII G - 27/05 - 11:30,1:40:41,https://ca.bbcollab.com/recording/69d838be196a4b409eb4651892973b27
Economía General II,G,2020-05-28,PD 5 - 28/05,1:42:24,https://ca.bbcollab.com/recording/458c6fd73f0243db805efd592d9d9973
Economía General II,G,2020-06-01,Sesión EGII G - 01/05 - 11:30,1:36:31,https://ca.bbcollab.com/recording/622efadd971d4cff82e0c1c95bc6d8cc
Economía General II,G,2020-06-02,Práctica Dirigida 6,1:21:44,https://ca.bbcollab.com/recording/33a398eb24c94bee954a8a3b9b607e61
Economía General II,G,2020-06-03,Sesión EGII G - 03/06 - 11:30,1:47:05,https://ca.bbcollab.com/recording/137d100180cf44f187992970ab928bd2
Economía General II,G,2020-06-08,Sesión EGII G - 08/06 - 11:30,1:34:20,https://ca.bbcollab.com/recording/7faa00f8bcb6418a92404745cdb05c7c
Economía General II,G,2020-06-09,Práctica Calificada 3,1:43:32,https://ca.bbcollab.com/recording/f1d31dfbf23b4719aa29b984147e560d
Economía General II,G,2020-06-10,Sesión EGII G - 10/06 - 11:30,1:37:41,https://ca.bbcollab.com/recording/b422cfeadf1e4182a5ff2f45cc182a2e
Economía General II,G,2020-06-15,EGII G - Sesión lunes 15/06 - 11:30,1:33:02,https://ca.bbcollab.com/recording/bcb2deefbd0544cfbd6e2c9682684c75
Economía General II,G,2020-06-16,PD7,1:38:40,https://ca.bbcollab.com/recording/e71c9d1a3e9f44158b13b800faa1b8cf
Economía General II,G,2020-06-17,EGII G - Sesión miércoles 17/06 - 11:30,1:46:54,https://ca.bbcollab.com/recording/75c864d39af943bdbd435b637e44edd5
Economía General II,G,2020-06-22,EGII G - Sesión lunes 22/06 - 11:30,1:46:54,https://ca.bbcollab.com/recording/2e8ada4cf56346f3b073b5d42dd9f432
Economía General II,G,2020-06-23,EGII G - Sesión martes 23/05 - 13:30,1:42:46,https://ca.bbcollab.com/recording/4ea5d8b3bdae4e25abe3f19b6336f323
Economía General II,G,2020-06-24,EGII G - Sesión miércoles 24/06 - 11:30,1:31:36,https://ca.bbcollab.com/recording/f49e00c6f70a4fe883873264c391dcb5
Economía General II,G,2020-06-29,EGII G - Sesión lunes 29/06 - 11:30,1:39:49,https://ca.bbcollab.com/recording/f1c0ff165c2d48a7880e3bf668d0f39f
Economía General II,G,2020-06-30,PC 4,2:05:06,https://ca.bbcollab.com/recording/81e1e70e0a2e4e2b8a39dc886ecf9517
Economía General II,G,2020-07-01,EGII G - Sesión miércoles 01/07 - 11:30,1:40:09,https://ca.bbcollab.com/recording/a7e047a8aeb54987a995a731b1acbb1a
Economía General II,G,2020-07-06,EGII G - Sesión lunes 06/07 - 11:30,1:44:26,https://ca.bbcollab.com/recording/42253e984e014deea62a33671a3baaa4
Economía General II,G,2020-07-07,PD9,1:36:09,https://ca.bbcollab.com/recording/d3e49a5678764aa2ac327b8eff0ce3d4
Economía General II,G,2020-07-08,EGII G- Sesión miércoles 08/07 - 11:30,1:30:14,https://ca.bbcollab.com/recording/52b873263cd6450eb128280e14e21929
Economía General II,G,2020-07-08,EGII G- Sesión miércoles 08/07 - 11:30,1:30:14,https://ca.bbcollab.com/recording/52b873263cd6450eb128280e14e21929
