Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Economía General II,H,2020-03-31,Sesión 02 Práctica- 31/03/2020,1:52:49,https://ca.bbcollab.com/recording/b646f87b29344cba8e9ec2127c6df19c
Economía General II,H,2020-03-31,Sesión 1: Introducción y Mercado Laboral,0:56:59,https://ca.bbcollab.com/recording/3b8bfa32f57144a7904990016df24f31
Economía General II,H,2020-04-03,Sesión 2: Mercado Laboral y Otros Factores Productivos,1:44:01,https://ca.bbcollab.com/recording/ee3955eee8ae4b8aadd014543e2e5c78
Economía General II,H,2020-04-07,PD2,1:45:42,https://ca.bbcollab.com/recording/9b4a5d5347124e6cb4bf627d495b4295
Economía General II,H,2020-04-07,Sesión 3: Otros Factores Productivos y Medición del Producto,1:44:41,https://ca.bbcollab.com/recording/c1d19bf8740f48c9994225002d5cac11
Economía General II,H,2020-04-10,Sesión 4: Medición del Producto (continuación),1:47:43,https://ca.bbcollab.com/recording/b73dcb734ce04b06af37c16215680bd3
Economía General II,H,2020-04-14,Sesión 5: Medición del Producto y de los Precios,1:48:32,https://ca.bbcollab.com/recording/ca40202f3ca443af9e83d1762ba9e3d2
Economía General II,H,2020-04-14,Sesión 6: Ensayo PC,0:30:14,https://ca.bbcollab.com/recording/bc7584cee1d848258b6d55a2855cf72a
Economía General II,H,2020-04-17,Sesión 6: Medición de los Precios,1:53:15,https://ca.bbcollab.com/recording/b692a7ba535a413293e840db3ccd96e3
Economía General II,H,2020-04-21,Sesión 7: Medición de los Precios y Crecimiento Económico,1:43:17,https://ca.bbcollab.com/recording/bdf213dbed4a4dd1983096be9fae8043
Economía General II,H,2020-04-24,Sesión 8: Crecimiento Económico,1:43:08,https://ca.bbcollab.com/recording/5547bf018d7a4c77a3301d3cfeee2227
Economía General II,H,2020-04-28,PD3,1:48:35,https://ca.bbcollab.com/recording/c0f6dba6c1764e1eb7293cbe52ed42e1
Economía General II,H,2020-04-28,Sesión 9: Crecimiento Económico y Ahorro-Inversión,1:57:48,https://ca.bbcollab.com/recording/1ea1b77ebcca4a8b89eddc17819a65af
Economía General II,H,2020-05-05,PD4,1:49:24,https://ca.bbcollab.com/recording/cbc9333cba9845fbb05e4f9cddb63201
Economía General II,H,2020-05-05,Sesión 10: Ahorro - Inversión,1:55:47,https://ca.bbcollab.com/recording/8e38c55cb00a49aeabf15a4beed1e7ac
Economía General II,H,2020-05-08,Sesión 12: Ahorro-Inversión en Economía Abierta,1:50:46,https://ca.bbcollab.com/recording/bc87f9368ebe4fb3b8cf4ecb982f5567
Economía General II,H,2020-05-12,Sesión 13: Desempleo y Subempleo,1:49:34,https://ca.bbcollab.com/recording/eb197fc6c2e34148b4665a4762ae0749
Economía General II,H,2020-05-15,Sesión 14: Desempleo y Subempleo,1:54:52,https://ca.bbcollab.com/recording/74853eb6b5004d179aea02ecef1ae8cd
Economía General II,H,2020-05-26,PD5,1:48:41,https://ca.bbcollab.com/recording/bae62f3440814ea2bf90f288eb949cca
Economía General II,H,2020-05-26,Sesión 16: Dinero y Precios,1:52:48,https://ca.bbcollab.com/recording/82d7733b1f8e4f058df3d1268bac7e85
Economía General II,H,2020-05-29,Sesión 17: Dinero y Precios (continuación),1:43:20,https://ca.bbcollab.com/recording/242dd04b034e4509bce7ff2cf61ee988
Economía General II,H,2020-06-02,PD6,0:00:15,https://ca.bbcollab.com/recording/03b408f935174a659bbedb92ba5e7d74
Economía General II,H,2020-06-02,PD6,1:44:26,https://ca.bbcollab.com/recording/1553e89e8b6a477199b60046e58d568c
