Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Economía General II,J,2020-03-30,Sesion 01 (Lunes 30 Marzo / 7:30 pm),1:53:21,https://ca.bbcollab.com/recording/618ec0f244644988b07d0955cc512cec
Economía General II,J,2020-03-31,Práctica Dirigida,1:15:44,https://ca.bbcollab.com/recording/e326bc01f5214b908727d75784e44d20
Economía General II,J,2020-04-03,Sesion 02 (Viernes 03 de abril / 7:30 am),1:46:10,https://ca.bbcollab.com/recording/6dc516daf7824479b927586b3c884dc8
Economía General II,J,2020-04-06,Sesion 03 (Lunes 06 de abril / 7:30 pm),2:00:01,https://ca.bbcollab.com/recording/ec18ae4125394bacb8c0ee3e03c344c3
Economía General II,J,2020-04-07,Práctica Dirigida,1:55:46,https://ca.bbcollab.com/recording/b40d41bec71b4a838963a9a4d8279fc7
Economía General II,J,2020-04-13,Sesión 05 (Lunes 13 Abril / 7:30 pm),1:56:19,https://ca.bbcollab.com/recording/2a781fb952da47a285e5f6572eaed855
Economía General II,J,2020-04-17,Sesión 06 (Viernes 17 Abril / 7:30 pm),1:17:51,https://ca.bbcollab.com/recording/86359f1d01e640e4ab4ccd6a042192d1
Economía General II,J,2020-04-20,Sesión 07 (Lunes 20 Abril / 7:30 pm),2:00:44,https://ca.bbcollab.com/recording/5dcbb7aa9070421d8e78976691cf9cbe
Economía General II,J,2020-04-24,Viernes 24 abril,1:41:38,https://ca.bbcollab.com/recording/51f98a1a0a9241a3bf2732eeb4075959
Economía General II,J,2020-04-27,Sesión 09 (Lunes 27 Abril / 7:30 pm),2:01:56,https://ca.bbcollab.com/recording/6ff628e9453940e58ad3e57227088fa7
Economía General II,J,2020-04-28,Práctica Dirigida,1:25:19,https://ca.bbcollab.com/recording/d802cc84fe77403dbf48249b56524623
Economía General II,J,2020-05-04,Sesión 11 (Lunes 04 Mayo / 7:30 pm),1:58:38,https://ca.bbcollab.com/recording/86997bcc80cb442bb10abbe1cc736498
Economía General II,J,2020-05-05,Práctica Dirigida,0:53:05,https://ca.bbcollab.com/recording/84a7b8e091d941a29da530476dd0c162
Economía General II,J,2020-05-08,Sesión 12 (Viernes 08 Mayo / 7:30 am),1:45:01,https://ca.bbcollab.com/recording/c28faeacf1e34af98907cf01247716e5
Economía General II,J,2020-05-11,Sesión 13 (Lunes 11 Mayo / 7:30 pm),1:55:58,https://ca.bbcollab.com/recording/3a831e8ae8864c0c90c0f8a332f0efd3
Economía General II,J,2020-05-15,Sesión 14 (viernes 15 mayo / 7:30 am),1:50:02,https://ca.bbcollab.com/recording/8cced43c11344ec49600e3a42fbc2fbc
Economía General II,J,2020-05-25,Sesión 15 (lunes 25 mayo / 7:30 pm),1:56:58,https://ca.bbcollab.com/recording/aa93450d9a8f49b5903c6bfb26a19e02
Economía General II,J,2020-05-26,Práctica Dirigida,1:27:49,https://ca.bbcollab.com/recording/64f9695ba013488ab8eb7f3127487576
Economía General II,J,2020-05-29,Sesión 16 (viernes 29 mayo / 7:30 pm),1:34:04,https://ca.bbcollab.com/recording/00e2ebaef8ca4b55b716153b86a5f766
Economía General II,J,2020-06-01,Sesión 17 (lunes 01 junio / 7:30 pm),2:00:17,https://ca.bbcollab.com/recording/c1f4088f96a24d18804f39168b74f047
Economía General II,J,2020-06-05,Sesión 18 (viernes 05 junio / 7:30 am),1:30:31,https://ca.bbcollab.com/recording/c205e5a1d96546189b8dbc75cb5fe75e
Economía General II,J,2020-06-08,Sesión 19 (lunes 8 junio / 7:30 pm),1:35:35,https://ca.bbcollab.com/recording/4669bc27269a40a2b3d5753bbea5c4d6
Economía General II,J,2020-06-12,Sesión 20 (viernes 12 junio / 7:30 am),1:45:03,https://ca.bbcollab.com/recording/048dd18f811d48bea8a172809f6ccd11
