Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Economía y Derecho,B,2020-04-01,Primera sesión,1:25:33,https://ca.bbcollab.com/recording/cadf66a4960d42cab92c7b44ab5d868e
Economía y Derecho,B,2020-04-03,Sesión 2,0:23:18,https://ca.bbcollab.com/recording/9892112a1c9f49b79b6d12698fc2aeab
Economía y Derecho,B,2020-04-03,Sesión 2,1:08:53,https://ca.bbcollab.com/recording/c55f0fc8be474ac9aa5333393ac72753
Economía y Derecho,B,2020-04-08,Sesión 3,1:14:43,https://ca.bbcollab.com/recording/320eee5b8b0949d0a7dbf821581782fd
Economía y Derecho,B,2020-04-15,Sesión 4,1:31:58,https://ca.bbcollab.com/recording/f0e498b11ac148a5b9d629a737cf8997
Economía y Derecho,B,2020-04-17,Sesión 5,1:49:57,https://ca.bbcollab.com/recording/19f72a2d04814835910912d6561a0252
Economía y Derecho,B,2020-04-24,Sesión 7,1:55:13,https://ca.bbcollab.com/recording/908bf66086f44dba91ff224b587dd92c
Economía y Derecho,B,2020-04-29,Sesión 8,1:33:36,https://ca.bbcollab.com/recording/2739814dba6f4d549c0321affd5014b8
Economía y Derecho,B,2020-05-06,Sesión 9,1:41:56,https://ca.bbcollab.com/recording/ccb9e1e7f9b84c4388ad41ada03038d3
Economía y Derecho,B,2020-05-08,Sesión 10,1:01:05,https://ca.bbcollab.com/recording/50b5811bf2ae4f9790f034d25dcdfac1
Economía y Derecho,B,2020-05-13,Sesión 13 mayo,1:17:04,https://ca.bbcollab.com/recording/5554196d4ff14e49b4b4d406828835a5
Economía y Derecho,B,2020-05-15,Clase 15 de mayo,1:23:43,https://ca.bbcollab.com/recording/5f9a73bc7c204227b05177eacd09c5d0
Economía y Derecho,B,2020-05-27,Clase 27 mayo,1:41:56,https://ca.bbcollab.com/recording/9bdd206ef6534509a9abe2bb68d147ba
Economía y Derecho,B,2020-05-29,Clase 29 mayo,1:20:27,https://ca.bbcollab.com/recording/1d5aca9843904decbd3739f6dc249fb8
Economía y Derecho,B,2020-06-03,Clase 3 de junio,1:10:42,https://ca.bbcollab.com/recording/503281ee84364652b00c4f91c2e5d18c
Economía y Derecho,B,2020-06-05,5 de junio,1:31:45,https://ca.bbcollab.com/recording/8c80e36ecff44d469bf6174ac831ad1f
Economía y Derecho,B,2020-06-10,10 de junio,1:31:53,https://ca.bbcollab.com/recording/c8c3bc3090d04040819cf9a71f030785
Economía y Derecho,B,2020-06-12,Clase 12 de junio,1:31:23,https://ca.bbcollab.com/recording/635308479f5a4d52bba9ef61c7da77c9
Economía y Derecho,B,2020-06-17,17 junio,1:25:57,https://ca.bbcollab.com/recording/4ccbc95f2cc9483f980286185ea7b050
Economía y Derecho,B,2020-06-19,19 de junio,1:08:59,https://ca.bbcollab.com/recording/af7745798f7a477b964705b5ad88bcfd
Economía y Derecho,B,2020-06-24,24 junio,1:20:51,https://ca.bbcollab.com/recording/e572b96ab1bf42dbb1a4354cc174b4a0
Economía y Derecho,B,2020-06-26,26 junio,1:13:55,https://ca.bbcollab.com/recording/baa8564cae9a4d1c871fae7a34a4295b
Economía y Derecho,B,2020-07-03,3 julio,1:24:37,https://ca.bbcollab.com/recording/b3d4850efb6b40dab8aa5e58e468a638
Economía y Derecho,B,2020-07-08,8 julio,1:42:12,https://ca.bbcollab.com/recording/80d74d4c173b48a2a4b2685a7837b8c2
Economía y Derecho,B,2020-07-08,8 julio,1:42:12,https://ca.bbcollab.com/recording/80d74d4c173b48a2a4b2685a7837b8c2
Economía y Derecho,B,2020-07-10,10 julio,1:22:35,https://ca.bbcollab.com/recording/2055de2888d647b0aae478c193a2b406
Economía y Derecho,B,2020-07-10,10 julio,1:22:35,https://ca.bbcollab.com/recording/2055de2888d647b0aae478c193a2b406
