Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Estadística Aplicada,C,2020-03-30,Clase 1,1:08:50,https://ca.bbcollab.com/recording/53f97f227daa409db5586e02710fffdf
Estadística Aplicada,C,2020-03-30,Clase 1,0:22:02,https://ca.bbcollab.com/recording/d3c4ec8845e343c1b18c0e59f4a58c50
Estadística Aplicada,C,2020-04-02,Clase 2,0:55:08,https://ca.bbcollab.com/recording/3d137dda16cf4046b79c528825a8125d
Estadística Aplicada,C,2020-04-02,Clase 2,0:33:55,https://ca.bbcollab.com/recording/db7ee2b0999043ef959dbd789b4d0328
Estadística Aplicada,C,2020-04-06,Clase 3,1:06:23,https://ca.bbcollab.com/recording/085009ebce8245caacb9d5a10eb28e23
Estadística Aplicada,C,2020-04-06,Clase 3,0:13:14,https://ca.bbcollab.com/recording/39b6667f77694c2390c2919fe9a558d5
Estadística Aplicada,C,2020-04-13,Clase 4,0:44:41,https://ca.bbcollab.com/recording/1f83ffb470b04d98bf4fa4ee093f787e
Estadística Aplicada,C,2020-04-13,Clase 4,0:35:20,https://ca.bbcollab.com/recording/d00aaaf36c43448290a9487051829509
Estadística Aplicada,C,2020-04-16,Clase 5,0:30:04,https://ca.bbcollab.com/recording/46109ebe34c349018071ccfa0ae885d2
Estadística Aplicada,C,2020-04-16,Clase 5,0:37:41,https://ca.bbcollab.com/recording/9b1ba172df9d4c1aa35f9b1d17db1b4c
Estadística Aplicada,C,2020-04-20,Clase 6,0:55:57,https://ca.bbcollab.com/recording/24585d91039b4a009d483f9dc3f7c845
Estadística Aplicada,C,2020-04-20,Clase 6,0:45:53,https://ca.bbcollab.com/recording/4e04ce1256e3417bb114cefc23356d8f
Estadística Aplicada,C,2020-04-23,Clase 7,1:19:35,https://ca.bbcollab.com/recording/802d9fb5a07043ceb817e48f71a0bafd
Estadística Aplicada,C,2020-04-23,Clase 7,0:53:40,https://ca.bbcollab.com/recording/b6061ae31bc6455c856439c78de410e1
Estadística Aplicada,C,2020-04-27,Clase 8,0:40:36,https://ca.bbcollab.com/recording/1caab90e23814328ab6073a93142363f
Estadística Aplicada,C,2020-04-27,Clase 8,1:06:04,https://ca.bbcollab.com/recording/6f3f1c0ef301401ba1da0da5cc30aad9
Estadística Aplicada,C,2020-04-30,Clase Extra,0:45:40,https://ca.bbcollab.com/recording/1629243abc414695bfbdab3bccc1b584
Estadística Aplicada,C,2020-04-30,Clase Extra,1:05:44,https://ca.bbcollab.com/recording/a2dc693a7459497abb866f58851760d5
Estadística Aplicada,C,2020-05-04,Clase 10,0:50:37,https://ca.bbcollab.com/recording/5cfb4e8e0cb044b0a050bea5e7f962f1
Estadística Aplicada,C,2020-05-04,Clase 10,0:55:47,https://ca.bbcollab.com/recording/63673190b0a048b38c488a90c2db030e
Estadística Aplicada,C,2020-05-07,Clase 11,0:57:03,https://ca.bbcollab.com/recording/0b815c8bea7b473783e2e2989cc8f49b
Estadística Aplicada,C,2020-05-07,Clase 11,1:01:38,https://ca.bbcollab.com/recording/504e5ac6ee0e4c828b8499fb9accae40
Estadística Aplicada,C,2020-05-11,Clase 12,1:07:22,https://ca.bbcollab.com/recording/9b4e6b23a5b74bc096035118da848df4
Estadística Aplicada,C,2020-05-11,Clase 12,0:38:14,https://ca.bbcollab.com/recording/b5549b5dd6f54e5da103c3d085cd59a8
Estadística Aplicada,C,2020-05-14,Clase 13,1:06:00,https://ca.bbcollab.com/recording/e31dd6798c614fdbbc7217ea37ac20bf
Estadística Aplicada,C,2020-05-14,Clase 13,1:09:16,https://ca.bbcollab.com/recording/ec20e3117d3e40149e857d931a3ff1e8
Estadística Aplicada,C,2020-05-18,Parcial,0:04:16,https://ca.bbcollab.com/recording/5913431dfb3645749b3aa2fff4383ed9
Estadística Aplicada,C,2020-05-18,Parcial,0:43:58,https://ca.bbcollab.com/recording/9bde725575394c2c8dc532f63a7e9156
Estadística Aplicada,C,2020-05-25,Clase 14,1:08:54,https://ca.bbcollab.com/recording/57cd92b559464325a3c17e57833aa440
Estadística Aplicada,C,2020-05-25,Clase 14,0:27:14,https://ca.bbcollab.com/recording/81aa9b2f09be4e8e8ae6538720afd1fb
Estadística Aplicada,C,2020-05-28,Clase 15,0:52:31,https://ca.bbcollab.com/recording/9e6d65cb2ea147769bdc2f9d04d04aa5
Estadística Aplicada,C,2020-05-28,Clase 15,1:20:42,https://ca.bbcollab.com/recording/bce04803d3ea47a68abb6aa2e44987d7
Estadística Aplicada,C,2020-06-01,Clase 16,0:51:04,https://ca.bbcollab.com/recording/28d532b8a3844287be8e078edb445208
Estadística Aplicada,C,2020-06-01,Clase 16,0:41:39,https://ca.bbcollab.com/recording/e2704bf619c945888bfd2c06ee64247c
Estadística Aplicada,C,2020-06-04,Clase 17,1:17:45,https://ca.bbcollab.com/recording/39e195a8f243423581a93d8de8993060
Estadística Aplicada,C,2020-06-04,Clase 17,1:21:23,https://ca.bbcollab.com/recording/e1a32d8b74c44364b82e4d490bba2e3e
Estadística Aplicada,C,2020-06-08,Clase 16,0:47:21,https://ca.bbcollab.com/recording/9cd1e27fd24f4708a69dae631cbc964f
Estadística Aplicada,C,2020-06-08,Clase 16,0:47:25,https://ca.bbcollab.com/recording/c0b56144b74145f0958c631ab711f202
Estadística Aplicada,C,2020-06-11,Clase 17,0:19:59,https://ca.bbcollab.com/recording/5c93ab9f2f534951a62d4ebe7c62c37f
Estadística Aplicada,C,2020-06-11,Clase 17,1:23:01,https://ca.bbcollab.com/recording/ad13f212418d420cb6a3290f0cc56fa0
Estadística Aplicada,C,2020-06-15,Clase 16,0:57:05,https://ca.bbcollab.com/recording/bd5968dd00c545bbaa6a71194a1b9618
Estadística Aplicada,C,2020-06-15,Clase 16,0:34:33,https://ca.bbcollab.com/recording/c98a8de9c78141178e4d0893487a542e
Estadística Aplicada,C,2020-06-18,Clase 17,0:25:18,https://ca.bbcollab.com/recording/43c208d246984f19b6c6823aff4d5d9d
Estadística Aplicada,C,2020-06-18,Clase 17,0:55:29,https://ca.bbcollab.com/recording/4532585d527d49618357ba849f928082
Estadística Aplicada,C,2020-06-18,Clase 17,0:36:02,https://ca.bbcollab.com/recording/814ca1e25568461c8c92a1da661cba4a
