Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Estadística Aplicada,D,2020-03-30,Clase 1_Marzo30,1:36:59,https://ca.bbcollab.com/recording/f1d6c53ca5224444aac615fc7f4526a8
Estadística Aplicada,D,2020-04-01,Clase 04/01,2:07:08,https://ca.bbcollab.com/recording/d9152422ec8c422399bc3f99977b0695
Estadística Aplicada,D,2020-04-06,Sesión 3,1:24:20,https://ca.bbcollab.com/recording/eb4bc59bb11c4fe0869a29982ef74f8d
Estadística Aplicada,D,2020-04-13,Clase 13/04,1:46:02,https://ca.bbcollab.com/recording/f3d6a4c783c6433092fa6a42ea8b40a9
Estadística Aplicada,D,2020-04-15,Clase 15/04,2:45:06,https://ca.bbcollab.com/recording/b16b85d0ed27403d9ac154b6ba42d3f7
Estadística Aplicada,D,2020-04-27,Clase 27/04,1:43:46,https://ca.bbcollab.com/recording/da323f3516d6437289de9f32c32fd9cf
Estadística Aplicada,D,2020-04-29,Clase 29/04,2:36:07,https://ca.bbcollab.com/recording/665a5989db234a2caf0bb6b902ab3008
Estadística Aplicada,D,2020-05-04,Clase 04/05,1:32:09,https://ca.bbcollab.com/recording/cd1134494a3547fb94ca311eba8dcfc6
Estadística Aplicada,D,2020-05-11,Clase 11/05,1:40:02,https://ca.bbcollab.com/recording/c6dcc6c3a2f74bc8ab68b98643ab6b7e
Estadística Aplicada,D,2020-05-13,Clase 13/05,2:28:48,https://ca.bbcollab.com/recording/0eea8339c9fb4022b8322af71d52ac1c
Estadística Aplicada,D,2020-05-18,Examen Parcial,1:59:37,https://ca.bbcollab.com/recording/92cf5a725ad042f5884b1e8a4bb76162
Estadística Aplicada,D,2020-05-18,Examen Parcial (M-Z),1:59:31,https://ca.bbcollab.com/recording/1c887014f76947fcb35d05351e70d154
Estadística Aplicada,D,2020-05-25,Clase 25/05,1:37:02,https://ca.bbcollab.com/recording/ae2dd1754ef6476cad71914c42b3ee9f
Estadística Aplicada,D,2020-05-27,Clase 27/05,2:40:23,https://ca.bbcollab.com/recording/dab036db95f8417a8bc0c37bc291bb95
Estadística Aplicada,D,2020-06-03,Clase 03/06,2:30:30,https://ca.bbcollab.com/recording/dd69f822f44840f8a34ef5e0422235cc
Estadística Aplicada,D,2020-06-08,clase,1:35:49,https://ca.bbcollab.com/recording/e913ed1286d640a5b35f952acc003502
Estadística Aplicada,D,2020-06-10,Clase 10/06,2:13:43,https://ca.bbcollab.com/recording/3605c911cf76445bb646bbb958671fc1
Estadística Aplicada,D,2020-06-15,Clase 15/06,1:38:00,https://ca.bbcollab.com/recording/82dbf2277a84405c84cfcb2ed346c639
Estadística Aplicada,D,2020-06-17,Clase,2:41:05,https://ca.bbcollab.com/recording/69f6eec27c3d4f10846b8776678ba95d
Estadística Aplicada,D,2020-06-24,Clase 24/06,2:44:41,https://ca.bbcollab.com/recording/5abb4ff4177b4c948ccbff218b8a2f3e
Estadística Aplicada,D,2020-07-01,Clase 01/07,2:48:02,https://ca.bbcollab.com/recording/1b02de64d1774160bb0cd7db842d2e8c
Estadística Aplicada,D,2020-07-04,Caso R,2:50:15,https://ca.bbcollab.com/recording/0565619c15bd4f4f91c8ea20f48bf82f
Estadística Aplicada,D,2020-07-06,Clase Lunes,1:51:03,https://ca.bbcollab.com/recording/546328ab714245deaeb8b8f3e26f8591
Estadística Aplicada,D,2020-07-08,Clase 08/07,2:14:51,https://ca.bbcollab.com/recording/e6c8483e6e4e4789ac88cc6f91b99ea8
Estadística Aplicada,D,2020-07-08,Clase 08/07,2:14:51,https://ca.bbcollab.com/recording/e6c8483e6e4e4789ac88cc6f91b99ea8
