Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Estadística I,C,2020-03-31,Sesión 01. 2020-03-31,1:45:48,https://ca.bbcollab.com/recording/0f269e8d9c53458b8da9ae003b02ecd6
Estadística I,C,2020-04-02,Sesión 02.  2020-04-02,1:46:00,https://ca.bbcollab.com/recording/e7ad2f297fa541758235211e04987243
Estadística I,C,2020-04-07,Sesión 03.  2020-04-07,1:42:23,https://ca.bbcollab.com/recording/c05ad2b6e8844fdbb56b71d59593bcd7
Estadística I,C,2020-04-09,Sesión 04.  2020-04-09,1:43:31,https://ca.bbcollab.com/recording/52ee2d10ec244924aaebb1a0ed2cd94e
Estadística I,C,2020-04-14,Sesión 05. 2020-0-14,1:30:52,https://ca.bbcollab.com/recording/4e653cdbe7d2429b8188fe428bec8e7a
Estadística I,C,2020-04-16,Sesión 06. 2020-04-16,1:40:55,https://ca.bbcollab.com/recording/b667d5136fec4e0abcbef3c54c1a0d8b
Estadística I,C,2020-04-21,Sesión 07. 2020-04-21,1:41:23,https://ca.bbcollab.com/recording/7ab33864536c46a3bab4030a2323ced2
Estadística I,C,2020-04-23,Sesión 08. 2020-04-23,1:40:05,https://ca.bbcollab.com/recording/d47065b587834ab3b5f6ca6d4e6d5797
Estadística I,C,2020-04-25,Asesoría N° 1,1:46:32,https://ca.bbcollab.com/recording/5894ca455d4446f8a4c648fe0c30e9f5
Estadística I,C,2020-04-28,Sesión 09.  2020-04-28,1:35:54,https://ca.bbcollab.com/recording/fc6c3da8b37a47f2b6c52b7c514ea489
Estadística I,C,2020-04-30,sesión 10. 2020-04-30,1:43:42,https://ca.bbcollab.com/recording/a6d68b7409b04ae3835cbec9476ecae7
Estadística I,C,2020-05-02,PC1-2020-05-02,0:32:52,https://ca.bbcollab.com/recording/29069994684144eb91084e3d0bf335b1
Estadística I,C,2020-05-05,sesión 11. 2020-05-05,1:50:02,https://ca.bbcollab.com/recording/9910ae1b286347b1a3a6606de2e72b02
Estadística I,C,2020-05-07,sesión 12. 2020-05-07,1:41:46,https://ca.bbcollab.com/recording/a54331fa03c3474784cf24c23fd4fbd5
Estadística I,C,2020-05-09,ASESORIA 2 9/5/20,1:49:50,https://ca.bbcollab.com/recording/396773cdf08543fd8598adf286627c74
Estadística I,C,2020-05-12,Sesión 13.  2020-05-12,1:40:58,https://ca.bbcollab.com/recording/de60e15d7ccf4023813905d876d425a3
Estadística I,C,2020-05-14,Sesión 14.  2020-05-14,1:46:24,https://ca.bbcollab.com/recording/970e0c07d6e24e9d8804a7a36597593b
Estadística I,C,2020-05-16,PC2- EA1 16/5/20,2:06:54,https://ca.bbcollab.com/recording/9ffb5bd1150e42a9a722efe517c05175
Estadística I,C,2020-05-26,Sesión 15. 2020-05-26,1:45:06,https://ca.bbcollab.com/recording/1945fb43db9d44949076a37dd6969b5b
Estadística I,C,2020-05-28,Sesión 16. 2020-05-28,1:40:55,https://ca.bbcollab.com/recording/38b07d97a16d466d8d673143fadeb650
Estadística I,C,2020-06-02,Sesión 17. 2020-05-02,1:44:18,https://ca.bbcollab.com/recording/752a7fe9d74f4a74ae9d9d74a0424bb7
Estadística I,C,2020-06-04,Sesión 18. 2020-05-04,1:36:53,https://ca.bbcollab.com/recording/fdf5941cb0d242c881bc3e0bf48acf67
Estadística I,C,2020-06-09,Sesión 19. 2020-06-09,1:37:53,https://ca.bbcollab.com/recording/3ea9bd06b0604f5b9e7b1107adbc150e
Estadística I,C,2020-06-11,Sesión 21.  2020-06-11,1:28:43,https://ca.bbcollab.com/recording/0612cd38815443d2bdb731d8e3d4035d
Estadística I,C,2020-06-13,asesoria 3-13/6/20,1:51:32,https://ca.bbcollab.com/recording/a0be8d9b25d14012ae167db68587e472
Estadística I,C,2020-06-16,Sesión 21. 2020-06-16,1:40:40,https://ca.bbcollab.com/recording/7fe5fab2a1ba483796a3db76e6ea3275
Estadística I,C,2020-06-18,Sesión 22. 2020-06-18,1:38:33,https://ca.bbcollab.com/recording/9d5c6b25b7904a3db9d36f0cf4d1cb56
Estadística I,C,2020-06-18,Asesoría N°3a- Probabilidades,2:16:33,https://ca.bbcollab.com/recording/4c35b558691f426790771ef477b36595
Estadística I,C,2020-06-20,Aula Virtual PC3 sábado 20/6/20,1:45:43,https://ca.bbcollab.com/recording/5a0f5b2c0bb042fdb05c317d76332783
Estadística I,C,2020-06-23,sesión 23. 2020-06-23,1:37:35,https://ca.bbcollab.com/recording/456b100173944d74b49bf8b47b5b9ab7
Estadística I,C,2020-06-25,sesión 24. 2020-06-25,1:41:58,https://ca.bbcollab.com/recording/1c00b208eb2d4f1398886d20cf4b7eb4
Estadística I,C,2020-06-27,ASESORIA 4-sábado 27/06/2020,1:57:01,https://ca.bbcollab.com/recording/63bb9aeb9df345a99d7b39e2b0f63317
Estadística I,C,2020-06-30,Sesión 25. 2020-06-30,1:40:27,https://ca.bbcollab.com/recording/5bacf854bbd44dbf907d65109ceebfc2
Estadística I,C,2020-07-02,Sesión 26. 2020-07-02,1:39:39,https://ca.bbcollab.com/recording/823e7858e55144e8b9389f8fa3f51613
Estadística I,C,2020-07-04,PC4-sábado 04/07/2020,1:39:01,https://ca.bbcollab.com/recording/4e5eec2c4a714eddb5016d31f34f24ab
Estadística I,C,2020-07-07,Sesión 27. 2020-07-07,1:37:40,https://ca.bbcollab.com/recording/e538025c37db4d9b9b72299c4a55bdf6
Estadística I,C,2020-07-09,Sesión 28. 2020-07-09,1:21:04,https://ca.bbcollab.com/recording/8d15f3e5cedc4e659251e70036565e5c
Estadística I,C,2020-07-09,Sesión 28. 2020-07-09,1:21:04,https://ca.bbcollab.com/recording/8d15f3e5cedc4e659251e70036565e5c
Estadística I,C,2020-07-18,Examen final,0:49:58,https://ca.bbcollab.com/recording/cfe3d89c07ee46309e1f02802783dc26
Estadística I,C,2020-07-18,Examen final,0:49:58,https://ca.bbcollab.com/recording/cfe3d89c07ee46309e1f02802783dc26
