Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Estadística I,L,2020-03-30,Clase Semanal,1:47:35,https://ca.bbcollab.com/recording/129eb2b6b94a4731a4fff36d0214ceaf
Estadística I,L,2020-04-01,Clase Semanal,1:55:02,https://ca.bbcollab.com/recording/91f484f54d714ffc9402ff500e6b7fc3
Estadística I,L,2020-04-06,Clase Semanal,1:40:56,https://ca.bbcollab.com/recording/97bbe5de94524506b186ef5fc669d1de
Estadística I,L,2020-04-08,Clase Semanal,1:51:24,https://ca.bbcollab.com/recording/ea5d7dbe97df400b8abde282222ca07d
Estadística I,L,2020-04-13,Clase Semanal,1:45:07,https://ca.bbcollab.com/recording/ca983c396fa84246b69c66ab86e2f47b
Estadística I,L,2020-04-15,Clase Semanal,1:46:28,https://ca.bbcollab.com/recording/58b5d444003a4070aedd353636d9d8f0
Estadística I,L,2020-04-20,Clase Semanal,1:47:06,https://ca.bbcollab.com/recording/00b23936e1c7432883ff46f5629b2419
Estadística I,L,2020-04-22,Clase Semanal,1:52:21,https://ca.bbcollab.com/recording/3fe5c8632c86462383187bd425ad83da
Estadística I,L,2020-04-25,Asesoría N°1,2:02:06,https://ca.bbcollab.com/recording/301a19ea89c74110948493faea0ebf96
Estadística I,L,2020-04-27,Clase Semanal,1:49:08,https://ca.bbcollab.com/recording/ad03fa69309f4595bf6cd39f4e2a6b71
Estadística I,L,2020-04-29,Clase Semanal,2:00:35,https://ca.bbcollab.com/recording/e3da3bb73d694520aaeaf84a52835c77
Estadística I,L,2020-05-02,Práctica N°1 Sábado 02.05,1:54:49,https://ca.bbcollab.com/recording/ee2c00b6f0344511a5973471e1249d9c
Estadística I,L,2020-05-04,Clase Semanal,1:51:10,https://ca.bbcollab.com/recording/8e3caaa3597f4eec897ce23547ab62d5
Estadística I,L,2020-05-06,Clase Semanal,1:49:45,https://ca.bbcollab.com/recording/44da96072d534b40b4bec9e713068ee1
Estadística I,L,2020-05-09,Asesoría N°2 Sáb. 08.05,2:01:20,https://ca.bbcollab.com/recording/b95080fc6f164cff835b7aa0c3bcd8ed
Estadística I,L,2020-05-11,Clase Semanal,1:43:43,https://ca.bbcollab.com/recording/70022430796f4660bb2f23cc67bfed29
Estadística I,L,2020-05-13,Clase Semanal,1:38:41,https://ca.bbcollab.com/recording/2c85677fb20b44a39e4b4fe1373c1954
Estadística I,L,2020-05-16,Práctica Calificada N°2 Sáb. 15.05,1:58:37,https://ca.bbcollab.com/recording/9c7311aef074404eb4560e4db161d05c
Estadística I,L,2020-05-23,Examen Parcial,1:54:35,https://ca.bbcollab.com/recording/39bfe0f8604a460587ec5931274d6d46
Estadística I,L,2020-05-25,Clase Semanal,1:44:20,https://ca.bbcollab.com/recording/9213882725c34321a026aa3517a98385
Estadística I,L,2020-05-27,Clase Semanal,1:41:25,https://ca.bbcollab.com/recording/87b6e101b2ce4f839c9c22103c77f1b3
Estadística I,L,2020-06-01,Clase Semanal,1:54:38,https://ca.bbcollab.com/recording/25de40023f7e4e5bb61bf719abb195ad
Estadística I,L,2020-06-03,Clase Semanal,1:38:00,https://ca.bbcollab.com/recording/ff3f19796a9a433aa986e8feac48378c
Estadística I,L,2020-06-08,Clase Semanal,3:04:47,https://ca.bbcollab.com/recording/7611d4abbbf04714bf605f1bd27c460d
Estadística I,L,2020-06-10,Clase Semanal,1:50:33,https://ca.bbcollab.com/recording/e06376ca39d7498494e38b0304ff1dba
Estadística I,L,2020-06-13,Práctica Dirigida N°3 Sáb 13.06,2:00:02,https://ca.bbcollab.com/recording/49b91231eb3e40bca0ac421d3b0df091
Estadística I,L,2020-06-15,Clase Semanal,1:47:18,https://ca.bbcollab.com/recording/11fb1cfaba614b7391c99ca144e6edaa
Estadística I,L,2020-06-17,Clase Semanal,1:54:42,https://ca.bbcollab.com/recording/86d6ce3c296f41428061e887ffd32d50
Estadística I,L,2020-06-20,Práctica Calificada 3,1:59:51,https://ca.bbcollab.com/recording/46c54063693a4477aa6655b9a2526a0d
Estadística I,L,2020-06-22,Clase Semanal,1:55:38,https://ca.bbcollab.com/recording/02aeaffc479345cda21764c19d23052a
Estadística I,L,2020-06-24,Clase Semanal,1:54:17,https://ca.bbcollab.com/recording/e5adefe23cd542f1a7bfec9c8fdba6bb
Estadística I,L,2020-06-27,Práctica Dirigida N°4,1:56:34,https://ca.bbcollab.com/recording/64bcbddf893c498c808427fb5ecea562
Estadística I,L,2020-06-29,Clase Semanal,2:16:39,https://ca.bbcollab.com/recording/9946a0893d1d4d679d6ac1a1e12b3a88
Estadística I,L,2020-07-01,Clase Semanal,1:53:44,https://ca.bbcollab.com/recording/7b5bd798f27141beb4d83fda4deffa1a
Estadística I,L,2020-07-04,PC N°4 Sáb. 04.07,1:58:43,https://ca.bbcollab.com/recording/8bd3799c44cd4624ae55e46584be5561
Estadística I,L,2020-07-06,Clase Semanal,1:47:05,https://ca.bbcollab.com/recording/2d095f059af44f3fb2b2fee81b77763d
Estadística I,L,2020-07-08,Clase Semanal,1:47:19,https://ca.bbcollab.com/recording/48dfa2329d81467f94f4f9043297b3cb
Estadística I,L,2020-07-08,Clase Semanal,1:47:19,https://ca.bbcollab.com/recording/48dfa2329d81467f94f4f9043297b3cb
Estadística I,L,2020-07-18,Examen Final,0:43:14,https://ca.bbcollab.com/recording/758154b6c764402786935233e4931d15
