Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Estadística I,N,2020-03-31,Conceptos Generales,1:50:09,https://ca.bbcollab.com/recording/2aa27505ddec4da699c16194ff8db14d
Estadística I,N,2020-04-02,Continuación de conceptos generales,1:41:13,https://ca.bbcollab.com/recording/b048e0a82c794832ae04d1478181db1f
Estadística I,N,2020-04-07,Organización y representación gráfica,1:46:25,https://ca.bbcollab.com/recording/6ef89cf687e94db09ce5d16a69f9e5e9
Estadística I,N,2020-04-14,Organización y representación gráfica,1:40:59,https://ca.bbcollab.com/recording/77cb32e57f424a1babb842a1ff5a59cb
Estadística I,N,2020-04-16,Organz y representac gráf de var. continuas,1:36:16,https://ca.bbcollab.com/recording/10176dab99224c448d362660040cf9c7
Estadística I,N,2020-04-21,Gráficos especiales,1:43:07,https://ca.bbcollab.com/recording/cf84e45f100040c9b6b9e358c87c3928
Estadística I,N,2020-04-23,Medidas de Tendencia,1:36:39,https://ca.bbcollab.com/recording/b76f15ef1a354c5c9a44d0467508c835
Estadística I,N,2020-04-25,Asesoría 1,1:48:09,https://ca.bbcollab.com/recording/a5b82624efd748cfb53fa8d58de8d957
Estadística I,N,2020-04-28,Promedios especiales,1:41:56,https://ca.bbcollab.com/recording/c5258ae00a7c4b248b69db30753c9ff1
Estadística I,N,2020-04-30,Promedios especiales,1:36:54,https://ca.bbcollab.com/recording/f64bd052ffd14cdd90a3b79eed2a65b3
Estadística I,N,2020-05-02,Primera PC EI-N,2:17:11,https://ca.bbcollab.com/recording/845746224847465186a2eabd06f5f152
Estadística I,N,2020-05-05,Medidas de variabilidad,1:40:36,https://ca.bbcollab.com/recording/e4e7c306c59045f68efd19b9c31ef807
Estadística I,N,2020-05-07,Continuación de Medidas de Variabilidad,1:40:58,https://ca.bbcollab.com/recording/e9b5010c710b452ab13ed4f3a5c50122
Estadística I,N,2020-05-09,Asesoría 2,1:58:16,https://ca.bbcollab.com/recording/362413292c9b4c569160e65c96906ec2
Estadística I,N,2020-05-12,Gráfico de Cajas y Bigotes,1:40:18,https://ca.bbcollab.com/recording/04b6335968ce4d6dad23f1171816f701
Estadística I,N,2020-05-14,Técnicas de conteo,1:36:56,https://ca.bbcollab.com/recording/2a647270b02f42cc8b6d63e679d5da23
Estadística I,N,2020-05-16,PC2- N,2:03:48,https://ca.bbcollab.com/recording/e3c4498823e74c77905baa649424363e
Estadística I,N,2020-05-23,EP,1:46:39,https://ca.bbcollab.com/recording/c55a291116f34d18a973818e1dcdf352
Estadística I,N,2020-05-26,Probabilidades,1:43:37,https://ca.bbcollab.com/recording/745f475b6d9e4df98475f0454dfbd6fa
Estadística I,N,2020-05-28,Probabilidades,1:37:21,https://ca.bbcollab.com/recording/98bec102dcea44b6b70b27b8e8d73b39
Estadística I,N,2020-06-02,Probabilidades con eventos independientes,1:49:04,https://ca.bbcollab.com/recording/0ee23813b48d4ede8825b503ab5188fc
Estadística I,N,2020-06-04,Repaso de probabilidades,1:30:15,https://ca.bbcollab.com/recording/1a97786c53ca4d6cac35e8d48962692d
Estadística I,N,2020-06-09,Variables Aleatorias Continuas,1:40:59,https://ca.bbcollab.com/recording/476d1800ba5a4259a78280ea9d1450ce
Estadística I,N,2020-06-11,Modelos Discretos Importantes,1:32:24,https://ca.bbcollab.com/recording/e25538f35ae344a7a1d3bd63f3981ac4
Estadística I,N,2020-06-16,Distribuciones muestrales,0:53:27,https://ca.bbcollab.com/recording/2c83ee3c999543428eabc6dfa10e3b95
Estadística I,N,2020-06-16,Distribuciones muestrales,0:43:15,https://ca.bbcollab.com/recording/94d5d6e6be89453c852d425f7bb6a866
Estadística I,N,2020-06-16,Distribuciones muestrales,0:07:05,https://ca.bbcollab.com/recording/b666208a78ee432aa1ab03d470001c00
Estadística I,N,2020-06-18,Distribución de la proporción Muestral,1:40:44,https://ca.bbcollab.com/recording/6f5f8d5a15474689add6dd09f6551ff1
Estadística I,N,2020-06-23,Tamaño Mínimo de muestra,1:44:01,https://ca.bbcollab.com/recording/6ad3e2fdbcff48c286e96f2c9ffd19bc
Estadística I,N,2020-06-25,Inferencia Estadística: estimación,1:40:09,https://ca.bbcollab.com/recording/182cba2c5fc14f79bb4f699e4035e015
Estadística I,N,2020-06-27,Asesoría 4,1:49:18,https://ca.bbcollab.com/recording/2999e57b363549cd852918398daaa8ea
Estadística I,N,2020-06-30,Pruebas de hipótesis,1:24:33,https://ca.bbcollab.com/recording/9c056e91582047f3aa8055f20f637b75
Estadística I,N,2020-07-02,Hipótesis No Paramétricas,1:38:17,https://ca.bbcollab.com/recording/4db41746bc2c46238e840db9b776f62a
Estadística I,N,2020-07-07,Regresión Lineal Simple,0:00:30,https://ca.bbcollab.com/recording/2f1eee89f04d44b7b562d42b7e9dd4a5
Estadística I,N,2020-07-07,Regresión Lineal Simple,1:09:53,https://ca.bbcollab.com/recording/ecb6b6fbb95745cf8b84ae5fa785ec07
Estadística I,N,2020-07-09,Repaso para el EF,1:23:56,https://ca.bbcollab.com/recording/6b4ee005e5fa400aaf2415bc1c97f23b
Estadística I,N,2020-07-09,Repaso para el EF,1:23:56,https://ca.bbcollab.com/recording/6b4ee005e5fa400aaf2415bc1c97f23b
Estadística I,N,2020-07-18,EF,1:14:21,https://ca.bbcollab.com/recording/2edd001d814e414a95cd9d81c14b5c60
Estadística I,N,2020-07-18,EF,1:14:21,https://ca.bbcollab.com/recording/2edd001d814e414a95cd9d81c14b5c60
