Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Estadística I,O,2020-04-01,Conceptos Generales,1:33:40,https://ca.bbcollab.com/recording/46903488441a4ef99a2b770bc3ce409d
Estadística I,O,2020-04-03,Continuación de conceptos generales,1:34:16,https://ca.bbcollab.com/recording/e2bf4c73e3aa433c9a85505ca45a695a
Estadística I,O,2020-04-08,Organizac. y Representación Gráfica,1:41:33,https://ca.bbcollab.com/recording/8c8122313c8f4206bebc5df08fde2b0c
Estadística I,O,2020-04-15,Organización y representación gráfica,1:42:13,https://ca.bbcollab.com/recording/223ab7e0cc6e46e19e9ec2ce0379a776
Estadística I,O,2020-04-17,Continuac de organ y gráf de datos de3 var continua,1:38:25,https://ca.bbcollab.com/recording/3a1b679bd3cd4e608e0d3c4108f892a4
Estadística I,O,2020-04-22,Gráficos especiales,1:45:04,https://ca.bbcollab.com/recording/9a550674b0884fa088250179865c748f
Estadística I,O,2020-04-24,Continuación de Gráficos Especiales,1:28:18,https://ca.bbcollab.com/recording/d0c6f072eac743ddb82721e066a4091d
Estadística I,O,2020-04-25,Asesoría N° 1,1:48:00,https://ca.bbcollab.com/recording/b980c11e01fe42f3b27492c7c18adff6
Estadística I,O,2020-04-29,Medidas de Tendencia Central,0:00:33,https://ca.bbcollab.com/recording/73d11d8a1f4b4300be5731c80602f6ce
Estadística I,O,2020-04-29,Medidas de Tendencia Central,1:43:07,https://ca.bbcollab.com/recording/8b0ba1dac843491b99e979817a961701
Estadística I,O,2020-05-02,Primera Práctica Calificada,2:01:56,https://ca.bbcollab.com/recording/ed73b89d1a974683a69992199a97fdd7
Estadística I,O,2020-05-06,"Percentiles, promedios especiales",1:54:26,https://ca.bbcollab.com/recording/ea9b0ae7e02347e4bf5cb6c3bb30f168
Estadística I,O,2020-05-07,Clase de recuperación,1:39:20,https://ca.bbcollab.com/recording/c7d5ab488438489aadcc76507980d6da
Estadística I,O,2020-05-08,Percentiles,1:43:26,https://ca.bbcollab.com/recording/d4694f7b09124e30800185901f7b3017
Estadística I,O,2020-05-09,Asesoria N° 2,2:13:45,https://ca.bbcollab.com/recording/8634e1ea42be4f868a1599f54eaad423
Estadística I,O,2020-05-13,Medidas de la forma de la distribución. Gráfico de cajas,1:43:28,https://ca.bbcollab.com/recording/7503e71c29be45709b1b10e868159518
Estadística I,O,2020-05-15,Técnicas de Conteo,1:39:49,https://ca.bbcollab.com/recording/02238fbdb0434af1bd404933a0ddf99a
Estadística I,O,2020-05-16,Práctica Calificada n° 2,1:41:34,https://ca.bbcollab.com/recording/f880f9cb927a4bf6a92b71e16cc8881a
Estadística I,O,2020-05-23,EP,1:46:31,https://ca.bbcollab.com/recording/5d0c5a1b25cb447c9907556078b8cba8
Estadística I,O,2020-05-27,Probabilidads,1:43:14,https://ca.bbcollab.com/recording/1ec7db282b854aa2a5902791cb4d60c3
Estadística I,O,2020-05-27,Reunión con representante REA,0:25:17,https://ca.bbcollab.com/recording/bc0afe9c6cb244d19c23bb6b8f38d11b
Estadística I,O,2020-05-29,Probabilidades,1:38:47,https://ca.bbcollab.com/recording/2ec71ea5e2554a859dadc078a2f695e3
Estadística I,O,2020-05-30,Continuaciòn de Probabilidades,1:43:22,https://ca.bbcollab.com/recording/6725586336b746fbbd72b291fb5e1855
Estadística I,O,2020-06-03,Probabilidades con eventos independientes,1:41:50,https://ca.bbcollab.com/recording/78507c4d27984fcdaed3ee5c0ab0d074
Estadística I,O,2020-06-05,Repaso de probabilidades,1:40:45,https://ca.bbcollab.com/recording/b4298da7ca8a4b3f90bcf05addf023b5
Estadística I,O,2020-06-10,Variables Aleatorias Continuas,1:44:56,https://ca.bbcollab.com/recording/10092b786e7c4fa396a6d18d48ef1189
Estadística I,O,2020-06-12,Modelos Discretos Importantes,1:44:48,https://ca.bbcollab.com/recording/3ba23d9aac514966a8c0421adbeb2704
Estadística I,O,2020-06-13,Asesoria N° 3,1:54:47,https://ca.bbcollab.com/recording/50369c349055448eb0d71de1fa905fdb
