Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Estadística II,F,2020-03-31,Clase Semanal,1:54:49,https://ca.bbcollab.com/recording/f48220d8879445318edf9e3d1a0f5363
Estadística II,F,2020-04-02,Clase Semanal,1:57:00,https://ca.bbcollab.com/recording/408da4336e224ecc87a63cce840b6cfb
Estadística II,F,2020-04-07,Clase Semanal,1:54:00,https://ca.bbcollab.com/recording/9f0ba1f3df1047ed9b6c0557b50f3f20
Estadística II,F,2020-04-09,Clase Semanal,2:08:04,https://ca.bbcollab.com/recording/904241cf39bf4005b88c4d0c051c9d14
Estadística II,F,2020-04-14,Clase Semanal,1:57:54,https://ca.bbcollab.com/recording/23b1676a5325425ea6b5e1485d2afc36
Estadística II,F,2020-04-16,Clase Semanal,1:50:50,https://ca.bbcollab.com/recording/88f2321ab8d74803b43264ff6b4cbf96
Estadística II,F,2020-04-21,Clase Semanal,1:43:57,https://ca.bbcollab.com/recording/b0d6bcac7ced4e6abf2f4a06c8a25407
Estadística II,F,2020-04-23,Clase Semanal,1:46:04,https://ca.bbcollab.com/recording/1f575dc469ca40f68fa31c06af52aaca
Estadística II,F,2020-04-25,Asesoria N°1,1:55:23,https://ca.bbcollab.com/recording/092b56d624c144e7bc792d27859693d5
Estadística II,F,2020-04-28,Clase Semanal,1:44:26,https://ca.bbcollab.com/recording/2f57b0eb095d4b16b686901c7964a6d8
Estadística II,F,2020-04-30,Clase Semanal,2:02:29,https://ca.bbcollab.com/recording/144fd71987584d839c513eb7b940a54c
Estadística II,F,2020-05-02,Sesión PC1 Sábado 02.05,2:04:12,https://ca.bbcollab.com/recording/cdb5acdfc5094255b6fb901d519fe2cb
Estadística II,F,2020-05-05,Clase Semanal,1:46:32,https://ca.bbcollab.com/recording/d7ae282bce51438f88e5f34a166bba5e
Estadística II,F,2020-05-07,Clase Semanal,1:58:21,https://ca.bbcollab.com/recording/65346bfc7ba24dc4b333dd9be536a4d8
Estadística II,F,2020-05-09,Asesoría N°2 Sáb. 08.05,1:58:06,https://ca.bbcollab.com/recording/b18b84217c5246a19ca0cf88e01c89d4
Estadística II,F,2020-05-12,Clase Semanal,1:42:36,https://ca.bbcollab.com/recording/1e21b6ec1cdb41f284195ed1bcbeadfe
Estadística II,F,2020-05-14,Clase Semanal,1:43:58,https://ca.bbcollab.com/recording/a425011f3a334be69bf8d16067066830
Estadística II,F,2020-05-16,Práctica Calificadfa N°2 Sáb.16.05,1:57:50,https://ca.bbcollab.com/recording/9c3151c0b282453aa1bdb61180e91c69
Estadística II,F,2020-05-23,Examen Parcial,1:52:11,https://ca.bbcollab.com/recording/e651dbd293ff46febf958c691b66046c
Estadística II,F,2020-05-26,Clase Semanal,5:08:15,https://ca.bbcollab.com/recording/b418693e3b3a42198ebe1a0f684bcda8
Estadística II,F,2020-05-28,Clase Semanal,1:53:50,https://ca.bbcollab.com/recording/34feabe284eb49e8a39d58ea08652cd8
Estadística II,F,2020-06-02,Clase Semanal,1:46:56,https://ca.bbcollab.com/recording/e6dfb67370da43f1bb41b722242b6ef8
Estadística II,F,2020-06-04,Clase Semanal,1:47:25,https://ca.bbcollab.com/recording/666b57b390694210ab3075e1cb05ddfa
Estadística II,F,2020-06-09,Clase Semanal,1:48:10,https://ca.bbcollab.com/recording/1d28e2d63d0241118a57c97080729fa1
Estadística II,F,2020-06-11,Clase Semanal,2:00:54,https://ca.bbcollab.com/recording/30ea98eadf724d63a84d3b876d1dcc28
Estadística II,F,2020-06-13,Práctica Dirigida N°3 Sáb 13.06,2:00:52,https://ca.bbcollab.com/recording/80abc93462904bbb9ee3e5133c017c76
Estadística II,F,2020-06-16,Clase Semanal,1:53:30,https://ca.bbcollab.com/recording/a32bba25070d41a58ac936532b355e30
Estadística II,F,2020-06-18,Clase Semanal,2:03:25,https://ca.bbcollab.com/recording/7d88b1de05a4453a9988abd4472cc312
Estadística II,F,2020-06-20,Práctica Calificada N°3,1:59:01,https://ca.bbcollab.com/recording/e14396d98f184e03a3e73e094b3f67b4
Estadística II,F,2020-06-23,Clase Semanal,1:51:15,https://ca.bbcollab.com/recording/d4cadfcdd81643e28b2ffd50340ca1f1
Estadística II,F,2020-06-25,Clase Semanal,1:48:18,https://ca.bbcollab.com/recording/1f2a69e4a56c4e7693f5c59cc747c78b
Estadística II,F,2020-06-27,Práctica Dirigida N°4,2:00:16,https://ca.bbcollab.com/recording/f3562e739f424aac9e0cf325dad82f5e
Estadística II,F,2020-06-30,Clase Semanal,1:42:08,https://ca.bbcollab.com/recording/bfbaf4ab29fd4fc59d44a90ac28a3b3b
Estadística II,F,2020-07-02,Clase Semanal,1:51:18,https://ca.bbcollab.com/recording/47ddb37c80f34a2b8f4b075501e737e8
Estadística II,F,2020-07-04,PC N°4  Sáb. 04.07,1:59:43,https://ca.bbcollab.com/recording/cf9a5931bd484feeb4b8454984f17e55
Estadística II,F,2020-07-07,Clase Semanal,1:53:53,https://ca.bbcollab.com/recording/fa46a26fb3ad4f16a9f6a99db1be21a4
Estadística II,F,2020-07-09,Clase Semanal,1:53:23,https://ca.bbcollab.com/recording/30bef9afb7c74409a34cd0cf952f5adb
Estadística II,F,2020-07-09,Clase Semanal,1:53:23,https://ca.bbcollab.com/recording/30bef9afb7c74409a34cd0cf952f5adb
Estadística II,F,2020-07-18,Examen Final,1:16:11,https://ca.bbcollab.com/recording/0752f162761c44079e5e0a9a614ccb7d
