Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Estadística II,G,2020-03-31,Sesión 1   -   31-03-20,0:49:20,https://ca.bbcollab.com/recording/3f462f2449bb4824ba20c505cb249c82
Estadística II,G,2020-04-02,Sesión 2         02-04-20,1:38:11,https://ca.bbcollab.com/recording/0138e582e8074b42bc1feea5ca339722
Estadística II,G,2020-04-07,Sesión 3    07-04-20,1:39:44,https://ca.bbcollab.com/recording/1e8f828fb52b4e9b992d633914c0a1ae
Estadística II,G,2020-04-14,Sesión 4     14-04-20,1:41:05,https://ca.bbcollab.com/recording/3013045db1d64445bfc72ef39d81d1ab
Estadística II,G,2020-04-16,Sesión 5        16-04-20,1:39:54,https://ca.bbcollab.com/recording/ed03625f39744dd1b051affbab77456c
Estadística II,G,2020-04-21,Sesión 6      21-04-20,1:39:00,https://ca.bbcollab.com/recording/ca088cc75f2f44fa9dc0dc13f324e066
Estadística II,G,2020-04-23,Sesión 7     23-04-20,1:38:38,https://ca.bbcollab.com/recording/eb9fad856155462794d961bf6307d587
Estadística II,G,2020-04-25,asesoria 1,1:40:42,https://ca.bbcollab.com/recording/f1d9f4eb79834bc9be04ebc8d402083a
Estadística II,G,2020-04-28,Sesión 8      28-04-20,1:29:48,https://ca.bbcollab.com/recording/486300defbef4c64bb076758a93a9101
Estadística II,G,2020-04-30,Sesión 9       30-04-20,1:45:59,https://ca.bbcollab.com/recording/ff411eacc96a45ea8c4b356072a45129
Estadística II,G,2020-05-02,PC1G est2,1:55:25,https://ca.bbcollab.com/recording/9eb5c5395c174024808c0f2f43f211cd
Estadística II,G,2020-05-05,Sesión 10      05-05-20,1:37:55,https://ca.bbcollab.com/recording/0a97e6c82d934c9d841b409d810d301d
Estadística II,G,2020-05-07,Sesión 11    07-05-20,1:28:56,https://ca.bbcollab.com/recording/fee6284a0c0c47c99b79bdd0a3411de2
Estadística II,G,2020-05-09,asesoria 2,1:46:46,https://ca.bbcollab.com/recording/d8f20c29e2d342dcb92ed7a4d6ba7d9a
Estadística II,G,2020-05-12,Sesión 12,1:36:38,https://ca.bbcollab.com/recording/dda3415dd7f0462b85583b620ce4b573
Estadística II,G,2020-05-14,Sesión 13     14-05-20,1:40:08,https://ca.bbcollab.com/recording/fdb1faf88a9b44148d00f3301ae83327
Estadística II,G,2020-05-16,PC 2 SECCION G,2:03:51,https://ca.bbcollab.com/recording/f263d3d515a042c987378ae1fa784f3b
Estadística II,G,2020-05-26,Sesión 2-1     26-05-20,1:34:05,https://ca.bbcollab.com/recording/68976d19ef904aa1a6dda79c705581fc
Estadística II,G,2020-05-28,Sesión 2-2,1:52:57,https://ca.bbcollab.com/recording/5aac871a551549a5bb70b05175cad47f
Estadística II,G,2020-06-02,Sesión   2-3      02-06-20,1:37:34,https://ca.bbcollab.com/recording/fc1a2f3c88314caa97b6f86c0e9f6368
Estadística II,G,2020-06-04,Sesión 2-4    04-06-20,1:28:10,https://ca.bbcollab.com/recording/6c7af5c996ae42939bf711824058bea5
Estadística II,G,2020-06-09,Sesión  2-5,1:32:32,https://ca.bbcollab.com/recording/46845128486647f5b2ae42562dfa827b
Estadística II,G,2020-06-11,Sesión  2-6     11-06-20,1:36:58,https://ca.bbcollab.com/recording/c643e7de80f84a2e8209bd536b79c29b
Estadística II,G,2020-06-13,asesoria 3,1:49:27,https://ca.bbcollab.com/recording/80e50766b0a64f4881e7fac46b6913d8
Estadística II,G,2020-06-16,Sesión   2-7     16-06-20,1:37:10,https://ca.bbcollab.com/recording/1bbe624bcba24de2ae47809512894047
Estadística II,G,2020-06-18,Sesión 2-8   18-06-20,1:34:10,https://ca.bbcollab.com/recording/b3d6c4c30f12417b86599e279b00172e
Estadística II,G,2020-06-20,Practica calificada 3,1:35:04,https://ca.bbcollab.com/recording/fedaacf922194f90a2b6a9f40ff6c3ef
Estadística II,G,2020-06-23,Sesión 2-8   23-06-20,1:36:13,https://ca.bbcollab.com/recording/7a1dea2a58dc4649af58062688a04f7d
Estadística II,G,2020-06-25,Sesión 2-9     25-06-20,1:26:34,https://ca.bbcollab.com/recording/f8324270f9a64499951f734ce0a352e2
Estadística II,G,2020-06-27,Asesoria 4,1:23:47,https://ca.bbcollab.com/recording/9c80220d0a6142148d3d5f4400e52179
Estadística II,G,2020-06-30,Sesión 2-10      30-06-20,1:28:09,https://ca.bbcollab.com/recording/93faaa9f8fb14b44b69b42323f657c93
Estadística II,G,2020-07-02,Sesión 2-12     02-07-20,1:23:07,https://ca.bbcollab.com/recording/0e5efe85b255453fb9b4b126d38494c0
Estadística II,G,2020-07-04,PC4,1:56:24,https://ca.bbcollab.com/recording/7c91a25ef884439d976368c28a6a5296
Estadística II,G,2020-07-07,Sesión  2-13     07-07-20,1:36:06,https://ca.bbcollab.com/recording/ab202e7979af403b84d23b32b2c326ab
Estadística II,G,2020-07-09,Sesión 2-14      09-07-20,1:22:35,https://ca.bbcollab.com/recording/0b9fbf9c728744f9b061bb72b9184daa
Estadística II,G,2020-07-09,Sesión 2-14      09-07-20,1:22:35,https://ca.bbcollab.com/recording/0b9fbf9c728744f9b061bb72b9184daa
