Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Estadística II,H,2020-04-01,Variables aleatorias continuas,1:42:01,https://ca.bbcollab.com/recording/ca00c379d66c4085b268c0986c3c0fd9
Estadística II,H,2020-04-02,Variables aleatorias unidimensionales,1:41:33,https://ca.bbcollab.com/recording/b585f243ac144cefb8c849dc6bdd6070
Estadística II,H,2020-04-04,Asesoría,1:36:26,https://ca.bbcollab.com/recording/489727a20b1c41d4ada3d16a9a7142a1
Estadística II,H,2020-04-08,Modelos discretos importantes,1:45:42,https://ca.bbcollab.com/recording/a0cb7129df3742cb9b1a3017fb90d11e
Estadística II,H,2020-04-15,Principales distribuciones continuas,1:38:26,https://ca.bbcollab.com/recording/bcbbf3f0febe421e92c4d612e6e45304
Estadística II,H,2020-04-16,Var. Bidimensional,1:22:45,https://ca.bbcollab.com/recording/9722cc72c0f7416a84a2054494abda53
Estadística II,H,2020-04-22,Distribuciones Bivariadas,1:38:33,https://ca.bbcollab.com/recording/1753982e321a4fdcb646e8ecb24e8199
Estadística II,H,2020-04-23,Continuación de var. bidimensional,1:40:53,https://ca.bbcollab.com/recording/8c9c74db635e45cb9ea98ea2793b4b31
Estadística II,H,2020-04-25,Asesoría N°1,0:45:27,https://ca.bbcollab.com/recording/0851695df3f244abb130144f586ad78c
Estadística II,H,2020-04-25,Asesoría N°1,0:45:56,https://ca.bbcollab.com/recording/616fc2723c924997b67daa558bb75574
Estadística II,H,2020-04-29,Medias y Variancias condicionadas,1:38:16,https://ca.bbcollab.com/recording/c18f473fad6143e4bf33304646d22887
Estadística II,H,2020-04-30,Normal Bivariada,1:30:27,https://ca.bbcollab.com/recording/e3ce5ca2add14d7685dd083ca4c34eae
Estadística II,H,2020-05-06,Momentos. Otras distribuciones continuas,1:38:18,https://ca.bbcollab.com/recording/3bbb0e1a699544ffa9e29486d47575dd
Estadística II,H,2020-05-07,Continuación de las Distribuciones Muestrales,1:40:30,https://ca.bbcollab.com/recording/271a800f10eb4b4a959ab0ea5c924cb9
Estadística II,H,2020-05-09,Asesoría N° 2,1:38:34,https://ca.bbcollab.com/recording/cfe4a73d537640e3b6e4e4423619d470
Estadística II,H,2020-05-13,Distribución de la proporción muestral y la diferenc de proporciones muestrales,1:42:39,https://ca.bbcollab.com/recording/1fde6b968e9b4bb4805dfe6cc8c21dd6
Estadística II,H,2020-05-14,Otras distribuciones Continuas Importantes,1:44:04,https://ca.bbcollab.com/recording/3c33d76ffa374a72a84896c37ba3303b
Estadística II,H,2020-05-16,Segunda PC,0:48:37,https://ca.bbcollab.com/recording/f480b02811f44a6a83cdaa9bde21a6c8
Estadística II,H,2020-05-23,EP,2:05:04,https://ca.bbcollab.com/recording/71ecc13de91f442c9c24ffaad31cc631
Estadística II,H,2020-05-27,"Distribución ""F"" de Snedeccor",1:43:38,https://ca.bbcollab.com/recording/e2a29e92224b4143b4d87692448c84d4
Estadística II,H,2020-05-28,Inferencia estadìstica: Estimaciòn,1:35:09,https://ca.bbcollab.com/recording/b713672118ae41a0a54055c5ea68f316
Estadística II,H,2020-06-03,Hipótesis paramétricas,1:42:42,https://ca.bbcollab.com/recording/895c35564d994f459225a85fcec23034
Estadística II,H,2020-06-04,Continuación de Hipótesis Paramétricas,1:53:06,https://ca.bbcollab.com/recording/523ac5cef4a5441c8b9f3a8bd2512ec1
Estadística II,H,2020-06-10,Pruebas No-Paramétricas,1:40:24,https://ca.bbcollab.com/recording/5f0a03ff3522455ba61b9641881c86e9
Estadística II,H,2020-06-11,Continuación de pruebas No-Paramétricas,1:36:29,https://ca.bbcollab.com/recording/da816f6d376a4a5b967b57ddd3cc3162
Estadística II,H,2020-06-13,Asesoría Nª 3,2:15:26,https://ca.bbcollab.com/recording/a2c41b9810764cf4b71b04c0a97d2a49
Estadística II,H,2020-06-17,Continuación de Pruebas No-Paramétricas,1:32:15,https://ca.bbcollab.com/recording/6f74586adfbc423599276fc386369d0e
Estadística II,H,2020-06-17,Continuación de Pruebas No-Paramétricas,0:06:49,https://ca.bbcollab.com/recording/ef56fdae4e1a47da80bd824dcfb22647
Estadística II,H,2020-06-18,Pruebas de Bondad de Ajuste,1:37:09,https://ca.bbcollab.com/recording/6fc728a0f3024b76861ddf977a6f5283
Estadística II,H,2020-06-20,Práctica Calificada N° 3,2:04:39,https://ca.bbcollab.com/recording/4693311adda346da954c9454c744552d
Estadística II,H,2020-06-24,Pruebas de Bondad de Ajuste,1:47:13,https://ca.bbcollab.com/recording/01522523a1f24d1d8d13f298dbc3f6aa
