Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Estrategias de Comunicación,A,2020-03-30,Clase 1 Estrategias de Comunicación,1:03:12,https://ca.bbcollab.com/recording/c517a3ee368d47d190d4b9741e213cc3
Estrategias de Comunicación,A,2020-04-01,Clase 02 - 01/04/20,1:50:53,https://ca.bbcollab.com/recording/28da9b4ce91e46ef9e71ef13ae1c676f
Estrategias de Comunicación,A,2020-04-06,Semana 2 Clase lunes,1:16:58,https://ca.bbcollab.com/recording/3e98103f4e0243e2a24f37d29a11d8d6
Estrategias de Comunicación,A,2020-04-08,Semana 2 Clase miércoles,0:08:21,https://ca.bbcollab.com/recording/dce98e98244543fe90c5fc3602a3f6df
Estrategias de Comunicación,A,2020-04-08,Semana 2 Clase miércoles,1:27:56,https://ca.bbcollab.com/recording/fe4dd80c6cda473382ef0328e85917c9
Estrategias de Comunicación,A,2020-04-13,Semana 3 Clase lunes,2:01:05,https://ca.bbcollab.com/recording/6dbcb6f52e1d4ca4813694b8ef7ef003
Estrategias de Comunicación,A,2020-04-15,Semana 3 Clase miércoles,1:08:31,https://ca.bbcollab.com/recording/21b1990a0c114ea4b111e321963377e9
Estrategias de Comunicación,A,2020-04-20,Semana 4 Clase lunes,1:52:23,https://ca.bbcollab.com/recording/4a9d707f87504e42af7286a0626e8a40
Estrategias de Comunicación,A,2020-04-22,Semana 4 Clase miércoles,0:04:27,https://ca.bbcollab.com/recording/58cb22aa9dce4f339ce3b51f5d397599
Estrategias de Comunicación,A,2020-04-22,Semana 4 Clase miércoles,2:01:42,https://ca.bbcollab.com/recording/c282a356d3c644e89b07f04bc8c389fe
Estrategias de Comunicación,A,2020-04-27,Semana 5 Clase lunes,2:07:11,https://ca.bbcollab.com/recording/3fe4ee636c8044c7a8c91ab3afa1b691
Estrategias de Comunicación,A,2020-04-29,Semana 5 Clase miércoles,1:20:00,https://ca.bbcollab.com/recording/8f0666c2ea1d47bbba19e9ed9365fba7
Estrategias de Comunicación,A,2020-05-04,Semana 6 Clase lunes,1:48:10,https://ca.bbcollab.com/recording/8c932fbb214d46eaa10cc01f77fa3393
Estrategias de Comunicación,A,2020-05-06,Semana 6 miércoles,1:06:08,https://ca.bbcollab.com/recording/dd6220069c18494faf5695decbf12c92
Estrategias de Comunicación,A,2020-05-11,Semana 7 Lunes,1:52:33,https://ca.bbcollab.com/recording/f90a867216654604a72ac13e1024ad05
Estrategias de Comunicación,A,2020-05-13,Semana 7 miércoles,1:41:59,https://ca.bbcollab.com/recording/0bf8726976fd4bd980b22d1af6a3116f
Estrategias de Comunicación,A,2020-05-25,Semana 9 lunes,1:45:38,https://ca.bbcollab.com/recording/737739011a3d46c1824bf59570870e33
Estrategias de Comunicación,A,2020-05-27,Semana 9 miércoles,1:49:15,https://ca.bbcollab.com/recording/ac131b6921bf4be2978243c1cb2f6fce
Estrategias de Comunicación,A,2020-06-01,Semana 10 lunes,1:49:20,https://ca.bbcollab.com/recording/f8be5ec49ce649b4aaa95c450c758219
Estrategias de Comunicación,A,2020-06-03,Semana 10 miércoles,1:48:26,https://ca.bbcollab.com/recording/1f5240314da54997abb74ed163dae160
Estrategias de Comunicación,A,2020-06-08,Semana 11 lunes,1:51:08,https://ca.bbcollab.com/recording/217ac0b9bda147efad9016f40c076bcb
Estrategias de Comunicación,A,2020-06-10,Semana 11 miércoles,1:17:41,https://ca.bbcollab.com/recording/d75ec1cd5e44453cbf54de36666c7a62
Estrategias de Comunicación,A,2020-06-15,Semana 12 lunes,1:47:59,https://ca.bbcollab.com/recording/4e816921e03f4873b5294a7ba45a4145
Estrategias de Comunicación,A,2020-06-17,Semana 12 miércoles,0:00:03,https://ca.bbcollab.com/recording/a351242b6fd44197835ebe126f0b3e99
Estrategias de Comunicación,A,2020-06-17,Semana 12 miércoles,1:32:56,https://ca.bbcollab.com/recording/accbca92e53a406ea1c2d5c498657e00
Estrategias de Comunicación,A,2020-06-17,Semana 12 miércoles,0:15:15,https://ca.bbcollab.com/recording/b451bb134201442a895bec3278cef5cf
Estrategias de Comunicación,A,2020-06-22,Semana 13 lunes,1:52:59,https://ca.bbcollab.com/recording/b1eddb6c707f4d7a8fa8446fd0c82e2f
Estrategias de Comunicación,A,2020-06-24,Semana 13 miércoles,2:19:57,https://ca.bbcollab.com/recording/bfb2f6ecf7dc4c4ea2a9d143e8b3ccb9
Estrategias de Comunicación,A,2020-07-01,Semana 14 miércoles,1:48:38,https://ca.bbcollab.com/recording/3141cec011ed43f798727eda74b0621b
Estrategias de Comunicación,A,2020-07-06,Semana 15 lunes,1:50:18,https://ca.bbcollab.com/recording/9ae0236d898d4d8fa7ba4905968de086
Estrategias de Comunicación,A,2020-07-08,Semana 15 miércoles,1:44:33,https://ca.bbcollab.com/recording/3c1858fc7f934778b195414b5071a85c
