Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Estrategias de Precio,A,2020-03-31,Sesión 1:  Introducción y evaluación diagnóstica,1:52:40,https://ca.bbcollab.com/recording/2e2035194de54e2a9d4d8ffad4102e8f
Estrategias de Precio,A,2020-04-03,Sesión 2:  El rol del precio en la estrategia del negocio,1:53:10,https://ca.bbcollab.com/recording/cd36cd5383ed4f15a56787b57e85fe94
Estrategias de Precio,A,2020-04-07,Sesión 3,0:56:19,https://ca.bbcollab.com/recording/03bc5fc074194c60ab50b30c2e5ff67c
Estrategias de Precio,A,2020-04-14,Sesión 4,1:16:51,https://ca.bbcollab.com/recording/41bf081836a34d7186ab225fc422c4ad
Estrategias de Precio,A,2020-04-14,Sesión 4,0:25:17,https://ca.bbcollab.com/recording/9502625c80414706b39b97b4b38ab878
Estrategias de Precio,A,2020-04-17,Sesión 5:  El entorno macro y micro,1:42:46,https://ca.bbcollab.com/recording/1d194beb9f0f48fdb8ba69a1e64a7305
Estrategias de Precio,A,2020-04-21,Sesión 6: grupos estratégicos y análisis de competencia,1:39:25,https://ca.bbcollab.com/recording/ee61cdd0183a464488d20b56a2a290a4
Estrategias de Precio,A,2020-04-24,"Sesión 8:  Factores internos, estrategia",1:20:12,https://ca.bbcollab.com/recording/d984dd3c70d6488b9e57c681e5f74754
Estrategias de Precio,A,2020-04-28,Sesión 8: Factores internos,0:26:01,https://ca.bbcollab.com/recording/a2fef15f06b6497fab2870f05e4e6f76
Estrategias de Precio,A,2020-05-05,Sesión 9:  Factores internos,1:37:56,https://ca.bbcollab.com/recording/500986556e474191b0e6f96f3c692245
Estrategias de Precio,A,2020-05-08,Sesión 10,1:47:41,https://ca.bbcollab.com/recording/196735cdfaaa4acd9b9110e8b052ea86
Estrategias de Precio,A,2020-05-12,Sesión 11  Precios en el portafolio,1:40:58,https://ca.bbcollab.com/recording/3271ad87e9c3483fa2d20258ec1ae798
Estrategias de Precio,A,2020-05-15,Sesión 12,1:36:27,https://ca.bbcollab.com/recording/a2038e8e162e4be4a20f632725644e5c
Estrategias de Precio,A,2020-05-26,Precios Segunda Parte (abierta hasta fin de ciclo),1:36:28,https://ca.bbcollab.com/recording/d772c4afec754eff86880fa843a78705
Estrategias de Precio,A,2020-05-29,Precios Segunda Parte (abierta hasta fin de ciclo),1:51:34,https://ca.bbcollab.com/recording/957c06ebd3694e1eb60af3c22ffd9ecc
Estrategias de Precio,A,2020-06-02,Precios Segunda Parte (abierta hasta fin de ciclo),1:34:45,https://ca.bbcollab.com/recording/e9f6f0109f224ffba58af65f3a48bbfa
Estrategias de Precio,A,2020-06-05,Precios Segunda Parte (abierta hasta fin de ciclo),1:38:14,https://ca.bbcollab.com/recording/01b5db0e6541475ca6c09a17d6b9a33d
Estrategias de Precio,A,2020-06-09,Precios Segunda Parte (abierta hasta fin de ciclo),1:14:56,https://ca.bbcollab.com/recording/1f7321dc727b4d84a6bd54fa9c765577
Estrategias de Precio,A,2020-06-12,Precios Segunda Parte (abierta hasta fin de ciclo),1:36:20,https://ca.bbcollab.com/recording/69a05ce6db774ef38cc115d3a3b36f08
Estrategias de Precio,A,2020-06-19,Precios Segunda Parte (abierta hasta fin de ciclo),1:35:24,https://ca.bbcollab.com/recording/b6adeb1fc8ed42b0b782204799815c6b
Estrategias de Precio,A,2020-06-23,Precios Segunda Parte (abierta hasta fin de ciclo),1:24:11,https://ca.bbcollab.com/recording/8c61edcb4faa4f97a552cd2bec0f32da
Estrategias de Precio,A,2020-06-26,Precios Segunda Parte (abierta hasta fin de ciclo),1:30:25,https://ca.bbcollab.com/recording/ac945424b49d4d0bbbe4d3492f14cece
Estrategias de Precio,A,2020-06-30,Precios Segunda Parte (abierta hasta fin de ciclo),1:03:32,https://ca.bbcollab.com/recording/bb6170ec3ffa4f29953d9df0fd75e44f
Estrategias de Precio,A,2020-07-03,Precios Segunda Parte (abierta hasta fin de ciclo),1:31:46,https://ca.bbcollab.com/recording/567f910f7d1b49fab1ae2cdec8f7ef1b
Estrategias de Precio,A,2020-07-10,Precios Segunda Parte (abierta hasta fin de ciclo),1:42:43,https://ca.bbcollab.com/recording/9bf87c655e374d12b20ab9293447fdb3
