Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Estrategias de Producto,A,2020-04-03,Segunda clase - Estrategia de productos,1:17:03,https://ca.bbcollab.com/recording/e2bc2b4ec2fc4657aad6f08668c9df0c
Estrategias de Producto,A,2020-04-08,3ra clase - 08/04/2020,1:45:46,https://ca.bbcollab.com/recording/f44aeff3d5224044af5efcd67ec992a2
Estrategias de Producto,A,2020-04-15,Cuarta Clase - 15/04/20 Estrategia de Productos,1:51:12,https://ca.bbcollab.com/recording/83657fdd37ae4b82b0e1b79650e10d8e
Estrategias de Producto,A,2020-04-17,Quinta Clase - 17/04,2:23:49,https://ca.bbcollab.com/recording/2919a75932434e62a9579c77c9c0eb85
Estrategias de Producto,A,2020-04-22,Sexta Sesión - Estrategia,1:51:41,https://ca.bbcollab.com/recording/436468a0330142dbbe3f6da51b4843e1
Estrategias de Producto,A,2020-04-24,Clase 24 de Abril,1:48:53,https://ca.bbcollab.com/recording/baa60d9212b6439f89b289b894ffe0d3
Estrategias de Producto,A,2020-04-29,Clase Miércoles 29.04,1:40:47,https://ca.bbcollab.com/recording/3738061b1871408b930f0959d6db97ec
Estrategias de Producto,A,2020-05-06,Clase 06/05,1:14:16,https://ca.bbcollab.com/recording/01bd6de9433c4edfb887e5a18b8a8c4b
Estrategias de Producto,A,2020-05-08,Clase Viernes 08/05,1:51:38,https://ca.bbcollab.com/recording/49713dec0fed420c87d6211b03d4f906
Estrategias de Producto,A,2020-05-13,clase miercoles 13/05,1:43:33,https://ca.bbcollab.com/recording/21199f562f7146a6878a012c9bea05ab
Estrategias de Producto,A,2020-05-15,Viernes 15/05,1:37:28,https://ca.bbcollab.com/recording/d5fa407bc0c649598f045d11797f261f
Estrategias de Producto,A,2020-05-23,Estrategia de Productos – Examen Parcial,1:57:18,https://ca.bbcollab.com/recording/6acd631f963641eeb43233cbd0223ad3
Estrategias de Producto,A,2020-05-27,Clase Miércoles 27/05/20,1:43:18,https://ca.bbcollab.com/recording/a91211bf42f84a239f3aee1e88bbc7b8
Estrategias de Producto,A,2020-05-29,Clase Viernes 29/05/20,1:41:10,https://ca.bbcollab.com/recording/b1a446a4452946c1981a222c83d4f963
Estrategias de Producto,A,2020-06-03,Clase Miércoles 03.06.20,1:41:58,https://ca.bbcollab.com/recording/b0a7f10d9c8e49b8930480ba4bd48339
Estrategias de Producto,A,2020-06-05,Clase Viernes 05/06/20,1:36:10,https://ca.bbcollab.com/recording/e8efd7e7b36a45d88528831acc447f28
Estrategias de Producto,A,2020-06-10,Clase Miércoles 10/06,1:54:31,https://ca.bbcollab.com/recording/49cbb5393f104d23b55a443f8ec14ceb
Estrategias de Producto,A,2020-06-10,Clase Miércoles 10/06,0:00:02,https://ca.bbcollab.com/recording/c915a953a3db4c08b243ef7aad91060b
Estrategias de Producto,A,2020-06-12,Clase Viernes 12/06,0:00:21,https://ca.bbcollab.com/recording/34759e88fe014b4f942dab28d9f4c546
Estrategias de Producto,A,2020-06-12,Clase Viernes 12/06,1:38:06,https://ca.bbcollab.com/recording/b3fa2ed0023c46fd9d0edebcbb8ccead
Estrategias de Producto,A,2020-06-17,Clase Miércoles 17.06.20,1:35:45,https://ca.bbcollab.com/recording/8922bb29d3524d6dbe441fb553c7aaa1
Estrategias de Producto,A,2020-06-19,Clase Viernes 19.06.20,1:29:36,https://ca.bbcollab.com/recording/1f6ee90403f54944896532c1a5977b5c
Estrategias de Producto,A,2020-06-24,Miércoles 24.06.20,1:34:58,https://ca.bbcollab.com/recording/4e5ef28ff1244d05b5433566ec0b38b1
Estrategias de Producto,A,2020-06-26,Viernes 26/06/20,1:28:40,https://ca.bbcollab.com/recording/5a3cfebfde034d21b58943e34a0b50d0
Estrategias de Producto,A,2020-07-01,Sesión Miércoles 01/07/2020,1:42:10,https://ca.bbcollab.com/recording/52ce9c88e4fb4e23a68384ab10217d23
Estrategias de Producto,A,2020-07-03,Sesión Viernes 03/07/20,1:38:26,https://ca.bbcollab.com/recording/01756e3a74834022a41ac2a009a475a8
Estrategias de Producto,A,2020-07-08,Miércoles 08/07,1:39:58,https://ca.bbcollab.com/recording/a4a5112d4deb4b38b82380b76f5d9f0c
Estrategias de Producto,A,2020-07-08,Miércoles 08/07,1:39:58,https://ca.bbcollab.com/recording/a4a5112d4deb4b38b82380b76f5d9f0c
Estrategias de Producto,A,2020-07-10,Viernes 10/07/20,1:40:50,https://ca.bbcollab.com/recording/11ac961779cf478ea120721a6c85ccb1
