Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Evaluación Financiera de las Empresas,A,2020-04-01,Estados Financieros,2:57:26,https://ca.bbcollab.com/recording/c8cb76a1c5a94991ab8587134365d28d
Evaluación Financiera de las Empresas,A,2020-04-08,Estado de Flujos de Efectivo,2:47:58,https://ca.bbcollab.com/recording/bef28b0f1f284f7a9415bf1dec08873a
Evaluación Financiera de las Empresas,A,2020-04-10,Práctica dirigida 17.04,1:40:33,https://ca.bbcollab.com/recording/053a924730c3497b99c368901d4a222c
Evaluación Financiera de las Empresas,A,2020-04-15,Estado de Flujo de Efectivo II,2:30:58,https://ca.bbcollab.com/recording/2b33203e11c341d983a9338c1e58108d
Evaluación Financiera de las Empresas,A,2020-04-17,Práctica dirigida 17.04,1:25:51,https://ca.bbcollab.com/recording/1ade4baee5bd43ce9a6e55cd77927d4a
Evaluación Financiera de las Empresas,A,2020-04-29,Proyección de EE. FF.  I,2:49:35,https://ca.bbcollab.com/recording/49c6c123cefb43a9ad37715727b915be
Evaluación Financiera de las Empresas,A,2020-05-06,Proyección  EE.FF.  II,1:10:58,https://ca.bbcollab.com/recording/ce25b050053e415fa95ce137575d6913
Evaluación Financiera de las Empresas,A,2020-05-09,Sesión 09.05,0:52:37,https://ca.bbcollab.com/recording/fed1b27ae5414747b5a640fd554de058
Evaluación Financiera de las Empresas,A,2020-05-13,Estados Financieros proyectados,1:06:03,https://ca.bbcollab.com/recording/3718c3f02fec472182c269de1c416a68
Evaluación Financiera de las Empresas,A,2020-05-21,Examen Parcial,0:15:00,https://ca.bbcollab.com/recording/8a9d604985b24707a32788e440bf9940
Evaluación Financiera de las Empresas,A,2020-05-27,Avance de Informe sobre Empresa real,2:44:56,https://ca.bbcollab.com/recording/5632c735f87144e6a4efddee6ff97769
Evaluación Financiera de las Empresas,A,2020-05-29,PD 29.05,0:20:22,https://ca.bbcollab.com/recording/13dbeb8e29c54f54b0bd5ac4d11ec8a9
Evaluación Financiera de las Empresas,A,2020-05-29,PD 29.05,1:02:53,https://ca.bbcollab.com/recording/dc3241a4cbad4999a543722d1b06dce1
Evaluación Financiera de las Empresas,A,2020-06-03,Análisis de Estados Financieros,1:28:07,https://ca.bbcollab.com/recording/6b58118a867d4e209dc4eeac6e643e1a
Evaluación Financiera de las Empresas,A,2020-06-05,PD.05.06,1:34:24,https://ca.bbcollab.com/recording/67e4dc3f06554b0496dc81ee043bf75c
Evaluación Financiera de las Empresas,A,2020-06-10,Ajuste por Inflación,2:53:18,https://ca.bbcollab.com/recording/6a3649caf7014f2fa9238e225fbc1b87
Evaluación Financiera de las Empresas,A,2020-06-12,12.06,1:06:53,https://ca.bbcollab.com/recording/10e4823131944a22a3e4b0902e621999
Evaluación Financiera de las Empresas,A,2020-06-17,Conferencia Virtual,2:05:23,https://ca.bbcollab.com/recording/f9f21f7512764aae9703aca07065a562
Evaluación Financiera de las Empresas,A,2020-06-24,PD-Sesion24.06,1:19:42,https://ca.bbcollab.com/recording/25bf4b8439ed4b5f996878a80fae5a12
Evaluación Financiera de las Empresas,A,2020-06-24,PD-Sesion24.06,0:43:50,https://ca.bbcollab.com/recording/b4b744ff07d84842bf8f602c56900b36
Evaluación Financiera de las Empresas,A,2020-06-26,Conferencia Virtual : Fusiones y adquisiciones,1:12:47,https://ca.bbcollab.com/recording/c82f30a5479248bebdf4952822ee0989
Evaluación Financiera de las Empresas,A,2020-07-01,Conferencia Virtual: Valuación de empresas,3:02:41,https://ca.bbcollab.com/recording/a0540e44665a4e2780ff8c8b62a4a92f
Evaluación Financiera de las Empresas,A,2020-07-03,Sesión 03.07,1:19:22,https://ca.bbcollab.com/recording/7379b70c715f4f3fa8892804df2fdb77
Evaluación Financiera de las Empresas,A,2020-07-08,08.07.2020 Conferencia virtual,1:06:20,https://ca.bbcollab.com/recording/3644550fdf9e4a79993c144dacb385d9
Evaluación Financiera de las Empresas,A,2020-07-08,08.07.2020 Conferencia virtual,1:06:20,https://ca.bbcollab.com/recording/3644550fdf9e4a79993c144dacb385d9
Evaluación Financiera de las Empresas,A,2020-07-08,08.07.2020 Práctica Calificada,1:39:12,https://ca.bbcollab.com/recording/591f059a69384f97a1f60cb6c01672c5
Evaluación Financiera de las Empresas,A,2020-07-08,08.07.2020 Práctica Calificada,1:39:12,https://ca.bbcollab.com/recording/591f059a69384f97a1f60cb6c01672c5
Evaluación Financiera de las Empresas,A,2020-07-08,08.07.2020 Práctica Calificada,0:07:47,https://ca.bbcollab.com/recording/6ec4bef80b9740fd8e6b145808706086
Evaluación Financiera de las Empresas,A,2020-07-10,Sustentaciones KM Delta Express y Cine Planet,2:08:41,https://ca.bbcollab.com/recording/d59298d33732440d978763500d57372c
Evaluación Financiera de las Empresas,A,2020-07-10,Sustentaciones KM Delta Express y Cine Planet,2:08:41,https://ca.bbcollab.com/recording/d59298d33732440d978763500d57372c
