Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Evaluación Privada de Proyectos,A,2020-04-01,Sesión 1: Introducción y Flujo de Caja (Parte I),1:39:46,https://ca.bbcollab.com/recording/897ed856d14140e98bb7a31ddc18a928
Evaluación Privada de Proyectos,A,2020-04-01,Sesión 1: Introducción y Flujo de Caja (Parte I),0:36:27,https://ca.bbcollab.com/recording/cfbfceac07174fb889d37324f27e142b
Evaluación Privada de Proyectos,A,2020-04-02,PD 1 EPP,1:56:56,https://ca.bbcollab.com/recording/8514fe7e26f74a769a3558fe04d52751
Evaluación Privada de Proyectos,A,2020-04-08,Sesión 2: Flujo de Caja (Parte II) y Caso Viñedos Pinasco,1:01:55,https://ca.bbcollab.com/recording/512c1d677f244b8cb1db141b1f051f2a
Evaluación Privada de Proyectos,A,2020-04-08,Sesión 2: Flujo de Caja (Parte II) y Caso Viñedos Pinasco,1:37:23,https://ca.bbcollab.com/recording/cfa3e1a032b34a74ac5bafbc2afc4977
Evaluación Privada de Proyectos,A,2020-04-15,Sesión 3: Control 1 e Ingreso Mínimo,1:02:18,https://ca.bbcollab.com/recording/46d2146156d740aab7765979fb2e2f98
Evaluación Privada de Proyectos,A,2020-04-15,Sesión 3: Control 1 e Ingreso Mínimo,0:22:15,https://ca.bbcollab.com/recording/8adf2b2b2b4f4dbc8c3e1ff431d1af60
Evaluación Privada de Proyectos,A,2020-04-16,PD 2,1:52:26,https://ca.bbcollab.com/recording/f65b55be1af14fd19268f84b6f77898c
Evaluación Privada de Proyectos,A,2020-04-22,Sesión 4: Ingreso Minimo (Continuación),2:51:58,https://ca.bbcollab.com/recording/fb37f2cbf4874f75b96768ada311c5c7
Evaluación Privada de Proyectos,A,2020-04-23,PD3,1:47:20,https://ca.bbcollab.com/recording/bc0a69540bae4e6dbd11913907e4e39e
Evaluación Privada de Proyectos,A,2020-04-29,Sesión 5: Indicadores de Rentabilidad,0:53:04,https://ca.bbcollab.com/recording/9eb339293c884599a0e15527d4f7c20c
Evaluación Privada de Proyectos,A,2020-04-29,Sesión 5: Indicadores de Rentabilidad,1:57:51,https://ca.bbcollab.com/recording/aa208dc82f954ed2b318188242a5fc47
Evaluación Privada de Proyectos,A,2020-04-30,PD 4,2:01:25,https://ca.bbcollab.com/recording/024f8ee00f554965837da86547df103d
Evaluación Privada de Proyectos,A,2020-05-06,Sesión 6: Control 2 e Indicadores de Rentabilidad (cont),1:15:26,https://ca.bbcollab.com/recording/7b7c7c22474b4757b59ee462b3d8a712
Evaluación Privada de Proyectos,A,2020-05-06,Sesión 6: Control 2 e Indicadores de Rentabilidad (cont),0:32:15,https://ca.bbcollab.com/recording/ac7d4045308a4cf3a7147a23e14d0f36
Evaluación Privada de Proyectos,A,2020-05-06,Sesión 6: Control 2 e Indicadores de Rentabilidad (cont),0:42:34,https://ca.bbcollab.com/recording/c0b40930a097479facfe65684d1a7e2e
Evaluación Privada de Proyectos,A,2020-05-13,Sesión 7: Estrategias Específicas,1:27:10,https://ca.bbcollab.com/recording/1a834060bc8047f7ab76f4aa4d095813
Evaluación Privada de Proyectos,A,2020-05-13,Sesión 7: Estrategias Específicas,1:32:28,https://ca.bbcollab.com/recording/b01b5377de654570b39db5b3093485ba
Evaluación Privada de Proyectos,A,2020-05-14,PD 5,2:11:58,https://ca.bbcollab.com/recording/01e492adb0454e82acd4560f640e4b2f
Evaluación Privada de Proyectos,A,2020-05-27,Sesión 9: Optimización,1:44:31,https://ca.bbcollab.com/recording/a55cb9f718714339a7ddd8cab2dc393b
Evaluación Privada de Proyectos,A,2020-05-27,Sesión 9: Optimización,1:04:56,https://ca.bbcollab.com/recording/ac5f7fa0eac14930bd33fd87f105094f
Evaluación Privada de Proyectos,A,2020-06-03,Sesión 10: Ranking de Proyectos,0:47:37,https://ca.bbcollab.com/recording/60798ca2758c4faebe42669f075f9d42
Evaluación Privada de Proyectos,A,2020-06-03,Sesión 10: Ranking de Proyectos,1:52:43,https://ca.bbcollab.com/recording/78f1390b683b4a5ebbeea61ddce68c09
Evaluación Privada de Proyectos,A,2020-06-04,PD6,1:54:30,https://ca.bbcollab.com/recording/1f2f5e5c08154ad89d5f4f0c1eebe38f
Evaluación Privada de Proyectos,A,2020-06-10,Sesión 11: Financiamiento de Proyectos,0:33:14,https://ca.bbcollab.com/recording/3015cc11a60b45e4947ed301ace88368
Evaluación Privada de Proyectos,A,2020-06-10,Sesión 11: Financiamiento de Proyectos,1:08:29,https://ca.bbcollab.com/recording/738b1a2d6b90403fbb498ad0fb6f7e0c
Evaluación Privada de Proyectos,A,2020-06-11,Asesoría Trabajo P2 - Buenaventura,1:06:01,https://ca.bbcollab.com/recording/3765c705fec84972a68d6a2a48f0cc9e
Evaluación Privada de Proyectos,A,2020-06-11,Asesoría Trabajo P2 - Graña y Montero,1:05:55,https://ca.bbcollab.com/recording/69b056cf5738473587aefcdfad571c70
Evaluación Privada de Proyectos,A,2020-06-11,Asesoría Trabajo P2 - InRetail,1:04:03,https://ca.bbcollab.com/recording/ebe923de60044084ad8bcc95a37de881
Evaluación Privada de Proyectos,A,2020-06-17,Sesión 12: Financiamiento de proyectos (continuación),2:59:47,https://ca.bbcollab.com/recording/4fcf8e0247714bfea9903039242c05fb
Evaluación Privada de Proyectos,A,2020-06-18,Práctica Dirigida 7,1:49:54,https://ca.bbcollab.com/recording/b644de6b360943c29f32dfad7393df8a
Evaluación Privada de Proyectos,A,2020-06-24,Sesión 13: Riesgo e Incertidumbre,2:04:28,https://ca.bbcollab.com/recording/a5e5bd70ce4b4a12afd6220a8ecc7d20
Evaluación Privada de Proyectos,A,2020-06-24,Sesión 13: Riesgo e Incertidumbre,0:50:23,https://ca.bbcollab.com/recording/c911006fee28487892c2c7b614023904
