Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Evaluación Privada de Proyectos,B,2020-03-30,Sesión 1 - Conceptos básicos y Flujo de Caja,1:21:02,https://ca.bbcollab.com/recording/30738d147b2c4296ad14d9516925b8f1
Evaluación Privada de Proyectos,B,2020-03-30,Sesión 1 - Conceptos básicos y Flujo de Caja,1:15:31,https://ca.bbcollab.com/recording/e1bad91cc5564d4dbd8c1ed85ace7699
Evaluación Privada de Proyectos,B,2020-04-02,PD 1 - Flujo de caja 1,1:45:53,https://ca.bbcollab.com/recording/5c3a30bc3227401dbe94d73f0e4f8aaa
Evaluación Privada de Proyectos,B,2020-04-06,Sesión 2 - Ingreso Mínimo,1:51:27,https://ca.bbcollab.com/recording/4d8ce4feb88a461287b6c7abd19e89c1
Evaluación Privada de Proyectos,B,2020-04-06,Sesión 2 - Ingreso Mínimo,0:44:24,https://ca.bbcollab.com/recording/6674d509a4c0448f8c828f968b886837
Evaluación Privada de Proyectos,B,2020-04-13,Sesión 3 - Ingreso mínimo (2),0:19:13,https://ca.bbcollab.com/recording/199ab81951e9465e931d87b1570bb9b1
Evaluación Privada de Proyectos,B,2020-04-13,Sesión 3 - Ingreso mínimo (2),1:22:27,https://ca.bbcollab.com/recording/f0c4e82294fb4369b369c7e92824e735
Evaluación Privada de Proyectos,B,2020-04-16,PD 2 - Flujo de caja,1:31:29,https://ca.bbcollab.com/recording/b3ec47e5ad4046b1b3210d94d926c67f
Evaluación Privada de Proyectos,B,2020-04-20,Sesión 4 - Indicadores de rentabilidad (1),1:04:49,https://ca.bbcollab.com/recording/03b8456961124ca484e7d422097b113b
Evaluación Privada de Proyectos,B,2020-04-20,Sesión 4 - Indicadores de rentabilidad (1),1:10:44,https://ca.bbcollab.com/recording/2ef48bcfa2b64bed9ea860eb6941576f
Evaluación Privada de Proyectos,B,2020-04-23,PD 3 - Ingreso mínimo y préstamos,2:06:29,https://ca.bbcollab.com/recording/0365118b110246e59255b598c42d810c
Evaluación Privada de Proyectos,B,2020-04-27,Sesión 5 - Indicadores de rentabilidad (2),1:25:14,https://ca.bbcollab.com/recording/46338974d46b4d15ad32d13cd504ee71
Evaluación Privada de Proyectos,B,2020-04-27,Sesión 5 - Indicadores de rentabilidad (2),1:01:59,https://ca.bbcollab.com/recording/eec56ef5b53a4a24bec0220111aea7d0
Evaluación Privada de Proyectos,B,2020-04-30,PD4- Anualidades e Ingreso Mínimo,2:02:19,https://ca.bbcollab.com/recording/3a5952ef3e1d44d5b32489e4f2263690
Evaluación Privada de Proyectos,B,2020-05-04,Sesión 6 - Indicadores de rentabilidad (3),0:10:44,https://ca.bbcollab.com/recording/2fa50f200c244938bef8eaa2d870ef86
Evaluación Privada de Proyectos,B,2020-05-04,Sesión 6 - Indicadores de rentabilidad (3),1:09:32,https://ca.bbcollab.com/recording/7c17361a68174f3b99c9a8b58f2287ec
Evaluación Privada de Proyectos,B,2020-05-11,Sesión 7 - Estrategias específicas,0:58:06,https://ca.bbcollab.com/recording/4948e49ba7be4ca3a03cbd3e6bb9f8d7
Evaluación Privada de Proyectos,B,2020-05-11,Sesión 7 - Estrategias específicas,1:18:27,https://ca.bbcollab.com/recording/fe66b14211c9425395aa60852cbde006
Evaluación Privada de Proyectos,B,2020-05-14,Asesoria Pre Parcial,1:59:34,https://ca.bbcollab.com/recording/44fdaaa5124f42b6b58a0ae707e6e732
Evaluación Privada de Proyectos,B,2020-05-25,Sesión 9 - Optimización,1:01:38,https://ca.bbcollab.com/recording/099f51f0665b4b9e900ebd9270935ea9
Evaluación Privada de Proyectos,B,2020-05-25,Sesión 9 - Optimización,0:40:26,https://ca.bbcollab.com/recording/589ff6c1f90240ed997670ee35e7c30c
Evaluación Privada de Proyectos,B,2020-05-28,"PD5 - MOT, MOI y TOI",1:43:38,https://ca.bbcollab.com/recording/1a04cd28daa046f1947dd7c0a4cab091
Evaluación Privada de Proyectos,B,2020-06-01,Sesión 10 - Ranking de proyectos,1:37:30,https://ca.bbcollab.com/recording/ade6519a139b4e15b8863398e65c4e18
Evaluación Privada de Proyectos,B,2020-06-01,Sesión 10 - Ranking de proyectos,0:37:01,https://ca.bbcollab.com/recording/f8d41e3460324531a25ac6f840c376ec
Evaluación Privada de Proyectos,B,2020-06-04,PD6 - Ranking de proyectos,1:52:41,https://ca.bbcollab.com/recording/acbe5c9f8ea34024a451ef8f10a0dc92
Evaluación Privada de Proyectos,B,2020-06-08,Sesión 11 - Evaluación de Préstamos (1),1:47:05,https://ca.bbcollab.com/recording/8624f645762c4c808c8f45e5966646d4
Evaluación Privada de Proyectos,B,2020-06-11,Asesoría Trabajo P2 - Buenaventura,1:06:01,https://ca.bbcollab.com/recording/3765c705fec84972a68d6a2a48f0cc9e
Evaluación Privada de Proyectos,B,2020-06-11,Asesoría Trabajo P2 - Graña y Montero,1:05:55,https://ca.bbcollab.com/recording/69b056cf5738473587aefcdfad571c70
Evaluación Privada de Proyectos,B,2020-06-11,Asesoría Trabajo P2 - InRetail,1:04:03,https://ca.bbcollab.com/recording/ebe923de60044084ad8bcc95a37de881
Evaluación Privada de Proyectos,B,2020-06-15,Sesión 12 - Evaluación de Préstamos (2),1:34:15,https://ca.bbcollab.com/recording/7e2be7ab9d45450293147947126bbe35
Evaluación Privada de Proyectos,B,2020-06-15,Sesión 12 - Evaluación de Préstamos (2),0:38:55,https://ca.bbcollab.com/recording/c84525a582964493ae1b9c2604332173
Evaluación Privada de Proyectos,B,2020-06-18,PD7 - Evaluación de financiamiento,1:51:07,https://ca.bbcollab.com/recording/31ffef5d45d647daab181af67c6a9c2d
Evaluación Privada de Proyectos,B,2020-06-22,Sesión 13 - Análisis de Riesgos (1),1:16:54,https://ca.bbcollab.com/recording/d2dd7d33df1c4297925fcb3c6300e4d8
Evaluación Privada de Proyectos,B,2020-06-22,Sesión 13 - Análisis de Riesgos (1),1:22:51,https://ca.bbcollab.com/recording/f89c81b18213429bbe8a744189c53cc5
Evaluación Privada de Proyectos,B,2020-06-25,PD8 - Incertidumbre en proyectos,1:29:44,https://ca.bbcollab.com/recording/bca5c9a331e7459d98ca1e7426be6f39
Evaluación Privada de Proyectos,B,2020-06-29,Sesión 14 - Análisis de Riesgos (2),1:31:30,https://ca.bbcollab.com/recording/45a566296abc4034b2d2a33985b46d5f
Evaluación Privada de Proyectos,B,2020-07-02,PC2,2:07:38,https://ca.bbcollab.com/recording/64de0ce058a54674b23c2bf2ecadd312
Evaluación Privada de Proyectos,B,2020-07-06,Sesión 15 - La tasa de descuento,0:47:05,https://ca.bbcollab.com/recording/345e0322781a4849bddb020b3caa2367
Evaluación Privada de Proyectos,B,2020-07-06,Sesión 15 - La tasa de descuento,0:47:05,https://ca.bbcollab.com/recording/345e0322781a4849bddb020b3caa2367
Evaluación Privada de Proyectos,B,2020-07-09,Asesoría Pre Final,1:41:31,https://ca.bbcollab.com/recording/1d86a97d8e1043c8913f2454c70d1a01
Evaluación Privada de Proyectos,B,2020-07-09,Asesoría Pre Final,1:41:31,https://ca.bbcollab.com/recording/1d86a97d8e1043c8913f2454c70d1a01
