Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Evaluación Privada de Proyectos,C,2020-04-02,Prácticas Dirigidas,2:11:15,https://ca.bbcollab.com/recording/20cb0b9422b44989af65d680475917b4
Evaluación Privada de Proyectos,C,2020-04-16,Prácticas Dirigidas,2:06:50,https://ca.bbcollab.com/recording/cc25ea484b3e4849abecb448f223cdb2
Evaluación Privada de Proyectos,C,2020-04-23,Prácticas Dirigidas,2:06:54,https://ca.bbcollab.com/recording/43c85fae366248bcb256b7cd26bf34e8
Evaluación Privada de Proyectos,C,2020-04-30,Prácticas Dirigidas,1:50:39,https://ca.bbcollab.com/recording/a362b4b085674b908886131d6ae0cab8
Evaluación Privada de Proyectos,C,2020-05-14,Prácticas Dirigidas,2:29:04,https://ca.bbcollab.com/recording/f590d39a4d2e46999da702c7a9cb8891
Evaluación Privada de Proyectos,C,2020-05-28,Prácticas Dirigidas,2:03:31,https://ca.bbcollab.com/recording/9209cdae5264487cbdce28d0b1b6b019
Evaluación Privada de Proyectos,C,2020-06-04,Prácticas Dirigidas,1:17:21,https://ca.bbcollab.com/recording/9310a5a0e3a04628aab977db0043a3cf
Evaluación Privada de Proyectos,C,2020-06-11,Asesoría Trabajo P2 - Buenaventura,1:06:01,https://ca.bbcollab.com/recording/3765c705fec84972a68d6a2a48f0cc9e
Evaluación Privada de Proyectos,C,2020-06-11,Asesoría Trabajo P2 - Graña y Montero,1:05:55,https://ca.bbcollab.com/recording/69b056cf5738473587aefcdfad571c70
Evaluación Privada de Proyectos,C,2020-06-11,Asesoría Trabajo P2 - InRetail,1:04:03,https://ca.bbcollab.com/recording/ebe923de60044084ad8bcc95a37de881
Evaluación Privada de Proyectos,C,2020-06-18,Prácticas Dirigidas,1:54:26,https://ca.bbcollab.com/recording/259b761c89c549cd92a17b9cbe40e427
Evaluación Privada de Proyectos,C,2020-06-25,Prácticas Dirigidas,1:49:59,https://ca.bbcollab.com/recording/abf49d375f53433a9b2764acadb417ae
Evaluación Privada de Proyectos,C,2020-07-09,Prácticas Dirigidas,2:17:34,https://ca.bbcollab.com/recording/1463bece6e36403b849785a27efcef1f
Evaluación Privada de Proyectos,C,2020-07-09,Prácticas Dirigidas,2:17:34,https://ca.bbcollab.com/recording/1463bece6e36403b849785a27efcef1f
