Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Filosofía,G,2020-03-31,I. Una pregunta filosófica fundamental: el sentido de la existencia 1,1:39:54,https://ca.bbcollab.com/recording/b8884f2f5cbb42a9b24f7f1edd92b2a1
Filosofía,G,2020-04-02,I. Una pregunta filosófica fundamental: el sentido de la existencia 2,1:41:36,https://ca.bbcollab.com/recording/4955229eadb54d69b8f7eaa4ab58f211
Filosofía,G,2020-04-07,I. Una pregunta filosófica fundamental: el sentido de la existencia 3,1:41:28,https://ca.bbcollab.com/recording/c5b2a3018d5b4d48a4779f61c2e95a0e
Filosofía,G,2020-04-14,"II. Origen, objeto y características de la actitud filosófica",1:23:16,https://ca.bbcollab.com/recording/b3ab4002178b41c9a4bd97253ec27e34
Filosofía,G,2020-04-16,"II. Origen, objeto y características de la actitud filosófica 2",1:40:58,https://ca.bbcollab.com/recording/a314ac4b31814ef78f9009d7853b64e0
Filosofía,G,2020-04-21,"II. Origen, objeto y características de la actitud filosófica 3",1:41:38,https://ca.bbcollab.com/recording/eda2564110c644cbb8d4ced9a388ce8f
Filosofía,G,2020-04-23,"II. Origen, objeto y características de la actitud filosófica",1:36:42,https://ca.bbcollab.com/recording/3e41891ce5a84ea5baa84b90a90e4ef0
Filosofía,G,2020-04-28,III. Tres paradigmas para una historia de la filosofía,1:47:14,https://ca.bbcollab.com/recording/7e2f0eebbcfd4c0b8a75577bbf813cad
Filosofía,G,2020-04-30,III. Tres paradigmas para una historia de la filosofía 2,1:44:48,https://ca.bbcollab.com/recording/9cd7ace1abb74db38620919696e3da8f
Filosofía,G,2020-05-05,"IV. El paradigma del ser: Platón, ""Apología de Sócrates""",1:45:00,https://ca.bbcollab.com/recording/62ea0b84aab449ad8f3def2a0821aa62
Filosofía,G,2020-05-07,"IV. El paradigma del ser: Platón, ""Alegoría de la caverna""",1:38:12,https://ca.bbcollab.com/recording/be3ffed496574ce4ab2d3cb2b565937e
Filosofía,G,2020-05-12,"IV. El paradigma del ser: Platón, ""Alegoría de la caverna"" 2",1:35:32,https://ca.bbcollab.com/recording/d172762c8e2942a8aecdd9ebf561fb78
Filosofía,G,2020-05-14,"IV. El paradigma del ser: Aristóteles, ""Ética Nicomáquea""",1:39:22,https://ca.bbcollab.com/recording/95e60495b37345c990a6f24b94674d92
Filosofía,G,2020-05-26,"IV. El paradigma del ser: Aristóteles. ""Ética Nicomáquea"" 2",1:27:20,https://ca.bbcollab.com/recording/e802a35ce67f4f25a6e15159de43c773
Filosofía,G,2020-05-28,"IV. El paradigma del ser: Aristóteles. ""Ética Nicomáquea"" 3",1:40:31,https://ca.bbcollab.com/recording/d31806c9d396401ba6528a599a0f8177
Filosofía,G,2020-06-02,"V. El paradigma de la conciencia: Descartes, ""Meditaciones metafísicas"" 1",1:37:27,https://ca.bbcollab.com/recording/b01288603f1249c49571893fb1bb8f1b
Filosofía,G,2020-06-11,"V. El paradigma de la conciencia: Descartes, ""Meditaciones metafísicas"" 2",1:33:34,https://ca.bbcollab.com/recording/b9f5b642def44d289c82b38fa63bc707
Filosofía,G,2020-06-16,"V. Paradigma de la conciencia: Descartes, ""Meditaciones metafísicas"" 3",1:18:23,https://ca.bbcollab.com/recording/7dd3de14a7c3477aadd9d8d7bccb182c
Filosofía,G,2020-06-18,"V. El paradigma de la conciencia: Descartes, ""Meditaciones metafísicas"" 4",1:35:20,https://ca.bbcollab.com/recording/2b59ccccb5214e5e99f887c753610473
Filosofía,G,2020-06-23,"V. El paradigma de la conciencia: Kant, ""¿Qué es la Ilustración?""",1:32:41,https://ca.bbcollab.com/recording/a62aaa4986d84d489093425e4b289b40
Filosofía,G,2020-06-25,"V. El paradigma de la conciencia: Kant, ""¿Qué es la Ilustración?"" 1",1:41:00,https://ca.bbcollab.com/recording/f9e7b465f6aa4c99b94bc9667f40ccc4
Filosofía,G,2020-06-30,"VI. El paradigma del lenguaje: Sartre, ""El existencialismo es un humanismo"" 1",1:42:49,https://ca.bbcollab.com/recording/61bdf14ee6d7443db6d7f6ad45d504fd
Filosofía,G,2020-07-02,"VI. El paradigma del lenguaje: Sartre, ""El existencialismo es un humanismo"" 2",0:23:27,https://ca.bbcollab.com/recording/bda12a11011a4d40a225e88e820eadaf
Filosofía,G,2020-07-07,"VI. El paradigma del lenguaje: Sartre, ""El existencialismo es un humanismo"" 3",1:35:37,https://ca.bbcollab.com/recording/3498f2a42c11491ca0feaeb3508a42aa
Filosofía,G,2020-07-09,"VI. El paradigma del lenguaje: Sartre, ""El existencialismo es un humanismo"" 4",1:31:45,https://ca.bbcollab.com/recording/d383cde06e684bcd96fc087449a2e33f
