Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Filosofía,I,2020-03-30,Clase 1: Presentación del curso (30.03.2020),1:33:28,https://ca.bbcollab.com/recording/6a587f29439b4ac29ea6e2d67b9d9b5d
Filosofía,I,2020-04-01,Clase 2: Los paradigmas en la historia de la Filosofía,1:41:36,https://ca.bbcollab.com/recording/cfcfdc8199104452929dbcef0b5bb81a
Filosofía,I,2020-04-06,"Clase 3: Orígenes de la filosofía - Tales, Anaximandro y Anaxímenes",1:42:44,https://ca.bbcollab.com/recording/d672d39ee33140ae82dc9175f69f5d6a
Filosofía,I,2020-04-08,Clase 4: Jenófanes de Colofón - Pitágoras de Samos,1:44:50,https://ca.bbcollab.com/recording/b26b8be7708946a9bb15359b90d90395
Filosofía,I,2020-04-13,Clase 5: Heráclito de Efeso,1:46:46,https://ca.bbcollab.com/recording/bfe8ffeae7594e598acf04c3f99690cd
Filosofía,I,2020-04-15,Clase 6: Parménides de Elea,1:49:33,https://ca.bbcollab.com/recording/1279bfe5fcce4aa49654a0878eaf58b9
Filosofía,I,2020-04-20,Clase 7: Parménides de Elea (continuación),1:47:09,https://ca.bbcollab.com/recording/f1662352522e44f58149440d84057a9e
Filosofía,I,2020-04-22,Clase 8: Zenón de Elea y Anaxágoras de Clazómene,1:50:38,https://ca.bbcollab.com/recording/746ba34c1e2b42a7912977da7a5e833c
Filosofía,I,2020-04-27,Clase 9: Gorgias de Leontino y Sócrates de Atenas,1:49:59,https://ca.bbcollab.com/recording/57b3d9293a9b4f33b6c9157fbbe9e752
Filosofía,I,2020-04-29,Clase10: Sócrates y Platón de Atenas - Preparación para la PC1,1:46:12,https://ca.bbcollab.com/recording/0783bf82c23c455e8e0a1a370c800d42
Filosofía,I,2020-05-04,Clase 11: Platón de Atenas - Indicaciones para la Práctica calificada 1,1:58:33,https://ca.bbcollab.com/recording/02d38f1739ba4c36b67b5499a526b9f9
Filosofía,I,2020-05-06,Clase 12: Platón y Aristóteles,1:48:23,https://ca.bbcollab.com/recording/3c2fd75852be42af82987246d6af99c5
Filosofía,I,2020-05-11,Clase 13: Aristóteles / Filosofía helenística,1:47:19,https://ca.bbcollab.com/recording/3b5b60cd4bd54570b0b27e225760fe6f
Filosofía,I,2020-05-13,Clase 14: Anselmo de Canterbury y Tomás de Aquino,1:48:28,https://ca.bbcollab.com/recording/75eb9cd378e74220b0aa8e541948cf99
Filosofía,I,2020-05-25,Clase 15: El surgimiento de la filosofía moderna,1:43:12,https://ca.bbcollab.com/recording/6c31e59f493f4692bdb9ed3cd58b90da
Filosofía,I,2020-05-27,Clase 16: Los orígenes del pensamiento moderno - Francis Bacon,1:51:33,https://ca.bbcollab.com/recording/2e7faa5089304fa68627e328dded0992
