Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Finanzas Corporativas I,A,2020-03-30,Sesion 1 (30.03.2020),1:02:38,https://ca.bbcollab.com/recording/bbb03121ee7d409180b286eba0b87369
Finanzas Corporativas I,A,2020-04-01,Sesión 2 (01.04.2020),1:46:57,https://ca.bbcollab.com/recording/16dffa5220214b208214691647ef413b
Finanzas Corporativas I,A,2020-04-03,Finanzas Corporativas I-A - Práctica Dirigida,1:36:52,https://ca.bbcollab.com/recording/0dce437619ce4a578731edd13e9336d0
Finanzas Corporativas I,A,2020-04-03,Finanzas Corporativas I-A - Práctica Dirigida,0:31:36,https://ca.bbcollab.com/recording/c0e5a81c3657412685053bf5f3e1ba49
Finanzas Corporativas I,A,2020-04-06,Sesión 3 (06.04.2020),1:51:56,https://ca.bbcollab.com/recording/0fa4cde04cc94eec9851ac9666ca42b2
Finanzas Corporativas I,A,2020-04-08,Sesión 4 (08.04.2020),1:49:23,https://ca.bbcollab.com/recording/19874836520743bf8efde6e342e342dd
Finanzas Corporativas I,A,2020-04-13,Sesión 5 (13.04.2020),1:42:13,https://ca.bbcollab.com/recording/1a9c85f67bbf434baa1927b7fe7ee3b1
Finanzas Corporativas I,A,2020-04-15,Sesión 6 (15.04.2020),1:33:16,https://ca.bbcollab.com/recording/bc0b46a814b04de5ac86ccd7ec55140a
Finanzas Corporativas I,A,2020-04-17,Finanzas Corporativas I-A - Práctica Dirigida,1:52:45,https://ca.bbcollab.com/recording/eac53f124e2146e2bc5dd60189e57c32
Finanzas Corporativas I,A,2020-04-20,Sesión 7 (20.04.2020),1:38:42,https://ca.bbcollab.com/recording/29accd1e1766493da73c61a6ee13e151
Finanzas Corporativas I,A,2020-04-22,Sesión 8 (22.04.2020),1:31:42,https://ca.bbcollab.com/recording/ee9c8a3348a94f11b197c41883acdc03
Finanzas Corporativas I,A,2020-04-24,Finanzas Corporativas I-A - Práctica Dirigida,1:47:06,https://ca.bbcollab.com/recording/83c5c463bcdb45698c9af1d2541b782b
Finanzas Corporativas I,A,2020-04-27,Sesión 9 (27.04.2020),1:32:43,https://ca.bbcollab.com/recording/376bd37df48245f5b8586529e47c2fe7
Finanzas Corporativas I,A,2020-04-29,Sesión 10 (29.04.2020),1:17:24,https://ca.bbcollab.com/recording/ec0d496d777a43398b924c1a3f0dd2e1
Finanzas Corporativas I,A,2020-05-01,Finanzas Corporativas I-A - Práctica Dirigida,2:00:56,https://ca.bbcollab.com/recording/d19d00da0f4f4ed1a9ad182be2f3ac43
Finanzas Corporativas I,A,2020-05-04,Sesión 11 (04.05.2020),1:33:15,https://ca.bbcollab.com/recording/d476c2caaa844bd6a64becac307a5866
Finanzas Corporativas I,A,2020-05-06,Sesión 12 (06.05.2020),1:46:26,https://ca.bbcollab.com/recording/fba143e83b8b497ab4235931716e3882
Finanzas Corporativas I,A,2020-05-08,Finanzas Corporativas I-A - Práctica Dirigida,2:01:03,https://ca.bbcollab.com/recording/fa2b9091684b4dd2872ee3b80febeb43
Finanzas Corporativas I,A,2020-05-11,Sesión 13 (11.05.2020),1:29:47,https://ca.bbcollab.com/recording/a2fa74c0479149f185116e4666d543d8
Finanzas Corporativas I,A,2020-05-13,Asesoria PC2,1:05:04,https://ca.bbcollab.com/recording/2396406c8fa941a9b0140e25f0b6b032
Finanzas Corporativas I,A,2020-05-13,Sesión 14 (13.05.2020),1:38:37,https://ca.bbcollab.com/recording/565492eb45024a8ba91d408eadc806a3
Finanzas Corporativas I,A,2020-05-25,Sesión 15 (25.05.2020),1:37:49,https://ca.bbcollab.com/recording/93a49ba34158409c930e427f6464987b
Finanzas Corporativas I,A,2020-05-27,Sesión 16 (27.05.2020),1:32:34,https://ca.bbcollab.com/recording/6b4cb0e8c19149e4b8dd3d0a2abfc902
Finanzas Corporativas I,A,2020-05-29,Finanzas Corporativas I-A - Práctica Dirigida,2:10:19,https://ca.bbcollab.com/recording/0685a3c54c1c49f9a009db262e862508
Finanzas Corporativas I,A,2020-06-01,Sesión 17 (01.06.2020),1:42:23,https://ca.bbcollab.com/recording/822814eb35ad4a6fa2f86dd28bcbe068
Finanzas Corporativas I,A,2020-06-03,Sesión 18 (03.06.2020),1:46:50,https://ca.bbcollab.com/recording/797588e74c774f0b9b74999e500c2098
Finanzas Corporativas I,A,2020-06-05,Finanzas Corporativas I-A - Práctica Dirigida,2:10:54,https://ca.bbcollab.com/recording/f035c72f7ac644fa9dfa4ba0a45541dd
Finanzas Corporativas I,A,2020-06-08,Sesión 19 (08.06.2020),1:35:36,https://ca.bbcollab.com/recording/84a8cb34381c44778ee5cee01c529c53
