Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Finanzas Corporativas I,D,2020-03-30,W1 - Class 1,1:31:21,https://ca.bbcollab.com/recording/933e931c1e4d4ed0aa23a15a48cfe822
Finanzas Corporativas I,D,2020-04-01,W1 - Class 2,1:36:07,https://ca.bbcollab.com/recording/c4835833a93e44cb8bbe5136eb5e8eee
Finanzas Corporativas I,D,2020-04-03,Session 2 (Tutorial 1),1:44:30,https://ca.bbcollab.com/recording/f59513fe1d654ea0a00e1842fb02cc91
Finanzas Corporativas I,D,2020-04-06,W2 - Class 3,1:36:37,https://ca.bbcollab.com/recording/78d3e82a2b7948eca6de4dc903d18d58
Finanzas Corporativas I,D,2020-04-08,W2 - Class 4,1:30:52,https://ca.bbcollab.com/recording/d4577a6173884ff78a524250a35606eb
Finanzas Corporativas I,D,2020-04-13,W3 Class 5,1:24:07,https://ca.bbcollab.com/recording/2647ac1f3bc548c4820c9001b2d123e7
Finanzas Corporativas I,D,2020-04-15,W3 - Class 6,1:17:33,https://ca.bbcollab.com/recording/8a76bc1be6c44b9e964c273a1bc87572
Finanzas Corporativas I,D,2020-04-17,Tutorial 2,2:04:44,https://ca.bbcollab.com/recording/fea37ce86b6d4b9ca9c9597365f8f4b6
Finanzas Corporativas I,D,2020-04-20,W4 - Class 7,1:32:48,https://ca.bbcollab.com/recording/1c1ac0b6a036418a9590df1a389a88b9
Finanzas Corporativas I,D,2020-04-22,W4 - Class 8,1:31:02,https://ca.bbcollab.com/recording/75cb9f72319a4d03af7729e04e7b9cbb
Finanzas Corporativas I,D,2020-04-24,Tutorial 3/Quiz 1,1:11:12,https://ca.bbcollab.com/recording/b590fc4989334d22a1793c38e9cb3695
Finanzas Corporativas I,D,2020-04-27,W5 - Class 9,1:45:58,https://ca.bbcollab.com/recording/f772814dea8f4c2a9a40eece15ab10a0
Finanzas Corporativas I,D,2020-04-29,W5 - Class 10,1:30:00,https://ca.bbcollab.com/recording/76b1ed130c3d4f47ba77574ba84bdc5a
Finanzas Corporativas I,D,2020-05-04,Tutorial 5,1:46:47,https://ca.bbcollab.com/recording/637ecddd96434393a3d6a65eb0a53135
Finanzas Corporativas I,D,2020-05-06,W6 - Class 11,1:28:20,https://ca.bbcollab.com/recording/67403f625b024952ac419f1441fd54c9
Finanzas Corporativas I,D,2020-05-08,W6 - Class 12,1:07:59,https://ca.bbcollab.com/recording/b52575a355c74c7a9a011c07adebeeff
Finanzas Corporativas I,D,2020-05-11,W6 - Class 12,1:33:49,https://ca.bbcollab.com/recording/b49f5c0abe8b48c592dbb8a1e25b643d
Finanzas Corporativas I,D,2020-05-13,W6 - Class 13,1:22:24,https://ca.bbcollab.com/recording/e6bf5a8a5db14294a8c55b7ba0cb4c01
Finanzas Corporativas I,D,2020-05-15,Tutorial 6 / Quiz 2,1:04:08,https://ca.bbcollab.com/recording/295b79affcf1434d8d5d32f3d2552790
Finanzas Corporativas I,D,2020-05-27,W8 - Class 14,1:12:47,https://ca.bbcollab.com/recording/7e88c3698ddf454783b9b01c3845e552
Finanzas Corporativas I,D,2020-05-29,Tutorial 7,1:48:38,https://ca.bbcollab.com/recording/fd4cbbd3ce714106bb8e4a6f02132387
Finanzas Corporativas I,D,2020-06-01,W8 - Class 15,1:34:13,https://ca.bbcollab.com/recording/c7021f2a98644588bc747801ebcc7e1c
Finanzas Corporativas I,D,2020-06-03,W9 - Class 16,1:31:42,https://ca.bbcollab.com/recording/4edf008c236d4ed796a46c52730ca5e9
Finanzas Corporativas I,D,2020-06-05,Tutorial 8,1:36:27,https://ca.bbcollab.com/recording/4784c5913b76464a9b4071ac04ac4cbe
Finanzas Corporativas I,D,2020-06-08,W10 - Class 17,1:34:08,https://ca.bbcollab.com/recording/26f68dd6e5b046e89f5d59520b9e101c
Finanzas Corporativas I,D,2020-06-10,W10 - Class 18,1:34:58,https://ca.bbcollab.com/recording/0f38d5d9488644b2876474d7b4b867b7
Finanzas Corporativas I,D,2020-06-12,Tutorial 9 / Quiz 3,1:04:25,https://ca.bbcollab.com/recording/0e449872ffd548458688b76dc476734a
Finanzas Corporativas I,D,2020-06-15,W11 - Class 19,1:35:59,https://ca.bbcollab.com/recording/a28da6a95a014a06a4a26bfacd59bfa4
Finanzas Corporativas I,D,2020-06-17,W11 - class 20,1:32:34,https://ca.bbcollab.com/recording/0449b6265acf44b4bff2db3d80f76b83
Finanzas Corporativas I,D,2020-06-19,Tutorial 10,1:59:09,https://ca.bbcollab.com/recording/becd3802d4a3419299b86425d2df7017
Finanzas Corporativas I,D,2020-06-22,W12 - Class 21,1:40:05,https://ca.bbcollab.com/recording/bef54d5b6cb24c6b959a8e0c04430f29
