Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Finanzas y Abundancia,A,2020-03-31,Clase 1  - introductoria al curso 31/03/2020,0:08:15,https://ca.bbcollab.com/recording/1f800cc7e0c941d795cc15beb82f1623
Finanzas y Abundancia,A,2020-03-31,Clase 1  - introductoria al curso 31/03/2020,0:45:14,https://ca.bbcollab.com/recording/480e7eab2d6b451d9af3c5e81327bb84
Finanzas y Abundancia,A,2020-03-31,Clase 1  - introductoria al curso 31/03/2020,0:00:14,https://ca.bbcollab.com/recording/ceb6b857f12e4388a6eaae4222811de5
Finanzas y Abundancia,A,2020-03-31,Clase 1  - introductoria al curso 31/03/2020,0:46:42,https://ca.bbcollab.com/recording/ea263d114a804dc2acd0bd1748ba59cc
Finanzas y Abundancia,A,2020-04-02,Sesión 2,1:40:20,https://ca.bbcollab.com/recording/c03c0d214a064f89870a0b28710984b8
Finanzas y Abundancia,A,2020-04-07,Tercera Sesión,1:48:24,https://ca.bbcollab.com/recording/7743eb4ad1bf4985b87a814c4760ca93
Finanzas y Abundancia,A,2020-04-09,Clase Número 4,1:43:03,https://ca.bbcollab.com/recording/1827a6bfef39461f910f6a719849c2d7
Finanzas y Abundancia,A,2020-04-14,Clase 5 Negociaciones.,0:58:53,https://ca.bbcollab.com/recording/bc8ddcceb9874a699683c0617ca3c48f
Finanzas y Abundancia,A,2020-04-14,Clase 5 Negociaciones.,0:29:28,https://ca.bbcollab.com/recording/e7c0fa8769054a7e8b3619e4a06c99bb
Finanzas y Abundancia,A,2020-04-16,Clase 6,1:49:52,https://ca.bbcollab.com/recording/7eac48d6a4024dc1b6bcdb04874f7115
Finanzas y Abundancia,A,2020-04-21,Sesión N,1:46:28,https://ca.bbcollab.com/recording/93502cee4a0c4c6b846a17457abbd3a6
Finanzas y Abundancia,A,2020-04-23,Sesión No.8,1:40:38,https://ca.bbcollab.com/recording/793f6d07f95242ebb6efca4ef86d57ae
Finanzas y Abundancia,A,2020-04-28,Sesión No. 9,0:57:11,https://ca.bbcollab.com/recording/0da733a8ffa94e4583f0cfb8dcf85a83
Finanzas y Abundancia,A,2020-04-28,Sesión No. 9,0:31:17,https://ca.bbcollab.com/recording/556f4014e574438f82584a0003ee38d2
Finanzas y Abundancia,A,2020-04-30,Sesión No. 10,1:41:07,https://ca.bbcollab.com/recording/a2b106f03ff74d20914ffc4c7d80898c
Finanzas y Abundancia,A,2020-05-05,Sesión No. 11,1:44:23,https://ca.bbcollab.com/recording/381e7db09fec4234b5480427fc383d96
Finanzas y Abundancia,A,2020-05-07,Sesión No. 12,1:44:44,https://ca.bbcollab.com/recording/245d13dee1844738a9a44454cf34b8c0
Finanzas y Abundancia,A,2020-05-12,Sesión No 13.,1:39:14,https://ca.bbcollab.com/recording/871ba6dcc6e847d8a12a95904207ec08
Finanzas y Abundancia,A,2020-05-14,Sesión No. 14,1:32:18,https://ca.bbcollab.com/recording/cf3ac4e7177e4cf98199fc9b960fca67
Finanzas y Abundancia,A,2020-05-26,Sesión No 15.,1:50:16,https://ca.bbcollab.com/recording/9c80c763f2e14d10bc631915048bf5db
Finanzas y Abundancia,A,2020-05-28,Sesión No 16.,1:34:17,https://ca.bbcollab.com/recording/be5bb8b9e4bd4300885df0c14619a319
Finanzas y Abundancia,A,2020-06-02,Sesión No. 17,1:41:28,https://ca.bbcollab.com/recording/5db17ce2fdf5484f9decb9ceb7c18e30
Finanzas y Abundancia,A,2020-06-04,Sesión No. 18.,1:33:33,https://ca.bbcollab.com/recording/72debf23907e4223a865d9fdb1af4a0c
Finanzas y Abundancia,A,2020-06-09,Sesión No 19.,1:38:59,https://ca.bbcollab.com/recording/aa22e9bf9a854fb5917a055e0fa55e9f
Finanzas y Abundancia,A,2020-06-11,Sesión No. 20.,1:21:19,https://ca.bbcollab.com/recording/0183aa26f6c24c048307155daa7f8fc6
Finanzas y Abundancia,A,2020-06-16,Sesión No. 21,1:32:16,https://ca.bbcollab.com/recording/7eb89e0bc1f5410f9abf5347bb4a43a0
Finanzas y Abundancia,A,2020-06-18,Sesión No. 21,1:10:49,https://ca.bbcollab.com/recording/63e5e5b69fd54f0f8e619bf9af76c238
Finanzas y Abundancia,A,2020-06-23,Sesión No. 23.,1:39:30,https://ca.bbcollab.com/recording/b2818b9ad70f473fa54658e029c98bd5
Finanzas y Abundancia,A,2020-06-25,Sesión No. 24.,1:44:03,https://ca.bbcollab.com/recording/bc5ce636c9c54089be44e43c9445a753
Finanzas y Abundancia,A,2020-06-30,Sesión No. 25.,1:48:36,https://ca.bbcollab.com/recording/b48a65c4a584432fad7e750788f974ef
Finanzas y Abundancia,A,2020-07-02,Sesión No. 26.,1:32:38,https://ca.bbcollab.com/recording/45909c6af5a548d8b8f9c464966fb91a
Finanzas y Abundancia,A,2020-07-07,Sesión No. 27.,1:32:15,https://ca.bbcollab.com/recording/1e3eb6862f0b474887d7f6decbafec0c
Finanzas y Abundancia,A,2020-07-09,Sesión No. 28.,1:41:27,https://ca.bbcollab.com/recording/571b03f1e20c418dba2f11cd5d7f5516
