Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Formulación y Evaluación de Proyectos,A,2020-03-30,Semana 1-clase 1 30-03-2020,0:26:24,https://ca.bbcollab.com/recording/39e2bede9ebf4849af54450968435a78
Formulación y Evaluación de Proyectos,A,2020-04-01,Semana 1 Clase 2_01/04/2020,1:25:47,https://ca.bbcollab.com/recording/0e553248c2fb49caa6bccffe418d7b24
Formulación y Evaluación de Proyectos,A,2020-04-06,Semana 2 - 1a Clase 06/04,1:55:45,https://ca.bbcollab.com/recording/081b419a57de428290a0d3b114e81533
Formulación y Evaluación de Proyectos,A,2020-04-08,Semana 2 - 2a Clase 08/04,2:05:28,https://ca.bbcollab.com/recording/ee9e66e0e8084861bfc5989323ed5f8d
Formulación y Evaluación de Proyectos,A,2020-04-13,Semana 3 - 1a Clase 13/04,1:56:37,https://ca.bbcollab.com/recording/5a84c6b4ca5b4204be0f3de4b0ec5427
Formulación y Evaluación de Proyectos,A,2020-04-15,Semana 3 - 2a clase 15/04,1:52:43,https://ca.bbcollab.com/recording/1910c7dce29344fab8d9a6b24559f334
Formulación y Evaluación de Proyectos,A,2020-04-22,Semana 4 - 2a Clase 22/04,2:03:30,https://ca.bbcollab.com/recording/32b7146375d847a882e815abb80095a6
Formulación y Evaluación de Proyectos,A,2020-04-27,Semana 5 - 1a Clase 27/04,1:38:05,https://ca.bbcollab.com/recording/653c8c95df2d438bb3edddea3eebfacd
Formulación y Evaluación de Proyectos,A,2020-04-29,Semana 5 - 2a Clase 29/04,1:19:27,https://ca.bbcollab.com/recording/7215307802d64ce5bd900fd2d300b30b
Formulación y Evaluación de Proyectos,A,2020-04-29,Semana 5 - 2a Clase 29/04,0:23:26,https://ca.bbcollab.com/recording/7a5016b13e26487f84b88e2db8bc7720
Formulación y Evaluación de Proyectos,A,2020-05-04,Semana 6 - 1a Clase 04/05 Practica Calificada 2,0:16:59,https://ca.bbcollab.com/recording/127a4e20dd554517816ff7af7310763d
Formulación y Evaluación de Proyectos,A,2020-05-06,Semana 6 - 2a Clase 06/05,1:32:56,https://ca.bbcollab.com/recording/d71f14a3c7904dbab8f6220bf18541f0
Formulación y Evaluación de Proyectos,A,2020-05-11,Semana 7 - 1a Clase 11/05,1:57:38,https://ca.bbcollab.com/recording/9f55c814339948aa9664d4941586b108
Formulación y Evaluación de Proyectos,A,2020-05-13,Semana 7 - 2a Clase 13/05,1:09:54,https://ca.bbcollab.com/recording/b7a5c19005854b1c98df104197621949
Formulación y Evaluación de Proyectos,A,2020-05-25,Semana 9 - 1a Clase 25/05,1:50:47,https://ca.bbcollab.com/recording/54894f9ee7ea4bc9999f8f3442af28f5
Formulación y Evaluación de Proyectos,A,2020-05-27,Semana 9 - 2a Clase 27/05,1:39:14,https://ca.bbcollab.com/recording/e3bef17c78944a81ba052ff743f1d969
Formulación y Evaluación de Proyectos,A,2020-06-01,Semana 10 - 1a Clase 01/06,1:48:30,https://ca.bbcollab.com/recording/ae023ff1a2404bd7a4e4cbe5c1166b44
Formulación y Evaluación de Proyectos,A,2020-06-03,Semana 10 - 2a Clase 03/06,1:31:20,https://ca.bbcollab.com/recording/0652726f4f774855b762ab311d3bf6b3
Formulación y Evaluación de Proyectos,A,2020-06-08,Practica calificada 3,1:33:16,https://ca.bbcollab.com/recording/c8e9a1ea38a341559364b007e874103a
Formulación y Evaluación de Proyectos,A,2020-06-10,Semana 11 - 2a Clase 10/06,1:44:20,https://ca.bbcollab.com/recording/1f66c724678a4dc3a26c199181a1703a
Formulación y Evaluación de Proyectos,A,2020-06-15,Semana 12 - 1a Clase 15/06,1:49:09,https://ca.bbcollab.com/recording/fa9ff8737ca44013986e6bce32aaa971
Formulación y Evaluación de Proyectos,A,2020-06-17,Semana 12 - 2a Clase 17/06,1:47:07,https://ca.bbcollab.com/recording/55f3ae8b5be8490da656e692264d4470
Formulación y Evaluación de Proyectos,A,2020-06-22,Semana 13 - 1a Clase 22/06,1:59:45,https://ca.bbcollab.com/recording/d3501d71b9b0467cb9861858c017f9da
Formulación y Evaluación de Proyectos,A,2020-06-24,Semana 13 - 2a Clase 24/06,1:48:43,https://ca.bbcollab.com/recording/828cb9165dca47ef87c7da89b4b6edc8
Formulación y Evaluación de Proyectos,A,2020-07-01,Semana 14 - 1a Clase 01/06,1:50:42,https://ca.bbcollab.com/recording/412eaff42aa74152b7a9b2140a5e63a9
Formulación y Evaluación de Proyectos,A,2020-07-06,Sesión para presentación de proyectos (06/07 y 08/07),2:16:37,https://ca.bbcollab.com/recording/afe0593846dc448d9f615a11eb5a1fe4
Formulación y Evaluación de Proyectos,A,2020-07-08,Sesión para presentación de proyectos (06/07 y 08/07),1:37:47,https://ca.bbcollab.com/recording/9fffa44c3c7f4454838f5041d36ce1a8
Formulación y Evaluación de Proyectos,A,2020-07-08,Sesión para presentación de proyectos (06/07 y 08/07),1:37:47,https://ca.bbcollab.com/recording/9fffa44c3c7f4454838f5041d36ce1a8
