Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Fundamentos de Contabilidad,G,2020-04-01,Semana 1,3:06:05,https://ca.bbcollab.com/recording/ff7148964aaa43edbcac1d5c493d32fd
Fundamentos de Contabilidad,G,2020-04-04,Sesión 04 de abril,1:37:10,https://ca.bbcollab.com/recording/1d62b9f78bd3470faa37cea950f6af4f
Fundamentos de Contabilidad,G,2020-04-08,Semana 2,3:08:52,https://ca.bbcollab.com/recording/4bf2e2a338fc490586507e558643a42a
Fundamentos de Contabilidad,G,2020-04-13,Práctica dirigida 2,2:20:43,https://ca.bbcollab.com/recording/4ce053315f86413c84fbc6e074a756a4
Fundamentos de Contabilidad,G,2020-04-15,Semana 3,3:09:34,https://ca.bbcollab.com/recording/2ee00d17d5534482b6dc33102dc762b2
Fundamentos de Contabilidad,G,2020-04-18,PC1,2:00:43,https://ca.bbcollab.com/recording/d07c8e79e25d4e93ae1716855970cfae
Fundamentos de Contabilidad,G,2020-04-22,Semana 4,3:10:54,https://ca.bbcollab.com/recording/7a894948085043f8b7bd8dda7df03ce6
Fundamentos de Contabilidad,G,2020-04-25,Práctica dirigida 3,8:00:00,https://ca.bbcollab.com/recording/bb0ba79515484f36b2bd5936666c20ac
Fundamentos de Contabilidad,G,2020-04-29,Semana 5,3:09:13,https://ca.bbcollab.com/recording/6003082c93694eed8d619abc1ff97438
Fundamentos de Contabilidad,G,2020-05-06,Semana 6,3:10:07,https://ca.bbcollab.com/recording/dd06f7361155458ea47c37e064cb3bf6
Fundamentos de Contabilidad,G,2020-05-09,Práctica dirigida 4,1:58:45,https://ca.bbcollab.com/recording/9e1eeaa03f7248be8c89f38ab711cf5b
Fundamentos de Contabilidad,G,2020-05-13,Semana 7,3:19:39,https://ca.bbcollab.com/recording/8a8e1b95868745858ec52c0fc7b43442
Fundamentos de Contabilidad,G,2020-05-18,Examen parcial,0:17:05,https://ca.bbcollab.com/recording/3e723354cc17409fbfcdde3ddf1f0fe0
Fundamentos de Contabilidad,G,2020-05-18,Examen parcial,0:45:31,https://ca.bbcollab.com/recording/e67fc8d5f3c849f79f80c5f0186bd722
Fundamentos de Contabilidad,G,2020-05-27,Semana 9,3:01:53,https://ca.bbcollab.com/recording/2cbfedb32702442ea38488e8b30d8583
Fundamentos de Contabilidad,G,2020-05-30,Práctica dirigida 4,1:39:07,https://ca.bbcollab.com/recording/42cfad51888f4c0cad2fbf0e2e32da83
Fundamentos de Contabilidad,G,2020-06-03,Semana 10,3:06:19,https://ca.bbcollab.com/recording/14f909cb975e439f822146d0ef019ac9
Fundamentos de Contabilidad,G,2020-06-10,Semana11,3:03:16,https://ca.bbcollab.com/recording/04d954b7002440b6ab98a2ddc347337f
Fundamentos de Contabilidad,G,2020-06-13,Práctica dirigida 4,1:43:11,https://ca.bbcollab.com/recording/4feeb6fd1fcd45c49790933e62eff147
Fundamentos de Contabilidad,G,2020-06-17,Semana 12,3:01:36,https://ca.bbcollab.com/recording/77e25432e17843cbae1d7e43cc5dd921
Fundamentos de Contabilidad,G,2020-06-24,Semana 13,3:02:49,https://ca.bbcollab.com/recording/80645260a98d4cdcbb7e6e153d6b2cc1
Fundamentos de Contabilidad,G,2020-06-27,Práctica dirigida 4,1:17:16,https://ca.bbcollab.com/recording/13f41b159b764b31a803280efb0bbeff
Fundamentos de Contabilidad,G,2020-07-01,Semana 14,2:59:55,https://ca.bbcollab.com/recording/579e9c7f61df45cbaddbcc50279c363c
Fundamentos de Contabilidad,G,2020-07-08,Semana 15,3:02:17,https://ca.bbcollab.com/recording/7954998981d643ee94479cf4aec5e091
Fundamentos de Contabilidad,G,2020-07-08,Semana 15,3:02:17,https://ca.bbcollab.com/recording/7954998981d643ee94479cf4aec5e091
Fundamentos de Contabilidad,G,2020-07-11,Práctica dirigida 4,1:03:35,https://ca.bbcollab.com/recording/9d1f58d097cd40b88f56e30253c41baa
Fundamentos de Contabilidad,G,2020-07-11,Práctica dirigida 4,1:03:35,https://ca.bbcollab.com/recording/9d1f58d097cd40b88f56e30253c41baa
Fundamentos de Contabilidad,G,2020-07-13,Semana 16,2:10:09,https://ca.bbcollab.com/recording/f7c3ff175bd047c3a5900fc3b621a038
Fundamentos de Contabilidad,G,2020-07-13,Semana 16,2:10:09,https://ca.bbcollab.com/recording/f7c3ff175bd047c3a5900fc3b621a038
