Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Fundamentos de Contabilidad,H,2020-03-31,Semana 1,3:04:47,https://ca.bbcollab.com/recording/c8d4fad08b1942c8bf9ddc7514176842
Fundamentos de Contabilidad,H,2020-04-04,PD1 04.04.2020,1:24:12,https://ca.bbcollab.com/recording/c00019f1a8d345998b79bfa79a39befa
Fundamentos de Contabilidad,H,2020-04-07,Semana 2,2:56:00,https://ca.bbcollab.com/recording/619f70567ddf4723bba8a800132511a6
Fundamentos de Contabilidad,H,2020-04-11,PD2 11.04,1:56:35,https://ca.bbcollab.com/recording/a004e45b086e403dbc6b4ec7eac33d6e
Fundamentos de Contabilidad,H,2020-04-14,Semana 3,3:06:56,https://ca.bbcollab.com/recording/83e4206c6367409983f8a32aae1ac447
Fundamentos de Contabilidad,H,2020-04-21,Semana 4,3:01:06,https://ca.bbcollab.com/recording/fc8ccd0addec4b09b0f773595d07d5d1
Fundamentos de Contabilidad,H,2020-04-25,PD3,1:12:17,https://ca.bbcollab.com/recording/7e93a693a3e24a298567688130f27a68
Fundamentos de Contabilidad,H,2020-04-28,Semana 5,3:05:02,https://ca.bbcollab.com/recording/702435186b4e46329760ecf4f1190744
Fundamentos de Contabilidad,H,2020-05-05,Semana 6,2:59:06,https://ca.bbcollab.com/recording/31efcc9219be4f45abb0ead104115f45
Fundamentos de Contabilidad,H,2020-05-12,Semana7,3:06:51,https://ca.bbcollab.com/recording/a0954e03bd2e44f58fde842a4cb50de9
Fundamentos de Contabilidad,H,2020-05-18,Examen Parcial,0:30:47,https://ca.bbcollab.com/recording/1ed72a10d14a41e685e71321c0bef52c
Fundamentos de Contabilidad,H,2020-05-18,Examen Parcial,0:20:26,https://ca.bbcollab.com/recording/28cb83d6c6794da39f8f6b0e1240efeb
Fundamentos de Contabilidad,H,2020-05-26,Semana 9,2:59:34,https://ca.bbcollab.com/recording/935df1d506f441b78ac49c41cbc8795a
Fundamentos de Contabilidad,H,2020-05-30,Sesión PD5,1:54:38,https://ca.bbcollab.com/recording/653440e3860c47c28596ade7ff9c8868
Fundamentos de Contabilidad,H,2020-06-02,Semana 10,3:02:10,https://ca.bbcollab.com/recording/fc883f6f065b42ccb668bf19f5bf3d99
Fundamentos de Contabilidad,H,2020-06-09,Semana11,2:50:01,https://ca.bbcollab.com/recording/6a6a0b727d2c4e92aa66b18a71bba978
Fundamentos de Contabilidad,H,2020-06-13,Sesión 13.06,0:58:41,https://ca.bbcollab.com/recording/093f8e7171ec492180d6361f6d5e7c86
Fundamentos de Contabilidad,H,2020-06-16,Semana 12,2:58:16,https://ca.bbcollab.com/recording/cc86ad5cb5e44768a165d4a978c2cc19
Fundamentos de Contabilidad,H,2020-06-23,Semana 13,2:57:31,https://ca.bbcollab.com/recording/02d1815ac7dd427ba03f8f00a4acf56f
Fundamentos de Contabilidad,H,2020-06-27,PD6,1:03:53,https://ca.bbcollab.com/recording/c92ac991f64b47b5a9189778c855330a
Fundamentos de Contabilidad,H,2020-06-30,Semana 14,2:52:36,https://ca.bbcollab.com/recording/4eda55a8049e4270b60790fb5e4b9580
Fundamentos de Contabilidad,H,2020-07-07,Semana 15,3:01:43,https://ca.bbcollab.com/recording/907763aaf1014d8caff7d8b8f89849af
Fundamentos de Contabilidad,H,2020-07-11,PD8,1:19:23,https://ca.bbcollab.com/recording/e9b1dca95f2b4e13ba0c302cf593775a
Fundamentos de Contabilidad,H,2020-07-11,PD8,1:19:23,https://ca.bbcollab.com/recording/e9b1dca95f2b4e13ba0c302cf593775a
Fundamentos de Contabilidad,H,2020-07-13,Semana 16,0:50:46,https://ca.bbcollab.com/recording/c2fa445ee3f7430b84b059f0b430f172
Fundamentos de Contabilidad,H,2020-07-13,Semana 16,1:05:44,https://ca.bbcollab.com/recording/ea3be99e1dcc4d258edc24621887f301
