Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Fundamentos de Contabilidad,M,2020-04-04,Práctica Dirigida Número 1,1:32:17,https://ca.bbcollab.com/recording/7e341912190c4562a878807a47b3fd49
Fundamentos de Contabilidad,M,2020-04-11,Práctica Dirigida N° 2,0:59:20,https://ca.bbcollab.com/recording/4dabb7de0a0849959f856de17f7f0720
Fundamentos de Contabilidad,M,2020-04-16,Clase Fundamentos de Contabilidad,2:59:31,https://ca.bbcollab.com/recording/c890f1e4cbf24deb88fa64100a9cf3c9
Fundamentos de Contabilidad,M,2020-04-18,Consulta - PC 1,1:18:18,https://ca.bbcollab.com/recording/a08638891486402a8c4b7057a4dd00a4
Fundamentos de Contabilidad,M,2020-04-23,Clase Fundamentos de Contabilidad,2:42:30,https://ca.bbcollab.com/recording/87341baa634c47e9a3716f64c355417a
Fundamentos de Contabilidad,M,2020-04-25,Práctica Digirida N° 3,1:57:12,https://ca.bbcollab.com/recording/6877ad31361c409890a5b0d269f69a85
Fundamentos de Contabilidad,M,2020-04-30,Clase Fundamentos de Contabilidad,2:29:51,https://ca.bbcollab.com/recording/07c761dbb3fe440193a7bf9e3bac60dd
Fundamentos de Contabilidad,M,2020-04-30,Clase Fundamentos de Contabilidad,0:01:21,https://ca.bbcollab.com/recording/a1afc2b34ad14e76ba372607f9fbfebd
Fundamentos de Contabilidad,M,2020-05-02,Práctica Calificada # 2,2:07:44,https://ca.bbcollab.com/recording/755829070d614694aaa811d101b5fa80
Fundamentos de Contabilidad,M,2020-05-07,Clase Fundamentos de Contabilidad,0:00:06,https://ca.bbcollab.com/recording/192a39a6050a4c6889c296af83fbe806
Fundamentos de Contabilidad,M,2020-05-07,Clase Fundamentos de Contabilidad,2:41:11,https://ca.bbcollab.com/recording/302a35a93a0c4b35acdef27255501a8c
Fundamentos de Contabilidad,M,2020-05-07,Clase Fundamentos de Contabilidad,0:01:05,https://ca.bbcollab.com/recording/76d271c209ed4888bf07b00f116f3e43
Fundamentos de Contabilidad,M,2020-05-09,Práctica Dirigida N° 4,2:26:57,https://ca.bbcollab.com/recording/dd1c536c57ed46d28901806012a4a288
Fundamentos de Contabilidad,M,2020-05-14,Clase Fundamentos de Contabilidad,2:38:14,https://ca.bbcollab.com/recording/261539b9de634d1e99461e9391924958
Fundamentos de Contabilidad,M,2020-05-16,Práctica Califica # 3,2:18:41,https://ca.bbcollab.com/recording/d7c34e62697a442392e3a67947bb475b
Fundamentos de Contabilidad,M,2020-05-18,Examen Parcial,0:08:48,https://ca.bbcollab.com/recording/a34fce0a2acb475f8f452fe86f09f701
Fundamentos de Contabilidad,M,2020-05-18,Examen Parcial,0:08:35,https://ca.bbcollab.com/recording/f1b4807f3c0a4dc898f9952ba7cdba3e
Fundamentos de Contabilidad,M,2020-05-28,Clase Fundamentos de Contabilidad,2:54:55,https://ca.bbcollab.com/recording/ba5f1a3b097f4f429c5f8b370233a444
Fundamentos de Contabilidad,M,2020-05-30,Práctica Dirigida N° 5,1:42:53,https://ca.bbcollab.com/recording/ea99caa653a24f31ad6e735cc02ee139
Fundamentos de Contabilidad,M,2020-06-04,Clase Fundamentos de Contabilidad,2:58:10,https://ca.bbcollab.com/recording/f58da9df5559451aa5b281a4af61af6b
Fundamentos de Contabilidad,M,2020-06-06,Práctica Calificada #4,2:00:34,https://ca.bbcollab.com/recording/6b0a2a7050df480c8dea2c4773934af4
Fundamentos de Contabilidad,M,2020-06-11,Clase Fundamentos de Contabilidad,2:48:31,https://ca.bbcollab.com/recording/9bd860cffbfb41d388fa05a32d674df8
