Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Fundamentos de Marketing,C,2020-03-31,Clase 1,1:40:30,https://ca.bbcollab.com/recording/be76a99679294ed7a286564051338528
Fundamentos de Marketing,C,2020-04-02,Clase 1,0:29:50,https://ca.bbcollab.com/recording/2edbaa9e46cb4233bde4a37da12d71ba
Fundamentos de Marketing,C,2020-04-07,Clase 1,1:37:01,https://ca.bbcollab.com/recording/57fa22ccc6ca4b86b58aaa2e7fd39102
Fundamentos de Marketing,C,2020-04-14,Clase 1,1:42:01,https://ca.bbcollab.com/recording/4afcad47653a4f00987c810121ce30ce
Fundamentos de Marketing,C,2020-04-16,Clase 1,1:49:19,https://ca.bbcollab.com/recording/bc5c6c4f584d4889aec0acddfa96cdb3
Fundamentos de Marketing,C,2020-04-21,Clase 1,1:41:21,https://ca.bbcollab.com/recording/1f1de183b674439e88ca4d5c488959df
Fundamentos de Marketing,C,2020-04-23,Clase 1,1:47:00,https://ca.bbcollab.com/recording/9e7a5f4094574763adaf81ae1f9ee8b6
Fundamentos de Marketing,C,2020-04-28,Sesión 1,1:43:01,https://ca.bbcollab.com/recording/e1084a50721749beaf847061b13ebf36
Fundamentos de Marketing,C,2020-04-30,Clase 1,1:42:31,https://ca.bbcollab.com/recording/2f2a11e106924afcb3c07b52639471a9
Fundamentos de Marketing,C,2020-05-05,Clase 1,1:44:23,https://ca.bbcollab.com/recording/ee713a4095c14585a74a4681827538ad
Fundamentos de Marketing,C,2020-05-07,Clase 1,1:48:30,https://ca.bbcollab.com/recording/cc1692267970456a9307ce7870f1cca4
Fundamentos de Marketing,C,2020-05-12,Clase 1,1:50:27,https://ca.bbcollab.com/recording/d243fcfea7204eb9affc11e33c34a9e0
Fundamentos de Marketing,C,2020-05-14,Clase 1,1:49:19,https://ca.bbcollab.com/recording/7a5eed3b978844f1b4dd0556753abb0a
Fundamentos de Marketing,C,2020-05-26,Clase 1,1:43:35,https://ca.bbcollab.com/recording/62f0524604154614ae7b4cda0947b9ee
Fundamentos de Marketing,C,2020-05-28,Clase 1,1:43:52,https://ca.bbcollab.com/recording/4a189b02e83242d8aaa7da541ee31385
Fundamentos de Marketing,C,2020-06-02,Clase 1,1:46:57,https://ca.bbcollab.com/recording/015287771e9840fb99679edd416ff4f9
Fundamentos de Marketing,C,2020-06-04,Clase 1,1:36:50,https://ca.bbcollab.com/recording/5eeff77960b34e3d96a462d2bbfdf344
Fundamentos de Marketing,C,2020-06-09,Clase 1,1:43:18,https://ca.bbcollab.com/recording/0d3e35fea2274440a9a14db2e68af9f2
Fundamentos de Marketing,C,2020-06-11,Clase 1,1:39:53,https://ca.bbcollab.com/recording/16e3e200c42e446694e2dd6c7411e628
Fundamentos de Marketing,C,2020-06-16,Clase 1,1:41:26,https://ca.bbcollab.com/recording/7b324e7cd4d94925b4a41653bf311f95
Fundamentos de Marketing,C,2020-06-18,Clase 1,1:37:20,https://ca.bbcollab.com/recording/0e6c1494857440ee9046538e6bea9a9e
Fundamentos de Marketing,C,2020-06-23,Clase 1,1:39:50,https://ca.bbcollab.com/recording/2de7e524118349dc9b2b7d00cb63601e
Fundamentos de Marketing,C,2020-06-25,Clase 1,1:33:30,https://ca.bbcollab.com/recording/e2381cdc98e54c4cac8a7451986488e0
Fundamentos de Marketing,C,2020-06-30,Clase 1,1:47:15,https://ca.bbcollab.com/recording/1b6131867cdb494b8fcb7618bb9545df
Fundamentos de Marketing,C,2020-07-02,Clase 1,1:42:34,https://ca.bbcollab.com/recording/361d7de66a62421da1c42be36190d20d
Fundamentos de Marketing,C,2020-07-07,Clase 1,1:46:35,https://ca.bbcollab.com/recording/52ec2b8fd09846409e5d582c696ba79d
Fundamentos de Marketing,C,2020-07-09,Clase 1,1:40:20,https://ca.bbcollab.com/recording/3c74969cd31249c3b5815dc23c678631
Fundamentos de Marketing,C,2020-07-09,Clase 1,1:40:20,https://ca.bbcollab.com/recording/3c74969cd31249c3b5815dc23c678631
