Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Fundamentos de Marketing,D,2020-03-31,"Semana 01 (martes, 31/03)",1:57:40,https://ca.bbcollab.com/recording/18a041b8326d41a89f0d9ee45074d058
Fundamentos de Marketing,D,2020-03-31,"Semana 1 (martes, 31/03)",0:23:46,https://ca.bbcollab.com/recording/9e514a1a77ff49e68c0c57d6a91fe002
Fundamentos de Marketing,D,2020-04-02,"Semana 1 (jueves, 2/04)",1:39:16,https://ca.bbcollab.com/recording/88b35e739a3d458a8272ed168192a272
Fundamentos de Marketing,D,2020-04-07,Semana 2 - 7 de abril,1:38:24,https://ca.bbcollab.com/recording/1dcaa00486934158bea5427498ffa7d1
Fundamentos de Marketing,D,2020-04-14,Semana 3 (14 de abril),1:27:34,https://ca.bbcollab.com/recording/9d869079b9c74e6b99802c967eef6f06
Fundamentos de Marketing,D,2020-04-16,Semana 3 (16 de abril),1:24:14,https://ca.bbcollab.com/recording/e4391784a9ce40adb2491c5e63776137
Fundamentos de Marketing,D,2020-04-21,Semana 4 (21 de abril de 2020),1:45:50,https://ca.bbcollab.com/recording/24ece4915da24b6fbdfd02ea75312cda
Fundamentos de Marketing,D,2020-04-23,Semana 4 (23 de abril),1:44:12,https://ca.bbcollab.com/recording/93254bf3c4ed4d5a9ee590f84a4c1e45
Fundamentos de Marketing,D,2020-04-28,"Semana 5 (martes, 28 de abril)",1:43:37,https://ca.bbcollab.com/recording/ffd795e0a3d4427f80e698303bd53d00
Fundamentos de Marketing,D,2020-04-30,"Semana 5 (jueves, 30 de abril)",1:48:43,https://ca.bbcollab.com/recording/2ad9a510ae59405494f96318c512b1e3
Fundamentos de Marketing,D,2020-05-05,"Semana 6 (martes, 5 de mayo)",1:52:03,https://ca.bbcollab.com/recording/5dba23b82d2c4484ba1ca7d9940902b6
Fundamentos de Marketing,D,2020-05-07,"Semana 6 (jueves, 7 de mayo)",1:50:43,https://ca.bbcollab.com/recording/eafc87bb7a1842ef856e70a047ae2497
Fundamentos de Marketing,D,2020-05-12,"Semana 7 (martes, 12 de mayo)",1:34:18,https://ca.bbcollab.com/recording/2c158e3607c348d1ad9a243656c29e9c
Fundamentos de Marketing,D,2020-05-14,"Semana 7 (jueves, 14 de mayo)",1:47:54,https://ca.bbcollab.com/recording/61888596027d44af86e172056a2b7688
Fundamentos de Marketing,D,2020-05-18,Examen parcial,1:28:30,https://ca.bbcollab.com/recording/1295a76c7a6f4e2ab3db5b16b4e23c93
Fundamentos de Marketing,D,2020-05-26,Semana 9 (26 de mayo de 2020),1:57:11,https://ca.bbcollab.com/recording/fb1c15ce46b84cb88befbb294181ec9f
Fundamentos de Marketing,D,2020-05-28,Semana 9 (jueves 28 de mayo),1:44:33,https://ca.bbcollab.com/recording/e8c8042846cf48c38d75c89db1917c11
Fundamentos de Marketing,D,2020-06-02,Semana 10 (2 de junio de 2020),1:48:41,https://ca.bbcollab.com/recording/7351633c85c64d858cdb439648d2789d
Fundamentos de Marketing,D,2020-06-04,Semana 10 (4 de junio de 2020),1:50:18,https://ca.bbcollab.com/recording/9b7595a63aa34351af695fbf951d2d82
Fundamentos de Marketing,D,2020-06-09,Semana 11(9 de junio),1:51:26,https://ca.bbcollab.com/recording/fb8c7ef7ab604dfca4be9316fb4cf30f
Fundamentos de Marketing,D,2020-06-11,Semana 11 (11 de junio de 2020),1:57:04,https://ca.bbcollab.com/recording/4d5caf2d4e1f4f6fba644aebc7388ebb
Fundamentos de Marketing,D,2020-06-16,Semana 12 (16 de junio de 2020),1:30:36,https://ca.bbcollab.com/recording/28064caad4b54d2fa72563e485ba96a5
Fundamentos de Marketing,D,2020-06-18,Semana 12 (18 de junio de 2020),1:58:27,https://ca.bbcollab.com/recording/2dad82ae6f1740bb8371d0963e69569d
Fundamentos de Marketing,D,2020-06-23,Semana 13 (23 de junio de 2020),1:48:06,https://ca.bbcollab.com/recording/ee9dbd582643457fa6b122790ec77624
Fundamentos de Marketing,D,2020-06-25,Semana 13 (jueves 25 de junio),1:53:57,https://ca.bbcollab.com/recording/7da8e50f854740468faeee9a1d1bc9e6
Fundamentos de Marketing,D,2020-06-30,"Semana 14 (martes, 30 de junio de 2020)",1:56:04,https://ca.bbcollab.com/recording/836f33e8e7154949aa14f31eb2028d29
Fundamentos de Marketing,D,2020-07-02,Semana 14 (jueves 2 de julio),1:51:44,https://ca.bbcollab.com/recording/0155dceb998b4e0eac20403a6cc2fbec
Fundamentos de Marketing,D,2020-07-07,Semana 15 (martes 7 de julio),2:02:02,https://ca.bbcollab.com/recording/81b4ca3740da492ca9515430f05721b3
Fundamentos de Marketing,D,2020-07-09,Semana 15 (jueves 09 de julio),1:47:52,https://ca.bbcollab.com/recording/3a1e389e47cd4d4fbcd17e3d4dcafc0f
