Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Fundamentos de Marketing,E,2020-03-30,Semana 01_Lunes 30,1:47:07,https://ca.bbcollab.com/recording/82e7ff12c5024f37bfe5c9c0058cd108
Fundamentos de Marketing,E,2020-04-02,Semana 01_Jueves 02,1:36:52,https://ca.bbcollab.com/recording/bef98e17c65b4ff19e84a725d629360f
Fundamentos de Marketing,E,2020-04-06,Semana 02_Lunes 06,1:33:11,https://ca.bbcollab.com/recording/02ef53057f0d431a93b269b4ecd7d447
Fundamentos de Marketing,E,2020-04-13,Semana 03_Lunes 13,1:48:59,https://ca.bbcollab.com/recording/1254e5eafbaa4efba5754550241fe54a
Fundamentos de Marketing,E,2020-04-16,Semana 03_Jueves 16,1:47:36,https://ca.bbcollab.com/recording/a0e235170d3340a891146dc5ff6b1fbb
Fundamentos de Marketing,E,2020-04-20,Semana 04_Lunes 20,1:18:47,https://ca.bbcollab.com/recording/a2414c601a404d12a10cee70cbc3d4b8
Fundamentos de Marketing,E,2020-04-23,Semana 04_Jueves 23,1:54:43,https://ca.bbcollab.com/recording/74a72c47b7274f33a2aca761fcdc8b33
Fundamentos de Marketing,E,2020-04-27,Semana 05_Lunes 27,1:38:46,https://ca.bbcollab.com/recording/ff444e7b771e4b3d90b07e76e732a49d
Fundamentos de Marketing,E,2020-04-30,Semana 05_Jueves 30,1:49:22,https://ca.bbcollab.com/recording/c2c81d29eff94022a76e1f8a761631e4
Fundamentos de Marketing,E,2020-05-04,Semana 06_Lunes 04,1:41:29,https://ca.bbcollab.com/recording/c6e84025fc054c618f62c421cdc545cb
Fundamentos de Marketing,E,2020-05-07,Semana 06_Jueves 07,1:33:27,https://ca.bbcollab.com/recording/12ef3269c4f843b59b6752972aa1a5b2
Fundamentos de Marketing,E,2020-05-11,Semana 07_Lunes 11,1:37:23,https://ca.bbcollab.com/recording/e1422072e1c24856a6f84456b18c3386
Fundamentos de Marketing,E,2020-05-14,Semana 07_Jueves 14,1:22:56,https://ca.bbcollab.com/recording/0f348fcb17be4d3688017f032ebeda49
Fundamentos de Marketing,E,2020-05-18,Examen Parcial,1:17:15,https://ca.bbcollab.com/recording/3c7f58a43aac4b72b74d59276bf1cf8f
Fundamentos de Marketing,E,2020-05-25,Semana 9_Lunes 25,1:35:03,https://ca.bbcollab.com/recording/2a63eb3e196b47b38773af1dd8157244
Fundamentos de Marketing,E,2020-05-28,Semana 9_Jueves 28,1:41:17,https://ca.bbcollab.com/recording/fa863ffadeae4366acf114cf9fac4614
Fundamentos de Marketing,E,2020-06-01,Semana 10_Lunes 01,1:40:24,https://ca.bbcollab.com/recording/bfa2cae5b8d24a8f88370a28af36f065
Fundamentos de Marketing,E,2020-06-04,Semana 10_Jueves 04,0:41:34,https://ca.bbcollab.com/recording/1f30bb82f0d946f6bfd19d839e32d5d5
Fundamentos de Marketing,E,2020-06-08,Semana 11_Lunes 08,1:35:05,https://ca.bbcollab.com/recording/c327c48330e141369a68247e1fd99632
Fundamentos de Marketing,E,2020-06-11,Semana 11_Jueves 11,0:42:49,https://ca.bbcollab.com/recording/f448f179d4254bda972be6842cc9113e
Fundamentos de Marketing,E,2020-06-15,Semana 12_Lunes 15,1:09:27,https://ca.bbcollab.com/recording/725d94194f024730b52e760797aefa4b
Fundamentos de Marketing,E,2020-06-18,Semana 12_Jueves 18,1:41:50,https://ca.bbcollab.com/recording/ec4f807135d3445aa899b896c07a5fc9
Fundamentos de Marketing,E,2020-06-22,Semana 13_Lunes 22,1:43:27,https://ca.bbcollab.com/recording/b711e38196bb4505be3a5b15c4e510df
Fundamentos de Marketing,E,2020-06-25,Semana 13_Jueves 25,1:44:47,https://ca.bbcollab.com/recording/d1a55fd994f34aa3a704c50a50e7c12a
Fundamentos de Marketing,E,2020-07-02,Semana 14_Jueves 02,1:30:48,https://ca.bbcollab.com/recording/2a88c07c9ff243eb97c83ab557ebfc23
Fundamentos de Marketing,E,2020-07-06,Semana 15_lunes 06,1:48:34,https://ca.bbcollab.com/recording/7a64013405d34886b7781d6f03fe6926
Fundamentos de Marketing,E,2020-07-09,Semana 15_Jueves 9,1:35:57,https://ca.bbcollab.com/recording/5aca896fa9f840c1b3cabe1c5c2b4d73
Fundamentos de Marketing,E,2020-07-09,Semana 15_Jueves 9,1:35:57,https://ca.bbcollab.com/recording/5aca896fa9f840c1b3cabe1c5c2b4d73
