Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Fundamentos de Sicología,A,2020-04-27,Semana 5.  Inteligencia,1:40:20,https://ca.bbcollab.com/recording/a14444f51c2f4ed1abc177142d514617
Fundamentos de Sicología,A,2020-05-04,Semana 6 y 7.  Motivación y toma de decisiones,1:38:09,https://ca.bbcollab.com/recording/04652b810a374e1297c9ebdf41e53779
Fundamentos de Sicología,A,2020-05-11,Semana 6 y 7.  Motivación y toma de decisiones,1:37:34,https://ca.bbcollab.com/recording/d4426e4304ba4e73b0de0d7ca4030208
Fundamentos de Sicología,A,2020-05-25,Semana 9. Agresión y frustración,1:25:22,https://ca.bbcollab.com/recording/446f83e1046e40cd94d82682113a1183
Fundamentos de Sicología,A,2020-06-01,Semana 9. Agresión y frustración,0:15:06,https://ca.bbcollab.com/recording/be322b0255de4c1d9eb2bdef99265fb0
Fundamentos de Sicología,A,2020-06-01,"Semana 10. Depresión, adicciones y trastornos alimenticios",1:17:29,https://ca.bbcollab.com/recording/90d633ef8df84af58973e8f1d82371bb
Fundamentos de Sicología,A,2020-06-08,Semana 11. Personalidad,1:33:26,https://ca.bbcollab.com/recording/dc51d55b41f14f63baf240eb56d3c9e4
Fundamentos de Sicología,A,2020-06-15,"Semana 10. Depresión, adicciones y trastornos alimenticios",1:36:51,https://ca.bbcollab.com/recording/d0b11f61d19b4b879cce461d3f3841c9
Fundamentos de Sicología,A,2020-06-22,Semana 13. Influencia grupal,1:40:08,https://ca.bbcollab.com/recording/3d80e3c2664e4393ba95911c0c5ff821
Fundamentos de Sicología,A,2020-07-06,Semana 13. Influencia grupal,1:30:39,https://ca.bbcollab.com/recording/63cfa686bf83427b893b3e5f27ec79d8
