Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Fundamentos de Sicología,D,2020-03-31,sesion 1,1:59:45,https://ca.bbcollab.com/recording/4e208db76c8143399bc806be0d97a859
Fundamentos de Sicología,D,2020-04-07,sensacion y percepcion,1:45:40,https://ca.bbcollab.com/recording/d0d8cb0804d7466d8c68c4cfbc639f06
Fundamentos de Sicología,D,2020-04-07,sensacion y percepcion,0:01:00,https://ca.bbcollab.com/recording/fb071ee325a541e3a45a96f9da213019
Fundamentos de Sicología,D,2020-04-14,clase aprendizaje 1,2:33:27,https://ca.bbcollab.com/recording/94716f4fa2cd4b92bb50cb11aefb8a9d
Fundamentos de Sicología,D,2020-04-21,aprendizaje 2,0:24:40,https://ca.bbcollab.com/recording/efefb586c740424b9d53af83a9bc0598
Fundamentos de Sicología,D,2020-04-28,inteligencia 4,2:05:20,https://ca.bbcollab.com/recording/ce6b85e0b7184cad85ea1d1f03038b65
Fundamentos de Sicología,D,2020-05-05,CLASE DE mOTIVACIÓN,1:51:51,https://ca.bbcollab.com/recording/230bedc82b55474691b3a064dc535603
Fundamentos de Sicología,D,2020-05-12,clase 6 agresion,1:52:27,https://ca.bbcollab.com/recording/89a235b9fc4d4274858a3a4ddc89f613
Fundamentos de Sicología,D,2020-05-26,depresion,1:59:09,https://ca.bbcollab.com/recording/388cdd64130847d0bf70b00fb627f744
Fundamentos de Sicología,D,2020-06-02,estres y ansiedad,1:43:17,https://ca.bbcollab.com/recording/883b9f8fc5574a3fa0c3cb30c0a942c0
Fundamentos de Sicología,D,2020-06-09,personalidad y desarrollo,1:59:43,https://ca.bbcollab.com/recording/42fd7128f3b8486392d70118da196b4a
Fundamentos de Sicología,D,2020-06-23,ADICCIONES,1:56:45,https://ca.bbcollab.com/recording/da6ab246fc32481a95200b472e2da191
Fundamentos de Sicología,D,2020-07-07,coordinacion,1:09:10,https://ca.bbcollab.com/recording/a1d4c6e412ea4f56ba4017631addc99d
