Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Fundamentos de Sicología,F,2020-04-29,Semana 5. Inteligencia,1:38:44,https://ca.bbcollab.com/recording/424f2c6f30b3438bb8cb9620a720a135
Fundamentos de Sicología,F,2020-05-06,Semana 6 y 7. Motivación y toma de decisiones,1:35:14,https://ca.bbcollab.com/recording/704dc509631e418a91e4b4f08f71efa5
Fundamentos de Sicología,F,2020-05-13,Semana 6 y 7. Motivación y toma de decisiones,1:33:31,https://ca.bbcollab.com/recording/56a740fda78542019faad5908748c637
Fundamentos de Sicología,F,2020-05-27,Semana 9. Agresión y frustración,1:41:22,https://ca.bbcollab.com/recording/3540d01272764dd09748f2dd7e03b636
Fundamentos de Sicología,F,2020-06-03,"Semana 10. Depresión, adicciones y trastornos alimenticios",1:38:03,https://ca.bbcollab.com/recording/8ad8b264db01464492e15640af82301b
Fundamentos de Sicología,F,2020-06-10,"Semana 10. Depresión, adicciones y trastornos alimenticios",1:26:05,https://ca.bbcollab.com/recording/2d937c809e954ec999d7ff0ba195f97b
Fundamentos de Sicología,F,2020-06-17,"Semana 10. Depresión, adicciones y trastornos alimenticios",1:40:32,https://ca.bbcollab.com/recording/c9ae7bc580fc457d8fe67e2abcd2decc
Fundamentos de Sicología,F,2020-06-24,"Semana 10. Depresión, adicciones y trastornos alimenticios",1:33:22,https://ca.bbcollab.com/recording/5659374599904d0b8debc7eb97ca54ee
Fundamentos de Sicología,F,2020-07-01,"Semana 10. Depresión, adicciones y trastornos alimenticios",1:34:40,https://ca.bbcollab.com/recording/68424ca6fbef4addb774db2adc9bd94c
Fundamentos de Sicología,F,2020-07-08,Semana 14. Cognición social,1:13:32,https://ca.bbcollab.com/recording/56f193bd6bd44b78bcf9d7fd27c49b34
Fundamentos de Sicología,F,2020-07-08,Semana 14. Cognición social,1:13:32,https://ca.bbcollab.com/recording/56f193bd6bd44b78bcf9d7fd27c49b34
