Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Fundamentos de las Ciencias Empresariale,C,2020-03-30,Sesión Lunes 30 marzo,0:03:01,https://ca.bbcollab.com/recording/233fa23724b94cbcb0eee7735a3c80ad
Fundamentos de las Ciencias Empresariale,C,2020-03-30,Sesión Lunes 30 marzo,1:27:37,https://ca.bbcollab.com/recording/ddb90d33c8a94939ad5451847eadb907
Fundamentos de las Ciencias Empresariale,C,2020-04-01,Sesión Lunes 6 abril,1:38:32,https://ca.bbcollab.com/recording/1378b775fc634073a74a343873d0b09e
Fundamentos de las Ciencias Empresariale,C,2020-04-06,Sesión Lunes 6 abril,1:25:08,https://ca.bbcollab.com/recording/21bc6281526648bab40f8fce71fa184a
Fundamentos de las Ciencias Empresariale,C,2020-04-08,Sesión miercoles 8 abril,1:37:32,https://ca.bbcollab.com/recording/bbccaa1b446a410fbb2be68cddc14753
Fundamentos de las Ciencias Empresariale,C,2020-04-13,Lunes 13 y miercoles 15 abril,1:41:29,https://ca.bbcollab.com/recording/70a291b82cfa45b9a059b8bf9810a9ca
Fundamentos de las Ciencias Empresariale,C,2020-04-15,Lunes 13 y miercoles 15 abril,1:40:54,https://ca.bbcollab.com/recording/0df9a7ae7ab3469cbbd73e2f089e6644
Fundamentos de las Ciencias Empresariale,C,2020-04-20,Lunes 20 y miercoles 22,1:41:22,https://ca.bbcollab.com/recording/5ba9173918f441ea913a00309d2a012e
Fundamentos de las Ciencias Empresariale,C,2020-04-22,Lunes 20 y miercoles 22,1:46:31,https://ca.bbcollab.com/recording/1cd6fb47ea9c4f95a9ebe7b4f451196d
Fundamentos de las Ciencias Empresariale,C,2020-04-27,Sesión 27 y 29 abril,1:34:10,https://ca.bbcollab.com/recording/b33c7b54563246f5ae7d890df5375bd2
Fundamentos de las Ciencias Empresariale,C,2020-04-29,Sesión 27 y 29 abril,1:05:11,https://ca.bbcollab.com/recording/4e9c110ec189455c9a4a7f1ad0aa4ddb
Fundamentos de las Ciencias Empresariale,C,2020-05-04,Sesiòn 4 y 6 mayo,1:34:31,https://ca.bbcollab.com/recording/59a1f52874b74197a8ed821950bc466e
Fundamentos de las Ciencias Empresariale,C,2020-05-06,Sesiòn 4 y 6 mayo,1:17:46,https://ca.bbcollab.com/recording/9c47261d43d14ae59efa979b28d928a3
Fundamentos de las Ciencias Empresariale,C,2020-05-06,Sesiòn 4 y 6 mayo,0:13:41,https://ca.bbcollab.com/recording/c8a42b59fe6d4fd1b6e3cfba01da62bc
Fundamentos de las Ciencias Empresariale,C,2020-05-11,Sesiòn 11 y 13 mayo,1:35:44,https://ca.bbcollab.com/recording/7762f306d878404c8f72ef6a9c8cef72
Fundamentos de las Ciencias Empresariale,C,2020-05-13,Sesiòn 11 y 13 mayo,1:42:57,https://ca.bbcollab.com/recording/caf5988f73594b3f836eaf2ba28d9b4c
Fundamentos de las Ciencias Empresariale,C,2020-05-25,PARCIAL,1:40:31,https://ca.bbcollab.com/recording/a49d19161fce4f619406f4cfd41e49ee
Fundamentos de las Ciencias Empresariale,C,2020-05-27,Sesiòn 27 mayo,1:32:46,https://ca.bbcollab.com/recording/e89702c917db442c9232724c54fa91ee
Fundamentos de las Ciencias Empresariale,C,2020-06-01,Sesiòn 1 JUNIO,1:39:56,https://ca.bbcollab.com/recording/20d68c1bc8f347a0a9a0379f5e95c78e
Fundamentos de las Ciencias Empresariale,C,2020-06-03,Sesiòn 8 al 17 JUNIO,1:41:14,https://ca.bbcollab.com/recording/17aec73a817640efbcd5731cce0148de
Fundamentos de las Ciencias Empresariale,C,2020-06-08,Sesiòn 8 al 17 JUNIO,1:36:08,https://ca.bbcollab.com/recording/03e757690c4d445a98d051fc227ff9c3
Fundamentos de las Ciencias Empresariale,C,2020-06-10,Sesiòn 8 al 17 JUNIO,1:37:12,https://ca.bbcollab.com/recording/ce10ce73acd744d7a1cfca5f7271cc50
Fundamentos de las Ciencias Empresariale,C,2020-06-15,Sesiòn 8 al 17 JUNIO,1:39:23,https://ca.bbcollab.com/recording/fb7deee7e6c448cbae27ac777216d69a
Fundamentos de las Ciencias Empresariale,C,2020-06-17,Sesiòn 22-24 JUNIO,1:34:15,https://ca.bbcollab.com/recording/850dbbf71ede4d5289f0cd92317f3179
Fundamentos de las Ciencias Empresariale,C,2020-06-22,Sesiòn 22-24 JUNIO,1:36:26,https://ca.bbcollab.com/recording/992e90439be3417c9e79fc66f41b4f1e
Fundamentos de las Ciencias Empresariale,C,2020-06-24,Sesiòn 22-24 JUNIO,1:43:51,https://ca.bbcollab.com/recording/62dd16c686974ee592ef6d3ab50b11b5
Fundamentos de las Ciencias Empresariale,C,2020-07-01,Exposición trabajo final / Examen final,1:38:49,https://ca.bbcollab.com/recording/8671030d2d104fdc93a52353bf8eb5b5
Fundamentos de las Ciencias Empresariale,C,2020-07-06,Exposición trabajo final / Examen final,1:39:20,https://ca.bbcollab.com/recording/fa336431a9754c2088dddd491a55f074
Fundamentos de las Ciencias Empresariale,C,2020-07-08,Exposición trabajo final / Examen final,1:41:16,https://ca.bbcollab.com/recording/01507386a0174eb4961efd316eb3e3e8
Fundamentos de las Ciencias Empresariale,C,2020-07-13,EXAMEN FINAL,0:56:42,https://ca.bbcollab.com/recording/ab6e8a9bfd624ad98de5f7544ce37b8a
