Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Fundamentos de las Ciencias Empresariale,D,2020-03-30,Semana 1 c.1,1:25:38,https://ca.bbcollab.com/recording/9e59a5f480cf4018a2b267d94345fd15
Fundamentos de las Ciencias Empresariale,D,2020-04-01,Semana 1 c.2,2:03:06,https://ca.bbcollab.com/recording/d4bb23e5d38e4b1397d9d21fd6588033
Fundamentos de las Ciencias Empresariale,D,2020-04-06,ENTORNO EMPRESARIAL 2A.,1:04:09,https://ca.bbcollab.com/recording/d0e2a78945784ee1b7eb6454745fad10
Fundamentos de las Ciencias Empresariale,D,2020-04-08,EVOLUCIÓN DEL PENSAMIENTO ADMINISTRATIVO,1:41:11,https://ca.bbcollab.com/recording/5f1035374b854715ad829ddbae769d8c
Fundamentos de las Ciencias Empresariale,D,2020-04-13,ANTROPOLOGIA Y ADMINISTRACON,1:46:58,https://ca.bbcollab.com/recording/bc3e4f25a69044e8949f2357fd9b0de6
Fundamentos de las Ciencias Empresariale,D,2020-04-15,ANTROPOLOGIA Y ADMINISTRACON,1:53:35,https://ca.bbcollab.com/recording/99e0b5cfe8f442869171ac11153fc1b2
Fundamentos de las Ciencias Empresariale,D,2020-04-20,CONTROL L. 1/ TEORÍAS DEL PENSAMIENTO ADM.,0:57:04,https://ca.bbcollab.com/recording/bbe6440c3c444298ad90be404fa8c32e
Fundamentos de las Ciencias Empresariale,D,2020-04-20,CONTROL L. 1/ TEORÍAS DEL PENSAMIENTO ADM.,0:34:15,https://ca.bbcollab.com/recording/e9cb28c5fe3f4614a95cd578e016b196
Fundamentos de las Ciencias Empresariale,D,2020-04-22,CONTROL L. 1/ TEORÍAS DEL PENSAMIENTO ADM.,1:13:35,https://ca.bbcollab.com/recording/b0768a7246334d8aabb9f19fcfe05e5d
Fundamentos de las Ciencias Empresariale,D,2020-04-27,PROCESO EMPRENDEDOR,1:30:47,https://ca.bbcollab.com/recording/4ffce04912cd42658384998e6a968a08
Fundamentos de las Ciencias Empresariale,D,2020-04-29,PROCESO EMPRENDEDOR,1:45:19,https://ca.bbcollab.com/recording/d7504c58ef5146eeb7b1bca3944fb392
Fundamentos de las Ciencias Empresariale,D,2020-05-04,PLANEAM. ESTRATÉT.,0:49:00,https://ca.bbcollab.com/recording/06c9debede2a4f25ba7a3cc40c92786c
Fundamentos de las Ciencias Empresariale,D,2020-05-04,PLANEAM. ESTRATÉT.,0:57:13,https://ca.bbcollab.com/recording/cb473234a1ec40fc92992864467650d4
Fundamentos de las Ciencias Empresariale,D,2020-05-06,MOD. NEG. CANVAS/ MAPA DE  EMPATÍA / CADENA DE VALOR,0:59:51,https://ca.bbcollab.com/recording/0650358bd83e447a8fbe61bb039abf2f
Fundamentos de las Ciencias Empresariale,D,2020-05-06,MOD. NEG. CANVAS/ MAPA DE  EMPATÍA / CADENA DE VALOR,0:42:14,https://ca.bbcollab.com/recording/48851803b9a04d22aa586b0a6b821987
Fundamentos de las Ciencias Empresariale,D,2020-05-11,MOD. NEG. CANVAS/ MAPA DE  EMPATÍA / CADENA DE VALOR,1:43:51,https://ca.bbcollab.com/recording/c902a492666c4426b89d7a03f0291aac
Fundamentos de las Ciencias Empresariale,D,2020-05-27,La Organización y la Empresa  / Estrategias empresariales,0:18:39,https://ca.bbcollab.com/recording/1bbf2f8750ed4ba3aeb892a706402b68
Fundamentos de las Ciencias Empresariale,D,2020-05-27,La Organización y la Empresa  / Estrategias empresariales,0:19:31,https://ca.bbcollab.com/recording/4ba57beafaa24aaba22fac5c89083be8
Fundamentos de las Ciencias Empresariale,D,2020-06-01,ESTRATEGIAS EMPRESARIALES /AREAS FUNCIONALES,1:43:32,https://ca.bbcollab.com/recording/ae3963446a7d49e7a695907956ab7ede
Fundamentos de las Ciencias Empresariale,D,2020-06-03,ESTRATEGIAS EMPRESARIALES /AREAS FUNCIONALES,1:42:07,https://ca.bbcollab.com/recording/6bacdc3ca91246d397a97aa8a357123d
Fundamentos de las Ciencias Empresariale,D,2020-06-08,OPE / RRHH / CONTA / RSE,1:50:06,https://ca.bbcollab.com/recording/f0c1dedd6d1c4aa9b85cbf9e9274d23f
Fundamentos de las Ciencias Empresariale,D,2020-06-10,OPE / RRHH / CONTA / RSE,1:42:16,https://ca.bbcollab.com/recording/5d0692f031f14758b11acb61864d9f50
Fundamentos de las Ciencias Empresariale,D,2020-06-15,OPE / RRHH / CONTA / RSE,1:32:28,https://ca.bbcollab.com/recording/83e6b2cb604d46399167e82b85d5e0d0
Fundamentos de las Ciencias Empresariale,D,2020-06-17,OPE / RRHH / CONTA / RSE,1:43:28,https://ca.bbcollab.com/recording/9439f41ea6a14837b1c69b4e4dbf09f0
Fundamentos de las Ciencias Empresariale,D,2020-06-22,OPE / RRHH / CONTA / RSE,1:57:53,https://ca.bbcollab.com/recording/fd96868543e140ce95848f14eb58c65b
Fundamentos de las Ciencias Empresariale,D,2020-06-24,ASESORÍAS GRUPOS / REZAGADOS,1:58:44,https://ca.bbcollab.com/recording/2d90555105de4b138445fae5481f38af
Fundamentos de las Ciencias Empresariale,D,2020-07-01,EXPOS TRABAJOS FINALES,0:54:42,https://ca.bbcollab.com/recording/bb60836155c74937886a78bb42db7499
Fundamentos de las Ciencias Empresariale,D,2020-07-06,EXPOS TRABAJOS FINALES,1:01:02,https://ca.bbcollab.com/recording/087e314067ee4ba7beb450a2639cc096
Fundamentos de las Ciencias Empresariale,D,2020-07-08,EXPOS TRABAJOS FINALES,1:45:32,https://ca.bbcollab.com/recording/3683edd1ca4040a5a0028123c59c5d71
Fundamentos de las Ciencias Empresariale,D,2020-07-08,EXPOS TRABAJOS FINALES,1:45:32,https://ca.bbcollab.com/recording/3683edd1ca4040a5a0028123c59c5d71
