Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Fundamentos de las Ciencias Empresariale,E,2020-04-20,Lunes 20 y miercoles 22,1:48:57,https://ca.bbcollab.com/recording/0bf99176173b4f6291962f0eba9fe9db
Fundamentos de las Ciencias Empresariale,E,2020-04-22,Lunes 20 y miercoles 22,1:38:18,https://ca.bbcollab.com/recording/cd425b9c461f44e0bd73a91afa9ae39b
Fundamentos de las Ciencias Empresariale,E,2020-04-27,Sesión 27 y 29 abril,1:32:27,https://ca.bbcollab.com/recording/d69527dda3d640009e75c5b72311c27e
Fundamentos de las Ciencias Empresariale,E,2020-04-29,Sesión 27 y 29 abril,1:10:26,https://ca.bbcollab.com/recording/a1b8a90394db4e6f815295357522197b
Fundamentos de las Ciencias Empresariale,E,2020-05-04,4 y 6 de mayo,1:25:54,https://ca.bbcollab.com/recording/8ffed8a20a4b4d8993b0a1f8b159e285
Fundamentos de las Ciencias Empresariale,E,2020-05-06,4 y 6 de mayo,1:33:03,https://ca.bbcollab.com/recording/a32d4b633cab4a3aabbe05aa0af2a569
Fundamentos de las Ciencias Empresariale,E,2020-05-11,11 y 13 de mayo,1:29:34,https://ca.bbcollab.com/recording/24fd2a2806bb4b5ab6e9ce02da0d146a
Fundamentos de las Ciencias Empresariale,E,2020-05-13,11 y 13 de mayo,1:27:52,https://ca.bbcollab.com/recording/848b479ca2164415ba10b3ad14a6c771
Fundamentos de las Ciencias Empresariale,E,2020-05-25,EXAMEN PARCIAL,1:40:25,https://ca.bbcollab.com/recording/2c45d860d1e446f19578cdae5436c178
Fundamentos de las Ciencias Empresariale,E,2020-05-27,27de mayo,1:31:59,https://ca.bbcollab.com/recording/8f8fbb151269490ebbe7891fff329e17
Fundamentos de las Ciencias Empresariale,E,2020-06-01,1 JUNIO,1:35:05,https://ca.bbcollab.com/recording/f33c2561cce1472a8031096e9b2e4524
Fundamentos de las Ciencias Empresariale,E,2020-06-03,3 JUNIO,1:40:31,https://ca.bbcollab.com/recording/72e26c6abd6048fa9a6c3057383fceb6
Fundamentos de las Ciencias Empresariale,E,2020-06-08,8 al 17 JUNIO,1:40:47,https://ca.bbcollab.com/recording/d9ef5c669b894961b16d17b61a6e632c
Fundamentos de las Ciencias Empresariale,E,2020-06-10,8 al 17 JUNIO,1:36:53,https://ca.bbcollab.com/recording/e34a190300584687944dcf7bd71992da
Fundamentos de las Ciencias Empresariale,E,2020-06-15,8 al 17 JUNIO,1:37:39,https://ca.bbcollab.com/recording/6a65812f71c948f891421389fc729c38
Fundamentos de las Ciencias Empresariale,E,2020-06-17,8 al 17 JUNIO,1:37:21,https://ca.bbcollab.com/recording/1ed31d96d56741239cddd9b5ac84e2be
Fundamentos de las Ciencias Empresariale,E,2020-06-22,22 y 24 junio,1:37:14,https://ca.bbcollab.com/recording/d044d5f15a7f4b9480bba84211c1f53b
Fundamentos de las Ciencias Empresariale,E,2020-06-24,22 y 24 junio,1:35:31,https://ca.bbcollab.com/recording/32c560f695554c509ad76a2bf612d7f0
Fundamentos de las Ciencias Empresariale,E,2020-07-01,Exposicion final,1:38:15,https://ca.bbcollab.com/recording/ae243f8aecfe4e73927991441064899b
Fundamentos de las Ciencias Empresariale,E,2020-07-06,Exposicion final,1:41:53,https://ca.bbcollab.com/recording/18a7663408ea4864a9d99bb901dc8acb
Fundamentos de las Ciencias Empresariale,E,2020-07-08,Exposicion final,1:30:45,https://ca.bbcollab.com/recording/37f986f92362410ea584ac79a2575c5c
Fundamentos de las Ciencias Empresariale,E,2020-07-08,Exposicion final,1:30:45,https://ca.bbcollab.com/recording/37f986f92362410ea584ac79a2575c5c
Fundamentos de las Ciencias Empresariale,E,2020-07-13,EXAMNE FINAL,1:24:54,https://ca.bbcollab.com/recording/9b7cf012369e488db418b78e3b7f425b
