Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Fundamentos de las Ciencias Empresariale,F,2020-04-01,SEMANA 1 c.2,1:20:25,https://ca.bbcollab.com/recording/21ef1027ce994a96ba9f314e82858741
Fundamentos de las Ciencias Empresariale,F,2020-04-06,SEMANA 2 C. MICRO AMB./ EVOLUCIÓN,1:13:38,https://ca.bbcollab.com/recording/7faf552b5aef4612aa1349027c1a89a7
Fundamentos de las Ciencias Empresariale,F,2020-04-08,SEMANA 2 C. MICRO AMB./ EVOLUCIÓN,1:26:33,https://ca.bbcollab.com/recording/f69131586dfd4074a75a8883491ed2df
Fundamentos de las Ciencias Empresariale,F,2020-04-13,ANTROPOLOGIA Y ADMINISTRACION,1:48:22,https://ca.bbcollab.com/recording/f2ca851b87d64695a2944585efbe89a5
Fundamentos de las Ciencias Empresariale,F,2020-04-15,ANTROPOLOGIA Y ADMINISTRACION,1:41:48,https://ca.bbcollab.com/recording/65f59892ffb14fa3a815baa317a01aab
Fundamentos de las Ciencias Empresariale,F,2020-04-20,CONTROL L. 1/ TEORÍAS DEL PENSAMIENTO ADM.,0:08:50,https://ca.bbcollab.com/recording/127294dddd774ee7b0c024fe44d68d9c
Fundamentos de las Ciencias Empresariale,F,2020-04-20,CONTROL L. 1/ TEORÍAS DEL PENSAMIENTO ADM.,0:58:59,https://ca.bbcollab.com/recording/db2b38eb6b5345cfb252e9c7e25a0c46
Fundamentos de las Ciencias Empresariale,F,2020-04-22,CONTROL L. 1/ TEORÍAS DEL PENSAMIENTO ADM.,1:06:56,https://ca.bbcollab.com/recording/0b546b901b9f4aebaeca3dcb4cc3971b
Fundamentos de las Ciencias Empresariale,F,2020-04-27,PROCESO EMPRENDEDOR,1:21:10,https://ca.bbcollab.com/recording/890f8bb40efe4d6f9432058ea235f35f
Fundamentos de las Ciencias Empresariale,F,2020-04-29,PROCESO EMPRENDEDOR,1:47:07,https://ca.bbcollab.com/recording/aed87dba061549f2aa9c24a1f2d29bca
Fundamentos de las Ciencias Empresariale,F,2020-05-04,PLANEAMIENTO ESTRATÉGICO,0:26:22,https://ca.bbcollab.com/recording/2ac98a729719449f9dc2fbd6d099f351
Fundamentos de las Ciencias Empresariale,F,2020-05-04,PLANEAMIENTO ESTRATÉGICO,1:08:09,https://ca.bbcollab.com/recording/fee6a70fe69e448f9aa3e2e18b0c2ac5
Fundamentos de las Ciencias Empresariale,F,2020-05-06,MODELO DE NEGOCIO CANVAS,1:41:51,https://ca.bbcollab.com/recording/f13bb18826bc41e6a168ebb4354ccb89
Fundamentos de las Ciencias Empresariale,F,2020-05-11,MODELO DE NEGOCIO CANVAS,1:41:34,https://ca.bbcollab.com/recording/733610f124004d9785730547840c6e0a
Fundamentos de las Ciencias Empresariale,F,2020-05-27,ORGANIZACIÓN Y EMPRESA /ESTRATEGIAS EMPRESARIALES,1:33:03,https://ca.bbcollab.com/recording/dca34a6962dd4a619e7b3e20f0d588fd
Fundamentos de las Ciencias Empresariale,F,2020-06-01,ORGANIZACIÓN Y EMPRESA /ESTRATEGIAS EMPRESARIALES,1:40:46,https://ca.bbcollab.com/recording/10f7cb0a1c7a42018a9e1435818d6d19
Fundamentos de las Ciencias Empresariale,F,2020-06-03,ORGANIZACIÓN Y EMPRESA /ESTRATEGIAS EMPRESARIALES,1:45:41,https://ca.bbcollab.com/recording/895ce887cb5c460c97a154442981df03
Fundamentos de las Ciencias Empresariale,F,2020-06-08,OPERACIONES/ RRHH / CONTABILIDAD,1:02:36,https://ca.bbcollab.com/recording/3dec9b40b78a4ef3bddaa17b1eacfd74
Fundamentos de las Ciencias Empresariale,F,2020-06-08,OPERACIONES/ RRHH / CONTABILIDAD,0:18:49,https://ca.bbcollab.com/recording/b5911180728c4339bbacfc95389bac2b
Fundamentos de las Ciencias Empresariale,F,2020-06-10,OPERACIONES/ RRHH / CONTABILIDAD,0:38:45,https://ca.bbcollab.com/recording/1a6b00c9e5c648189eae40dce1948c38
Fundamentos de las Ciencias Empresariale,F,2020-06-10,OPERACIONES/ RRHH / CONTABILIDAD,0:43:18,https://ca.bbcollab.com/recording/39826449f5dd4ecf842299cf86cfa544
Fundamentos de las Ciencias Empresariale,F,2020-06-15,RRHH / CONTA / RSE,1:30:18,https://ca.bbcollab.com/recording/38c332a34f024c32a255acf61cbaabf6
Fundamentos de las Ciencias Empresariale,F,2020-06-17,RRHH / CONTA / RSE,1:04:56,https://ca.bbcollab.com/recording/763838e3ff7a44fbbe32bb487b2def71
Fundamentos de las Ciencias Empresariale,F,2020-06-22,RRHH / CONTA / RSE,0:07:18,https://ca.bbcollab.com/recording/d1187ab59c3b404e97907df85fa4f553
Fundamentos de las Ciencias Empresariale,F,2020-06-24,ASESORÍAS GRUPALES,1:37:01,https://ca.bbcollab.com/recording/419726f4b3184a6580fe301e98963581
Fundamentos de las Ciencias Empresariale,F,2020-07-01,EXPOSICIONES  FINALES,1:15:26,https://ca.bbcollab.com/recording/98de74868dd94592ba5a40974ee5096c
Fundamentos de las Ciencias Empresariale,F,2020-07-06,EXPOSICIONES  FINALES,1:56:22,https://ca.bbcollab.com/recording/c863adc0bfe24a0eafd7198aa6d9ab4e
Fundamentos de las Ciencias Empresariale,F,2020-07-08,EXPOSICIONES  FINALES,2:06:02,https://ca.bbcollab.com/recording/5c5488e7bfaa4237be8d866d539571ef
