Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Fundamentos de las Ciencias Empresariale,H,2020-03-31,SEMANA 1 c.1,1:37:39,https://ca.bbcollab.com/recording/2f007872057f4f8e8445ea6b70199d91
Fundamentos de las Ciencias Empresariale,H,2020-04-02,SEMANA 1 c.2 H,1:18:29,https://ca.bbcollab.com/recording/3a3c719ccc8f4ac9bd53950bcf389660
Fundamentos de las Ciencias Empresariale,H,2020-04-07,SEMANA 2 MICROAMB./ EVOLUCIÓN,1:09:55,https://ca.bbcollab.com/recording/aa48627cf2c64291b151dfc365061607
Fundamentos de las Ciencias Empresariale,H,2020-04-14,ANTROPOLOGÍA Y ADMINISTRACIÓN,1:35:03,https://ca.bbcollab.com/recording/9d85e04ba3424330abf8cbfaeba0bdd7
Fundamentos de las Ciencias Empresariale,H,2020-04-16,ANTROPOLOGÍA Y ADMINISTRACIÓN,1:47:19,https://ca.bbcollab.com/recording/a28b49877caa435caa111ef4b909ef50
Fundamentos de las Ciencias Empresariale,H,2020-04-21,TEORÍAS DEL PENSAMIENTO ADM.,0:57:27,https://ca.bbcollab.com/recording/65c19bc4dc6a4d0c97003252c96f2d95
Fundamentos de las Ciencias Empresariale,H,2020-04-21,TEORÍAS DEL PENSAMIENTO ADM.,0:22:18,https://ca.bbcollab.com/recording/708ae0d2bd214b1eb27399ba510bc0d9
Fundamentos de las Ciencias Empresariale,H,2020-04-23,TEORÍAS DEL PENSAMIENTO ADM.,1:12:59,https://ca.bbcollab.com/recording/60d79b33681e4492a21a3921b81bb8bf
Fundamentos de las Ciencias Empresariale,H,2020-04-28,PROCESO EMPRENDEDOR,1:21:01,https://ca.bbcollab.com/recording/df6f42c240a54a8f93206fe21b7a1f00
Fundamentos de las Ciencias Empresariale,H,2020-04-30,PROCESO EMPRENDEDOR,2:05:20,https://ca.bbcollab.com/recording/f6206c6d97024c62a7773538b1e33e2f
Fundamentos de las Ciencias Empresariale,H,2020-05-05,PLANEAMIENTO ESTRATÉGICO,1:43:50,https://ca.bbcollab.com/recording/50ded68128ef426e833f1ffb17cfbdb1
Fundamentos de las Ciencias Empresariale,H,2020-05-07,MODELO DE NEGOCIO CANVAS Y MAPA EMPATÍA,1:39:45,https://ca.bbcollab.com/recording/ec3ff825d9f54c8094df7c76f3fd6041
Fundamentos de las Ciencias Empresariale,H,2020-05-12,MODELO DE NEGOCIO CANVAS Y MAPA EMPATÍA,1:41:24,https://ca.bbcollab.com/recording/4923684efb2f4ae78a98fbbf981cc71b
Fundamentos de las Ciencias Empresariale,H,2020-05-14,CONTROL DE LECTURAS 2,0:08:24,https://ca.bbcollab.com/recording/e8016bc8b31e47ef9d43ef4e2e273460
Fundamentos de las Ciencias Empresariale,H,2020-05-26,ASESORÍA EXAMEN PARCIAL,0:24:03,https://ca.bbcollab.com/recording/a026b013df814c45bbae5c8b61e07c12
Fundamentos de las Ciencias Empresariale,H,2020-05-28,La Organización y la Empresa/Estrategias empresariales,1:50:33,https://ca.bbcollab.com/recording/dde969390c4a4156965f0112fad11af6
Fundamentos de las Ciencias Empresariale,H,2020-06-02,La Organización y la Empresa/Estrategias empresariales,1:38:57,https://ca.bbcollab.com/recording/e6143d8c07a44585b04dca3150022c84
Fundamentos de las Ciencias Empresariale,H,2020-06-04,AREAS FUN./ MARKETING,1:50:02,https://ca.bbcollab.com/recording/03b754582d3747b3a68488c45050384b
Fundamentos de las Ciencias Empresariale,H,2020-06-09,OPERACIONES / RRHH / CONTABILIDAD,0:07:10,https://ca.bbcollab.com/recording/8687ef638b7849f69fae0b219c33a7cd
Fundamentos de las Ciencias Empresariale,H,2020-06-09,OPERACIONES / RRHH / CONTABILIDAD,1:01:33,https://ca.bbcollab.com/recording/dfd8312b1ffd442bab8ab0c1aa584734
Fundamentos de las Ciencias Empresariale,H,2020-06-11,OPERACIONES / RRHH / CONTABILIDAD,1:40:48,https://ca.bbcollab.com/recording/4f65a0afda1f4e7c879d2f89d503b031
Fundamentos de las Ciencias Empresariale,H,2020-06-16,OPERACIONES / RRHH / CONTABILIDAD,2:01:24,https://ca.bbcollab.com/recording/3ccd11b90dd343c894783d501f193965
Fundamentos de las Ciencias Empresariale,H,2020-06-18,OPERACIONES / RRHH / CONTABILIDAD,1:14:25,https://ca.bbcollab.com/recording/0f775e881c7c43c99000d703f64acfb4
Fundamentos de las Ciencias Empresariale,H,2020-06-23,OPERACIONES / RRHH / CONTABILIDAD,1:54:24,https://ca.bbcollab.com/recording/633df892075e423289665e48fb5e60d7
Fundamentos de las Ciencias Empresariale,H,2020-06-25,ASESORÍAS TRABAJO FINAL,1:43:27,https://ca.bbcollab.com/recording/e6af4fbcad8f49ba885553cc455eea9e
Fundamentos de las Ciencias Empresariale,H,2020-06-30,TRABAJOS FINALES,0:45:09,https://ca.bbcollab.com/recording/c9bf7b79ba894445868530901d25d4c7
Fundamentos de las Ciencias Empresariale,H,2020-07-07,TRABAJOS FINALES,0:51:19,https://ca.bbcollab.com/recording/2dea42ad593b4b21ab825a132f61cd93
Fundamentos de las Ciencias Empresariale,H,2020-07-07,TRABAJOS FINALES,0:16:11,https://ca.bbcollab.com/recording/daf541c6dd564f23b648065a447c8ae8
