Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Fundamentos de las Ciencias Empresariale,K,2020-03-31,SESIONES DE LOS MARTES - PRIMERA MITAD DEL CURSO,1:47:50,https://ca.bbcollab.com/recording/40bb49c1eca94f1e9da41a2898ea1f4c
Fundamentos de las Ciencias Empresariale,K,2020-04-02,SESIONES DE LOS JUEVES - PRIMERA MITAD DEL CURSO,1:33:28,https://ca.bbcollab.com/recording/9cafad2009964b5db04377334cdfc575
Fundamentos de las Ciencias Empresariale,K,2020-04-07,SESIONES DE LOS MARTES - PRIMERA MITAD DEL CURSO,1:43:36,https://ca.bbcollab.com/recording/98ebda1ca31d493e83fe271b12ba4dca
Fundamentos de las Ciencias Empresariale,K,2020-04-14,SESIONES DE LOS MARTES - PRIMERA MITAD DEL CURSO,2:24:21,https://ca.bbcollab.com/recording/d7d8d4752315488cabb79f6fb7d501c6
Fundamentos de las Ciencias Empresariale,K,2020-04-16,SESIONES DE LOS JUEVES - PRIMERA MITAD DEL CURSO,1:19:06,https://ca.bbcollab.com/recording/74d7fd004cdd4807bfa9b2d466c28903
Fundamentos de las Ciencias Empresariale,K,2020-04-21,SESIONES DE LOS MARTES - PRIMERA MITAD DEL CURSO,1:01:40,https://ca.bbcollab.com/recording/068f1311555f4a37a4c459b9a6ad6389
Fundamentos de las Ciencias Empresariale,K,2020-04-23,SESIONES DE LOS JUEVES - PRIMERA MITAD DEL CURSO,1:23:06,https://ca.bbcollab.com/recording/a8ea9794c9b14c0bb39e81828182c2c6
Fundamentos de las Ciencias Empresariale,K,2020-04-28,SESIONES DE LOS MARTES - PRIMERA MITAD DEL CURSO,2:03:43,https://ca.bbcollab.com/recording/5906df84f422472fbbf38a12dcde5bba
Fundamentos de las Ciencias Empresariale,K,2020-04-30,SESIONES DE LOS JUEVES - PRIMERA MITAD DEL CURSO,0:33:35,https://ca.bbcollab.com/recording/b328da21cb0947cdac21a6b0eb31f69f
Fundamentos de las Ciencias Empresariale,K,2020-05-05,SESIONES DE LOS MARTES - PRIMERA MITAD DEL CURSO,1:34:58,https://ca.bbcollab.com/recording/06c272fe9b5a4ae2a74ae1a485f1c20f
Fundamentos de las Ciencias Empresariale,K,2020-05-07,SESIONES DE LOS JUEVES - PRIMERA MITAD DEL CURSO,1:17:21,https://ca.bbcollab.com/recording/b0fdc42714c747748c608351dc389fe4
Fundamentos de las Ciencias Empresariale,K,2020-05-12,SESIONES DE LOS MARTES - PRIMERA MITAD DEL CURSO,1:44:24,https://ca.bbcollab.com/recording/d72f660f9c7b4434aeff0f80d00993f2
Fundamentos de las Ciencias Empresariale,K,2020-05-14,SESIONES DE LOS JUEVES - PRIMERA MITAD DEL CURSO,0:33:47,https://ca.bbcollab.com/recording/ae1483fffa4f4306a9f58368bb46e4b2
Fundamentos de las Ciencias Empresariale,K,2020-05-28,SESIONES DE LOS JUEVES - SEGUNDA MITAD DEL CURSO,1:45:00,https://ca.bbcollab.com/recording/d008457483344a36a831a6849fa273c9
Fundamentos de las Ciencias Empresariale,K,2020-06-02,SESIONES DE LOS MARTES - SEGUNDA MITAD DEL CURSO,1:46:21,https://ca.bbcollab.com/recording/25e323e191a84188b509c42086e2189d
Fundamentos de las Ciencias Empresariale,K,2020-06-04,SESIONES DE LOS JUEVES - SEGUNDA MITAD DEL CURSO,1:42:36,https://ca.bbcollab.com/recording/3eeb006def1a4ba595213fef2a867b22
Fundamentos de las Ciencias Empresariale,K,2020-06-09,SESIONES DE LOS MARTES - SEGUNDA MITAD DEL CURSO,1:12:00,https://ca.bbcollab.com/recording/d88cdec22637495f9a6794f29b2287e8
Fundamentos de las Ciencias Empresariale,K,2020-06-11,SESIONES DE LOS JUEVES - SEGUNDA MITAD DEL CURSO,1:35:28,https://ca.bbcollab.com/recording/1677790abc4f4cdea93d3a8e2a053e98
Fundamentos de las Ciencias Empresariale,K,2020-06-16,SESIONES DE LOS MARTES - SEGUNDA MITAD DEL CURSO,1:46:48,https://ca.bbcollab.com/recording/c238d3582e7548df9449b774d081af86
Fundamentos de las Ciencias Empresariale,K,2020-06-18,SESIONES DE LOS JUEVES - SEGUNDA MITAD DEL CURSO,1:40:19,https://ca.bbcollab.com/recording/3854175c90f842bc925cda85d9895ad1
Fundamentos de las Ciencias Empresariale,K,2020-06-23,SESIONES DE LOS MARTES - SEGUNDA MITAD DEL CURSO,1:01:07,https://ca.bbcollab.com/recording/1ca41460b1324ebb998e7b105bbfdd3c
Fundamentos de las Ciencias Empresariale,K,2020-06-25,SESIONES DE LOS JUEVES - SEGUNDA MITAD DEL CURSO,1:50:31,https://ca.bbcollab.com/recording/5ab43f0fad524090b79f1d0e671964b3
Fundamentos de las Ciencias Empresariale,K,2020-07-02,SESIONES DE LOS JUEVES - SEGUNDA MITAD DEL CURSO,1:25:16,https://ca.bbcollab.com/recording/decd70e847e54a13a88aec6445719cc5
Fundamentos de las Ciencias Empresariale,K,2020-07-07,SESIONES DE LOS MARTES - SEGUNDA MITAD DEL CURSO,1:44:46,https://ca.bbcollab.com/recording/e71b3174eefd41ccb19171c856aeeccc
Fundamentos de las Ciencias Empresariale,K,2020-07-09,SESIONES DE LOS JUEVES - SEGUNDA MITAD DEL CURSO,1:10:16,https://ca.bbcollab.com/recording/25f148129b7c405fbcb9c1a6256a2d26
Fundamentos de las Ciencias Empresariale,K,2020-07-09,SESIONES DE LOS JUEVES - SEGUNDA MITAD DEL CURSO,1:10:16,https://ca.bbcollab.com/recording/25f148129b7c405fbcb9c1a6256a2d26
