Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Fundamentos de las Ciencias Empresariale,L,2020-03-31,Sesión 1,1:42:30,https://ca.bbcollab.com/recording/4fab5053745543288ba23af1883ea2dc
Fundamentos de las Ciencias Empresariale,L,2020-04-02,Sesión 2,1:59:52,https://ca.bbcollab.com/recording/21f838d8cf974766935d19cd8127d3d4
Fundamentos de las Ciencias Empresariale,L,2020-04-07,Sesión 3,1:43:39,https://ca.bbcollab.com/recording/bdcc49c5b1e348df83c235b688d92c70
Fundamentos de las Ciencias Empresariale,L,2020-04-14,Sesión 5,1:51:41,https://ca.bbcollab.com/recording/e3119f45131d4131a57de0171b4c4a37
Fundamentos de las Ciencias Empresariale,L,2020-04-16,Sesión 6,1:47:11,https://ca.bbcollab.com/recording/ef36396fca884a24a900fe60e419bb3e
Fundamentos de las Ciencias Empresariale,L,2020-04-21,Sesión 7,1:56:35,https://ca.bbcollab.com/recording/c2fc621a119f43678978281cbda7f4be
Fundamentos de las Ciencias Empresariale,L,2020-04-23,Sesión 8,1:42:45,https://ca.bbcollab.com/recording/2396a0a2fd4440e9ba90859de74e4d39
Fundamentos de las Ciencias Empresariale,L,2020-04-28,Sesión 9,1:56:35,https://ca.bbcollab.com/recording/d5029c7a53044057afd167592e446954
Fundamentos de las Ciencias Empresariale,L,2020-04-30,AULA ABIERTA,1:33:36,https://ca.bbcollab.com/recording/b0869a358bb54ff2b8a455c816e1ab32
Fundamentos de las Ciencias Empresariale,L,2020-04-30,Sesión 10,1:49:19,https://ca.bbcollab.com/recording/24c4b09e95df4bd9bd220346603926bf
Fundamentos de las Ciencias Empresariale,L,2020-05-05,Sesión 11,1:49:26,https://ca.bbcollab.com/recording/d913a97e74924930b3980c17facda072
Fundamentos de las Ciencias Empresariale,L,2020-05-07,Sesión 12,1:48:48,https://ca.bbcollab.com/recording/e5dd88db11e14927a9bfe5a183a81af8
Fundamentos de las Ciencias Empresariale,L,2020-05-12,Sesión 13,1:49:03,https://ca.bbcollab.com/recording/41f59e93d12348349db4234689d92513
Fundamentos de las Ciencias Empresariale,L,2020-05-14,Sesión 14,1:00:16,https://ca.bbcollab.com/recording/e917897d7fe040499d2437aa9e60c234
Fundamentos de las Ciencias Empresariale,L,2020-05-26,EXAMEN PARCIAL,1:48:17,https://ca.bbcollab.com/recording/3d74ac6e31114845b20d7f302652a6e0
Fundamentos de las Ciencias Empresariale,L,2020-05-26,EXAMEN PARCIAL,0:00:02,https://ca.bbcollab.com/recording/40e1eb02f0984937957590f131457bee
Fundamentos de las Ciencias Empresariale,L,2020-05-28,Sesión 16,2:44:30,https://ca.bbcollab.com/recording/8bf6a2aca01245a08dbc81c795d618ec
Fundamentos de las Ciencias Empresariale,L,2020-06-02,Sesión 17,2:00:41,https://ca.bbcollab.com/recording/dde108788bcc4d11ae165e38d26c03e2
Fundamentos de las Ciencias Empresariale,L,2020-06-04,Sesión 18,2:28:41,https://ca.bbcollab.com/recording/452bd4ad6c5b41169230c723be0c7602
