Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Fundamentos de las Ciencias Empresariale,M,2020-03-31,Sesión 1 - Ma. 31 de marzo / 2:30pm,1:42:06,https://ca.bbcollab.com/recording/12804dda47fd496792aca7f8e3220893
Fundamentos de las Ciencias Empresariale,M,2020-04-02,Sesión 2 - Jue. 02 de abril / 2:30pm,1:40:38,https://ca.bbcollab.com/recording/424fee6452cc49338fa882a6f77d1dee
Fundamentos de las Ciencias Empresariale,M,2020-04-07,Sesión 3 - Ma. 07 de abril / 2:30pm,1:21:35,https://ca.bbcollab.com/recording/791e6ac2ec0048f0bf425ed24f375517
Fundamentos de las Ciencias Empresariale,M,2020-04-14,Sesión 5 - Ma. 14 de abril / 2:30pm,1:35:59,https://ca.bbcollab.com/recording/e8348416cda1435caf4a1ffced0b65ff
Fundamentos de las Ciencias Empresariale,M,2020-04-16,Sesión 6 - Jue. 16 de abril / 2:30pm,0:52:52,https://ca.bbcollab.com/recording/3bd5e2d4d4c64a29ac946c507a2ab081
Fundamentos de las Ciencias Empresariale,M,2020-04-21,Sesión 7 - Mar. 21 de abril / 2:30pm,1:46:40,https://ca.bbcollab.com/recording/2fbb4c04cc54433196bac51a14ec3234
Fundamentos de las Ciencias Empresariale,M,2020-04-23,Sesión 8 - Jue. 23 de abril / 2:30pm,1:34:55,https://ca.bbcollab.com/recording/9f09ef4a17d34ef48ccc993a4cb23965
Fundamentos de las Ciencias Empresariale,M,2020-04-28,Sesión 9 - Ma. 28 de abril / 2:30pm,1:38:53,https://ca.bbcollab.com/recording/759623efc11441fc9a72d55a5deeed9d
Fundamentos de las Ciencias Empresariale,M,2020-04-30,Sesión 10 - Jue. 30 de abril / 2:30pm,1:19:04,https://ca.bbcollab.com/recording/3108539426d74418b307ce2af2a3eb45
Fundamentos de las Ciencias Empresariale,M,2020-05-05,Sesión 11 - Ma. 05 de mayo / 2:30pm,1:29:55,https://ca.bbcollab.com/recording/eea13c61a11242e98f694cdce96e0701
Fundamentos de las Ciencias Empresariale,M,2020-05-07,Sesión 12 - Jue. 07 de mayo / 2:30pm,1:33:33,https://ca.bbcollab.com/recording/df7400be7bdf478bb36aa66a66ea1d35
Fundamentos de las Ciencias Empresariale,M,2020-05-12,Sesión 13 - Ma. 12 de mayo / 2:30pm,1:37:08,https://ca.bbcollab.com/recording/853432996cca4cffb00eb4c04715223b
Fundamentos de las Ciencias Empresariale,M,2020-05-14,Sesión 14 - Jue. 14 de mayo / 2:30pm,1:50:54,https://ca.bbcollab.com/recording/ec4f37e004654eaa8ec2d63070a68681
Fundamentos de las Ciencias Empresariale,M,2020-05-26,Sesión 15 - Ma. 26 de mayo / 2:30pm,1:51:45,https://ca.bbcollab.com/recording/6b5259be9c444e95b868ceee58df4a56
Fundamentos de las Ciencias Empresariale,M,2020-05-28,Sesión 16 - Jue. 28 de mayo / 2:30pm,1:22:43,https://ca.bbcollab.com/recording/8df3924c5737405ca4e7396c53562e80
Fundamentos de las Ciencias Empresariale,M,2020-06-02,Sesión 17 - Ma. 02 de junio / 2:30pm,1:30:22,https://ca.bbcollab.com/recording/e394b8dd9dd040b58115f45eff7eb5a4
Fundamentos de las Ciencias Empresariale,M,2020-06-04,Sesión 18 - Jue. 04 de junio / 2:30pm,1:42:13,https://ca.bbcollab.com/recording/f3ce3cf65ce74839b597b127c2d4bf7c
Fundamentos de las Ciencias Empresariale,M,2020-06-09,Sesión 19 - Ma. 09 de junio / 2:30pm,1:44:40,https://ca.bbcollab.com/recording/f9ba7f82dbe94446999636c342782ce9
Fundamentos de las Ciencias Empresariale,M,2020-06-11,Sesión 20 - Jue. 11 de junio / 2:30pm,1:42:54,https://ca.bbcollab.com/recording/4d683024f522429ba8fbe9a47a52efe9
Fundamentos de las Ciencias Empresariale,M,2020-06-16,Sesión 21 - Ma. 16 de junio / 2:30pm,1:40:35,https://ca.bbcollab.com/recording/d551f43c1b6348f7a88356b9eeae7cd1
Fundamentos de las Ciencias Empresariale,M,2020-06-18,Sesión 22 - Jue. 18 de junio / 2:30pm,1:37:24,https://ca.bbcollab.com/recording/221a54eaa13d4e7ebcfc52f1c44a1a1e
Fundamentos de las Ciencias Empresariale,M,2020-06-23,Sesión 23 - Ma. 23 de junio / 2:30pm,1:35:47,https://ca.bbcollab.com/recording/491288f47b77485080a2984718c01ab7
Fundamentos de las Ciencias Empresariale,M,2020-06-25,Sesión 24 - Jue. 25 de junio / 2:30pm,1:38:40,https://ca.bbcollab.com/recording/3f448f4ea6e94fe5a6659500ebfa4b0b
Fundamentos de las Ciencias Empresariale,M,2020-06-30,Sesión 25 - Exposiciones de Trabajo Final,1:25:52,https://ca.bbcollab.com/recording/25618ca562da48b2a9ace1c0390e3ac2
Fundamentos de las Ciencias Empresariale,M,2020-07-02,Sesión 26 - Exposiciones de Trabajo Final,1:44:30,https://ca.bbcollab.com/recording/82854e7d06bd409ca4767d044012ef75
Fundamentos de las Ciencias Empresariale,M,2020-07-07,Sesión 27 - Empresario Invitado,1:41:36,https://ca.bbcollab.com/recording/44d9a91d6a16473eb025e3ff30a78678
