Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Fundamentos de las Ciencias Empresariale,N,2020-03-30,SESIONES DE LOS LUNES - PRIMERA MITAD DEL CURSO,1:54:29,https://ca.bbcollab.com/recording/379a29374d15473bb1c3a343c9e83e80
Fundamentos de las Ciencias Empresariale,N,2020-04-01,SESIONES DE LOS MIÉRCOLES - PRIMERA MITAD DEL CURSO,1:50:41,https://ca.bbcollab.com/recording/123ebd94c7dc4b65a4479039e33d0658
Fundamentos de las Ciencias Empresariale,N,2020-04-06,SESIONES DE LOS LUNES - PRIMERA MITAD DEL CURSO,1:45:21,https://ca.bbcollab.com/recording/b9a78b6a046c47b0960d9cad00dfbe86
Fundamentos de las Ciencias Empresariale,N,2020-04-08,SESIONES DE LOS MIÉRCOLES - PRIMERA MITAD DEL CURSO,1:46:01,https://ca.bbcollab.com/recording/3cdaafc0f81349e49dd0c7705265e29e
Fundamentos de las Ciencias Empresariale,N,2020-04-13,SESIONES DE LOS LUNES - PRIMERA MITAD DEL CURSO,1:51:26,https://ca.bbcollab.com/recording/e69f07484f6f48d0aa807835051f16c4
Fundamentos de las Ciencias Empresariale,N,2020-04-15,SESIONES DE LOS MIÉRCOLES - PRIMERA MITAD DEL CURSO,1:38:20,https://ca.bbcollab.com/recording/6fd977c0b3ef4616b4a65bd9e8543acd
Fundamentos de las Ciencias Empresariale,N,2020-04-20,SESIONES DE LOS LUNES - PRIMERA MITAD DEL CURSO,0:51:49,https://ca.bbcollab.com/recording/321e1c5d7cfa46e092bd22a819360422
Fundamentos de las Ciencias Empresariale,N,2020-04-22,SESIONES DE LOS MIÉRCOLES - PRIMERA MITAD DEL CURSO,1:18:35,https://ca.bbcollab.com/recording/7d0f17456748484da404b4c89b86395d
Fundamentos de las Ciencias Empresariale,N,2020-04-27,SESIONES DE LOS LUNES - PRIMERA MITAD DEL CURSO,1:57:39,https://ca.bbcollab.com/recording/5cb8dfe7f6704c2494f64bc02022d896
Fundamentos de las Ciencias Empresariale,N,2020-04-29,SESIONES DE LOS MIÉRCOLES - PRIMERA MITAD DEL CURSO,0:59:02,https://ca.bbcollab.com/recording/279622554f7f448bb192ae4d67db79bd
Fundamentos de las Ciencias Empresariale,N,2020-05-04,SESIONES DE LOS LUNES - PRIMERA MITAD DEL CURSO,1:52:20,https://ca.bbcollab.com/recording/8093a5a8845f48e5b10fdecd526b9d46
Fundamentos de las Ciencias Empresariale,N,2020-05-06,SESIONES DE LOS MIÉRCOLES - PRIMERA MITAD DEL CURSO,1:19:00,https://ca.bbcollab.com/recording/30099d07441b480baa353aa39a3ef1ed
Fundamentos de las Ciencias Empresariale,N,2020-05-11,SESIONES DE LOS LUNES - PRIMERA MITAD DEL CURSO,1:39:42,https://ca.bbcollab.com/recording/86a3e30fb95b4d8088a2463181c611e0
Fundamentos de las Ciencias Empresariale,N,2020-05-13,SESIONES DE LOS MIÉRCOLES - PRIMERA MITAD DEL CURSO,1:09:06,https://ca.bbcollab.com/recording/05b5b9739cac41469b3504e6b96ce382
Fundamentos de las Ciencias Empresariale,N,2020-05-27,SESIONES DE LOS MIÉRCOLES - SEGUNDA MITAD DEL CURSO,1:44:26,https://ca.bbcollab.com/recording/44bd73588f29492ea23bfc8b7385a620
Fundamentos de las Ciencias Empresariale,N,2020-06-01,SESIONES DE LOS LUNES - SEGUNDA MITAD DEL CURSO,1:44:54,https://ca.bbcollab.com/recording/3ac8516cd0954101a2e4e065add59659
Fundamentos de las Ciencias Empresariale,N,2020-06-03,SESIONES DE LOS MIÉRCOLES - SEGUNDA MITAD DEL CURSO,1:39:54,https://ca.bbcollab.com/recording/b990c955e13a45e28be8f44bb59b3f29
Fundamentos de las Ciencias Empresariale,N,2020-06-08,SESIONES DE LOS LUNES - SEGUNDA MITAD DEL CURSO,1:19:23,https://ca.bbcollab.com/recording/c08368464b4e4130b365b1a80ee0d3c4
Fundamentos de las Ciencias Empresariale,N,2020-06-10,SESIONES DE LOS MIÉRCOLES - SEGUNDA MITAD DEL CURSO,1:31:07,https://ca.bbcollab.com/recording/24f1cee912274d90ae1712a7182f8c0c
Fundamentos de las Ciencias Empresariale,N,2020-06-15,SESIONES DE LOS LUNES - SEGUNDA MITAD DEL CURSO,1:47:59,https://ca.bbcollab.com/recording/6acab35f8a8a4242b9097c347aff01a4
Fundamentos de las Ciencias Empresariale,N,2020-06-17,SESIONES DE LOS MIÉRCOLES - SEGUNDA MITAD DEL CURSO,1:45:28,https://ca.bbcollab.com/recording/2261dea866c34effbb50cbc70825ef33
Fundamentos de las Ciencias Empresariale,N,2020-06-22,SESIONES DE LOS LUNES - SEGUNDA MITAD DEL CURSO,1:17:12,https://ca.bbcollab.com/recording/146a782d761b4a2488a48564085c8fe3
Fundamentos de las Ciencias Empresariale,N,2020-06-24,SESIONES DE LOS MIÉRCOLES - SEGUNDA MITAD DEL CURSO,1:48:10,https://ca.bbcollab.com/recording/1412a082a42d4618b0edf8ecb59d146f
Fundamentos de las Ciencias Empresariale,N,2020-07-01,SESIONES DE LOS MIÉRCOLES - SEGUNDA MITAD DEL CURSO,1:39:15,https://ca.bbcollab.com/recording/b9ce8a2b25ee4627bb4b6ca91eeb47fb
Fundamentos de las Ciencias Empresariale,N,2020-07-06,SESIONES DE LOS LUNES - SEGUNDA MITAD DEL CURSO,1:33:21,https://ca.bbcollab.com/recording/ae29f18e3d4d413686901618defa45f3
Fundamentos de las Ciencias Empresariale,N,2020-07-08,SESIONES DE LOS MIÉRCOLES - SEGUNDA MITAD DEL CURSO,1:11:15,https://ca.bbcollab.com/recording/ada524590ef8407f86fa6db1efa51b2d
Fundamentos de las Ciencias Empresariale,N,2020-07-08,SESIONES DE LOS MIÉRCOLES - SEGUNDA MITAD DEL CURSO,1:11:15,https://ca.bbcollab.com/recording/ada524590ef8407f86fa6db1efa51b2d
