Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Fundamentos de las Ciencias Empresariale,O,2020-03-31,FCE - Sesión Martes,1:31:03,https://ca.bbcollab.com/recording/eb21036670914cc0ba79a198a3bba823
Fundamentos de las Ciencias Empresariale,O,2020-04-02,FCE - Sesión Viernes,1:36:31,https://ca.bbcollab.com/recording/44d8cd909e94475ea01cf1db079d5ad3
Fundamentos de las Ciencias Empresariale,O,2020-04-07,FCE - Sesión Martes,1:49:25,https://ca.bbcollab.com/recording/abe4a5d0cd16472dacdeda33a75548c3
Fundamentos de las Ciencias Empresariale,O,2020-04-14,FCE - Sesión Martes,2:00:08,https://ca.bbcollab.com/recording/f3f52db0f5ad4d7096e501d08b108b8c
Fundamentos de las Ciencias Empresariale,O,2020-04-16,FCE - Sesión Viernes,1:32:29,https://ca.bbcollab.com/recording/c0b5a6da6e394e41b9ed1138f8c6d885
Fundamentos de las Ciencias Empresariale,O,2020-04-21,FCE - Sesión Martes,1:13:03,https://ca.bbcollab.com/recording/03af94a2b3754146950c326e666da0b1
Fundamentos de las Ciencias Empresariale,O,2020-04-23,FCE - Sesión Viernes,1:32:23,https://ca.bbcollab.com/recording/79035f9f40b443f4b78e764d015ab9bd
Fundamentos de las Ciencias Empresariale,O,2020-04-28,FCE - Sesión Martes,1:47:15,https://ca.bbcollab.com/recording/6f95f18817e64e5fbd8a740e6e7d3add
Fundamentos de las Ciencias Empresariale,O,2020-04-30,FCE - Sesión Jueves,1:34:56,https://ca.bbcollab.com/recording/bb9b15bac10e4cfebb05291fe3febff0
Fundamentos de las Ciencias Empresariale,O,2020-05-05,FCE - Sesión Martes,1:44:11,https://ca.bbcollab.com/recording/3deffb5d3dd2483cae6891890ff20cbf
Fundamentos de las Ciencias Empresariale,O,2020-05-07,FCE - Sesión Jueves,1:35:36,https://ca.bbcollab.com/recording/c0799cfff56e4dd4bb88e4144a4ccea7
Fundamentos de las Ciencias Empresariale,O,2020-05-12,FCE - Sesión Martes,1:58:07,https://ca.bbcollab.com/recording/f9568abe140b495c9eabb279d8307d8b
Fundamentos de las Ciencias Empresariale,O,2020-05-14,FCE - Sesión Jueves,1:51:41,https://ca.bbcollab.com/recording/1bab91fedb6348a2a8f49ccbd2a11657
Fundamentos de las Ciencias Empresariale,O,2020-05-26,FCE - Sesión Martes,1:48:04,https://ca.bbcollab.com/recording/d5ed78c2dddd4e0bab7db2e77c6bff2c
Fundamentos de las Ciencias Empresariale,O,2020-05-28,FCE - Sesión Jueves,1:47:27,https://ca.bbcollab.com/recording/f9f1bf800d934fd2b08c5b6a4c690f70
Fundamentos de las Ciencias Empresariale,O,2020-06-02,FCE - Sesión Martes,1:32:30,https://ca.bbcollab.com/recording/314ffc29297f46f79bd46995a2cd0f43
Fundamentos de las Ciencias Empresariale,O,2020-06-04,FCE - Sesión Jueves,1:37:30,https://ca.bbcollab.com/recording/0fc3d43b1abc48e582197a3abe584e88
Fundamentos de las Ciencias Empresariale,O,2020-06-09,Grupo 5,0:38:14,https://ca.bbcollab.com/recording/608bc09308674d79b07c2f2f4aa0bb78
Fundamentos de las Ciencias Empresariale,O,2020-06-09,FCE - Sesión Martes,1:42:54,https://ca.bbcollab.com/recording/b486ef6063ac43efb6ff6e3e571f6781
Fundamentos de las Ciencias Empresariale,O,2020-06-11,FCE - Sesión Jueves,1:35:08,https://ca.bbcollab.com/recording/66c18d0c21ff4c3da1260cefe6823328
Fundamentos de las Ciencias Empresariale,O,2020-06-16,FCE - Sesión Martes,1:35:28,https://ca.bbcollab.com/recording/cca03b24f58041df990f14fea3704fc2
Fundamentos de las Ciencias Empresariale,O,2020-06-18,FCE - Sesión Jueves,1:37:02,https://ca.bbcollab.com/recording/646601157cd2433bb54b06400fc994c6
Fundamentos de las Ciencias Empresariale,O,2020-06-23,FCE - Sesión Martes,1:35:16,https://ca.bbcollab.com/recording/0b286bbc1a4741deb04d959e094fac7f
Fundamentos de las Ciencias Empresariale,O,2020-06-23,Grupo 1: Mr Sushi,0:08:40,https://ca.bbcollab.com/recording/7e8a9f9d623549799cb185114e20a002
Fundamentos de las Ciencias Empresariale,O,2020-06-25,FCE - Sesión Jueves,1:38:19,https://ca.bbcollab.com/recording/179d11eebbb540b7a9e8a294fd4d5483
Fundamentos de las Ciencias Empresariale,O,2020-06-30,FCE - Sesión Martes,1:35:43,https://ca.bbcollab.com/recording/8d12129c9c84480dbdef29a85fe51f13
Fundamentos de las Ciencias Empresariale,O,2020-07-02,FCE - Sesión Jueves,1:59:10,https://ca.bbcollab.com/recording/c0ea27b59b2a4e67b594174b18b16a63
Fundamentos de las Ciencias Empresariale,O,2020-07-07,FCE - Sesión Martes,1:15:56,https://ca.bbcollab.com/recording/cb4cb23913ef4b8ca754e19cfbac2cff
Fundamentos de las Ciencias Empresariale,O,2020-07-09,FCE - Sesión Jueves,1:24:42,https://ca.bbcollab.com/recording/765ea2282ecc4ca5abb01878e0f1dcd4
Fundamentos de las Ciencias Empresariale,O,2020-07-09,FCE - Sesión Jueves,1:24:42,https://ca.bbcollab.com/recording/765ea2282ecc4ca5abb01878e0f1dcd4
