Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Fusiones y Adquisiciones,A,2020-03-30,Clase 1: Introducción,0:00:04,https://ca.bbcollab.com/recording/65f26d8a293545f3b1aa7af6f9063349
Fusiones y Adquisiciones,A,2020-03-30,Clase 1: Introducción,1:06:55,https://ca.bbcollab.com/recording/cb77373efc6d44c3b328a71246a89e26
Fusiones y Adquisiciones,A,2020-03-30,Clase 1: Introducción,1:20:23,https://ca.bbcollab.com/recording/fa7b8e32436a4ec78a0cf220ad6134dd
Fusiones y Adquisiciones,A,2020-04-13,Clase 3,0:46:59,https://ca.bbcollab.com/recording/1ddecd5365744988b7610148e92e932d
Fusiones y Adquisiciones,A,2020-04-13,Clase 3,1:54:41,https://ca.bbcollab.com/recording/b65f5b20edc845d2a30cc5be305cf4ce
Fusiones y Adquisiciones,A,2020-04-20,Clase 5,1:20:36,https://ca.bbcollab.com/recording/9f4dcde11be94e23bd4def14d2d9b32f
Fusiones y Adquisiciones,A,2020-04-20,Clase 5,1:12:26,https://ca.bbcollab.com/recording/f6e148ddbf73479bb69b403c2f21c1e1
Fusiones y Adquisiciones,A,2020-04-27,Clase Lunes 27,2:58:12,https://ca.bbcollab.com/recording/707f553285bd4889b2c051e150d869ec
Fusiones y Adquisiciones,A,2020-05-04,Lunes 4,0:48:13,https://ca.bbcollab.com/recording/4503bf0f558b4827ab492c115296a73f
Fusiones y Adquisiciones,A,2020-05-04,Lunes 4,0:00:15,https://ca.bbcollab.com/recording/d89f99db5f754715932a2ec78ae6aa94
Fusiones y Adquisiciones,A,2020-05-11,Clase Lunes 11,3:14:03,https://ca.bbcollab.com/recording/6e3b133b488f4aa5915586bf4d93068b
Fusiones y Adquisiciones,A,2020-06-08,Lunes 8 de junio,1:21:02,https://ca.bbcollab.com/recording/1a4c7a9467ca4ecdbe7cb41f4a065bcb
Fusiones y Adquisiciones,A,2020-06-08,Lunes 8 de junio,1:17:28,https://ca.bbcollab.com/recording/78c06d9908ca427a8ed470f0206d459d
Fusiones y Adquisiciones,A,2020-06-15,Lunes 15,1:06:00,https://ca.bbcollab.com/recording/b76bb8e92d804c4c9a86f22da932fd7f
Fusiones y Adquisiciones,A,2020-06-15,Lunes 15,1:06:32,https://ca.bbcollab.com/recording/c1469737d59a4380b72f61dcac40a003
Fusiones y Adquisiciones,A,2020-06-22,Lunes 22 de junio,2:10:59,https://ca.bbcollab.com/recording/0ed00889c9b246d98bcca338d0db0c2b
Fusiones y Adquisiciones,A,2020-06-22,Lunes 22 de junio,1:52:57,https://ca.bbcollab.com/recording/5449a0ff22af432fb4bcb636a143a019
Fusiones y Adquisiciones,A,2020-07-06,Clase lunes 6 de julio,2:49:08,https://ca.bbcollab.com/recording/4bf8c038b5eb43e18e7dac2f48fc4c7b
