Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Física,A,2020-03-30,Clase 1,1:38:06,https://ca.bbcollab.com/recording/c11b2e29abc54883adfdc53072484169
Física,A,2020-04-01,Clase 2,1:34:02,https://ca.bbcollab.com/recording/cd94abcbe28a46d8a949fbdfc9f76331
Física,A,2020-04-03,Lab 1,1:59:33,https://ca.bbcollab.com/recording/9f1dda0ddb3e4fdd80bde266369448f9
Física,A,2020-04-06,Clase 3,1:40:09,https://ca.bbcollab.com/recording/49c1c94f62f740dbb36f2693a95f2497
Física,A,2020-04-08,Clase 4,1:43:21,https://ca.bbcollab.com/recording/c1bc11845fee4887964f98ab6fd79f3c
Física,A,2020-04-13,Clase 5,1:19:49,https://ca.bbcollab.com/recording/6a86e22871ee4bec90ef85f9702526e5
Física,A,2020-04-17,Lab 2,1:46:04,https://ca.bbcollab.com/recording/a0114ce5673b47e3bf88a5024fcbb744
Física,A,2020-04-20,Clase 20/4/2020,1:45:48,https://ca.bbcollab.com/recording/0615f902862b4844826e700a3146ff90
Física,A,2020-04-24,Lab 3,2:23:53,https://ca.bbcollab.com/recording/f66ee2e224044485a176b77deb832e41
Física,A,2020-04-27,Asesoría,1:18:59,https://ca.bbcollab.com/recording/93b66187548f4ce8b7d1030ef1459ae5
Física,A,2020-04-27,Clase 27/4/2020,1:18:47,https://ca.bbcollab.com/recording/832e1a7f3f7d43fe81cad4b12826c51c
Física,A,2020-05-04,Clase 4/05/2020,1:35:29,https://ca.bbcollab.com/recording/91e9d56eaeab4e0d9dce26172c9c9298
Física,A,2020-05-06,Clase 8,0:56:52,https://ca.bbcollab.com/recording/f371828d476e4226b212f342f03ed609
Física,A,2020-05-08,Asesoría II PC1,1:00:04,https://ca.bbcollab.com/recording/cbdec79637b64ece9129ad7fa96dcdb3
Física,A,2020-05-08,Lab 4,1:55:24,https://ca.bbcollab.com/recording/fce4e974e1a84aeabd5df87d2b2d1cdb
Física,A,2020-05-11,Clase 11/05/2020,1:42:08,https://ca.bbcollab.com/recording/f252385f3b3d491181cff9972850241b
Física,A,2020-05-13,Clase 13/05/2020,1:39:39,https://ca.bbcollab.com/recording/76570584925b486fbce6182b986bfc17
Física,A,2020-05-15,Lab 5,2:14:26,https://ca.bbcollab.com/recording/8729ae6bcb6943d89a2e2170ee27eeba
Física,A,2020-05-25,Clase 25/05/2020,1:38:10,https://ca.bbcollab.com/recording/d4e53acdcb114053b11add5c6db94182
Física,A,2020-05-27,Clase 27/05/2020,1:33:48,https://ca.bbcollab.com/recording/47887d51e00746cd8be32a5eea73517e
Física,A,2020-05-29,Lab 6,1:49:56,https://ca.bbcollab.com/recording/f94d6ee9521e46baa5077ddfbb8d33b3
Física,A,2020-06-01,Clase 01/06/2020,1:18:50,https://ca.bbcollab.com/recording/ee31d9f49a954c1d9f1dff4637364c0f
Física,A,2020-06-01,Clase 01/06/2020,0:03:14,https://ca.bbcollab.com/recording/fd8a0b785cf44e13aa3c1a147610d543
Física,A,2020-06-03,Clase 3/6/2020,2:07:06,https://ca.bbcollab.com/recording/06167203b5dc44fb921769da3e576ee0
Física,A,2020-06-05,Lab 7,2:06:05,https://ca.bbcollab.com/recording/8ca054a65de348708c9d2107c5a4b815
Física,A,2020-06-10,Clase 10/06/2020,1:43:22,https://ca.bbcollab.com/recording/48f35a59dfb04a178fbf8e62686bd795
Física,A,2020-06-12,Lab 8,1:33:16,https://ca.bbcollab.com/recording/d669867c412049289218ece0d84e7550
Física,A,2020-06-15,Clase 15/06/2020,1:38:24,https://ca.bbcollab.com/recording/7afdc291ccad4891a8790cfca1920093
Física,A,2020-06-19,Lab 9,0:43:37,https://ca.bbcollab.com/recording/90ddbb4da7444ac9b0a67b6c68501ea6
Física,A,2020-06-24,Clase 24/06/2020,1:27:06,https://ca.bbcollab.com/recording/8389dca3f6ad4d86bf07ab469cac5de4
Física,A,2020-07-06,Clase 6/07/2020,2:01:36,https://ca.bbcollab.com/recording/a7ed3c7f92db4e99b1a6f404ceda04a3
Física,A,2020-07-10,Presentaciones de Trabajos Finales,2:15:01,https://ca.bbcollab.com/recording/f671c8fd62694af093fb3ce180982d14
