Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Física,C,2020-03-30,Sesion 1-a 30/03/20,2:08:35,https://ca.bbcollab.com/recording/07950fb669d34e1387c372a000d92e9b
Física,C,2020-04-01,sesión 2,2:10:45,https://ca.bbcollab.com/recording/538e6455beee4fa780dfe509c2f4709f
Física,C,2020-04-03,Laboratorio 1,2:20:30,https://ca.bbcollab.com/recording/02b4175f948044739684f155cac018fc
Física,C,2020-04-06,sesion 1 semana 2,2:00:48,https://ca.bbcollab.com/recording/24697b94be9e429c8fc5e8dec50f6082
Física,C,2020-04-08,sesión 2 semana 3  15/04/20,2:03:07,https://ca.bbcollab.com/recording/2e85c2a1eacb4759985891b2bd97bbcd
Física,C,2020-04-13,sesión 1 semana 3 13/04/20,2:02:39,https://ca.bbcollab.com/recording/74b24423df734175916b4e517aabdc5c
Física,C,2020-04-15,sesión 2 semana 3   15/04/20,1:53:59,https://ca.bbcollab.com/recording/cfe4515f981d4e06b6f007c96bdebc7a
Física,C,2020-04-15,sesión 2 semana 3  15/04/20,0:04:35,https://ca.bbcollab.com/recording/6e45024e44f948ac8df9ef142aeb4324
Física,C,2020-04-17,Laboratorio 2,2:26:40,https://ca.bbcollab.com/recording/959fabb055df44d7af4f424a5307f124
Física,C,2020-04-20,Sesión lunes - Semana 4,1:55:06,https://ca.bbcollab.com/recording/fd968e062b8542d98dcd77be5f62b475
Física,C,2020-04-22,Sesión miércoles - Semana 4,1:59:26,https://ca.bbcollab.com/recording/9e9965d609be430597332a4e6b377dee
Física,C,2020-04-24,semana 4 sesión 1 24/04/20,1:33:52,https://ca.bbcollab.com/recording/af278d92625f44288ddb06a220314c42
Física,C,2020-04-27,semana 5 sesión 1 27-04-20,2:00:04,https://ca.bbcollab.com/recording/0c8ce9be389248739c2d14722c78e617
Física,C,2020-04-29,Práctica Calificada 1,1:50:55,https://ca.bbcollab.com/recording/79c9933753b84bde93adc8108a534f95
