Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Garantías y Finanzas Corporativas,A,2020-03-30,Clases GFC,1:58:21,https://ca.bbcollab.com/recording/cb219db38eac49b58d317e42210dcd68
Garantías y Finanzas Corporativas,A,2020-04-01,Clases GFC,1:38:19,https://ca.bbcollab.com/recording/dd2d756f155949aa9beaade4223a1a91
Garantías y Finanzas Corporativas,A,2020-04-06,Clases GFC,1:37:44,https://ca.bbcollab.com/recording/8df3e9d44ee1489d8b6e4ef406117f3f
Garantías y Finanzas Corporativas,A,2020-04-08,Clase GFC Miércoles,1:36:46,https://ca.bbcollab.com/recording/2ea12cad4ac94561b88b178cf623baaa
Garantías y Finanzas Corporativas,A,2020-04-13,Clase GFC Lunes 1304,1:10:06,https://ca.bbcollab.com/recording/5b05f605cdc841f0b7350307e20aa78b
Garantías y Finanzas Corporativas,A,2020-04-15,Clase GFC Miercoles 1504,1:20:53,https://ca.bbcollab.com/recording/e14ea75b61d44dacb6fddeaaad50349c
Garantías y Finanzas Corporativas,A,2020-04-20,Clases GFC2004,1:22:42,https://ca.bbcollab.com/recording/ca1e16a7f9d94327a3d289e174db9aa4
Garantías y Finanzas Corporativas,A,2020-04-22,Clase 2204,0:50:41,https://ca.bbcollab.com/recording/11ef84e7cdd348ff94d7ea57c882e42d
Garantías y Finanzas Corporativas,A,2020-04-27,Clases GFC 2704,1:21:10,https://ca.bbcollab.com/recording/e2dbf39ad83049c7a0eab4722d28a7a7
Garantías y Finanzas Corporativas,A,2020-04-29,Clases GFC 2904,1:13:55,https://ca.bbcollab.com/recording/0fc1f1788be7452aa0d19fd46781f714
Garantías y Finanzas Corporativas,A,2020-05-04,Clase GFC 0405,1:30:20,https://ca.bbcollab.com/recording/910f39668020401ba19b74f30831c372
Garantías y Finanzas Corporativas,A,2020-05-06,Clases GFC 0605,1:36:08,https://ca.bbcollab.com/recording/9ae56eba941f4889b9c7d2e99a203aab
Garantías y Finanzas Corporativas,A,2020-05-11,Clases GFC 1105,1:18:21,https://ca.bbcollab.com/recording/500250e9d17c452c99ed2f8c444851c9
Garantías y Finanzas Corporativas,A,2020-05-13,Clases GFC 1305,1:19:55,https://ca.bbcollab.com/recording/0110636d7b244a58b48c40d19812f745
Garantías y Finanzas Corporativas,A,2020-05-25,Clases GFC 2505,0:52:19,https://ca.bbcollab.com/recording/ecbbf6092f044fa0aa23ac8db5290466
Garantías y Finanzas Corporativas,A,2020-05-27,Clases GFC 2705,1:26:32,https://ca.bbcollab.com/recording/ae065b23a4e846eab6722c4a640cb4bd
Garantías y Finanzas Corporativas,A,2020-06-01,Clases GFC 01/06,1:06:49,https://ca.bbcollab.com/recording/39134cbf6c1e4e89b7d3609506af7c7b
Garantías y Finanzas Corporativas,A,2020-06-03,Clases GFC 0306,1:36:54,https://ca.bbcollab.com/recording/0dadd0ca68e34bbb94b609c671cb20da
Garantías y Finanzas Corporativas,A,2020-06-08,Clases GFC 0806,1:27:00,https://ca.bbcollab.com/recording/8f72caea98cd44c49c7da7b2738224a8
Garantías y Finanzas Corporativas,A,2020-06-10,Clases GFC 1006,1:33:16,https://ca.bbcollab.com/recording/dcc22ef00ceb4bccb103729d13ba0e31
Garantías y Finanzas Corporativas,A,2020-06-15,Clases GFC 1506,1:21:32,https://ca.bbcollab.com/recording/13c025cd9e3a40199cccc440680c12c5
Garantías y Finanzas Corporativas,A,2020-06-17,Clases GFC 1706,1:06:20,https://ca.bbcollab.com/recording/d0d8710ec309473b90de12c75a2a0150
Garantías y Finanzas Corporativas,A,2020-06-22,GFC 2206,1:28:47,https://ca.bbcollab.com/recording/74adba11848c405eb51b8a3121796be8
Garantías y Finanzas Corporativas,A,2020-06-24,Clases GFC 2406,0:51:38,https://ca.bbcollab.com/recording/1d8d8b070a5542dd90f2ef106b56f630
Garantías y Finanzas Corporativas,A,2020-07-01,Clases GFC 0107,0:55:34,https://ca.bbcollab.com/recording/6be802655be24e0d89b90d4320408ffd
Garantías y Finanzas Corporativas,A,2020-07-01,Clases GFC 0107,0:55:34,https://ca.bbcollab.com/recording/6be802655be24e0d89b90d4320408ffd
Garantías y Finanzas Corporativas,A,2020-07-06,Clases GFC 0607,1:31:15,https://ca.bbcollab.com/recording/6795814a21af4ffcb1cf39a275fa793b
Garantías y Finanzas Corporativas,A,2020-07-06,Clases GFC 0607,1:31:15,https://ca.bbcollab.com/recording/6795814a21af4ffcb1cf39a275fa793b
Garantías y Finanzas Corporativas,A,2020-07-08,Clases GFC 0807,1:28:20,https://ca.bbcollab.com/recording/2e51ed91993b4b1296301872987f36cc
Garantías y Finanzas Corporativas,A,2020-07-08,Clases GFC 0807,1:28:20,https://ca.bbcollab.com/recording/2e51ed91993b4b1296301872987f36cc
