Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Gerencia I,A,2020-03-30,Sesión # 1 - Del 30.03.20,1:31:29,https://ca.bbcollab.com/recording/24733cefbb5c41e5b8a1a01f91afaa72
Gerencia I,A,2020-04-02,Sesión # 2 - Del 02.04.20,1:42:14,https://ca.bbcollab.com/recording/f0b57e9b19d7416dbd826a11cf932b92
Gerencia I,A,2020-04-06,Sesión # 3 - Del 06.04.10,1:38:49,https://ca.bbcollab.com/recording/c28a24673afe4e87aeca14642ed09b69
Gerencia I,A,2020-04-13,Sesión # 4 - Del 13.04.20,1:45:12,https://ca.bbcollab.com/recording/2392e36395f644dfbe3359ed18abcc42
Gerencia I,A,2020-04-16,Sesión # 5 - Del 16.04.20,1:38:21,https://ca.bbcollab.com/recording/0632c70b9f1442b4a7dab79d96e65a6f
Gerencia I,A,2020-04-20,Sesión # 6 - Del 20.04.20,1:00:17,https://ca.bbcollab.com/recording/600208d568db486889a80d7342566d11
Gerencia I,A,2020-04-23,Sesión # 7 - Del 23.04.20,1:52:18,https://ca.bbcollab.com/recording/94119719fc7f49519ed1dc83fafbbfd3
Gerencia I,A,2020-04-27,Sesión #8 - Del 27.04.20,1:21:38,https://ca.bbcollab.com/recording/86837d0da617407eae3195374103026a
Gerencia I,A,2020-04-30,Sesión # 9 - Del 30.04.20,1:25:34,https://ca.bbcollab.com/recording/bb46651908d14939a85a58403e54d0f7
Gerencia I,A,2020-05-04,Sesión # 10 - Del 04.05.20,1:34:02,https://ca.bbcollab.com/recording/c3d6a2342c4d4b0995997d4c7f46865d
Gerencia I,A,2020-05-07,Sesión # 11 - Del 07.05.20,0:36:31,https://ca.bbcollab.com/recording/5c4b86ed43064222971dd588b0a0d262
Gerencia I,A,2020-05-11,Sesión # 12 - Del 11.05.20,1:32:34,https://ca.bbcollab.com/recording/931fb5a72bc54e019e8ad8d63ba92c53
Gerencia I,A,2020-05-14,Sesión # 13 - Del 14.05.20,1:26:21,https://ca.bbcollab.com/recording/5b2546e173944969915f5004286e9285
Gerencia I,A,2020-05-25,Sesión # 14 - Del 25.05.20,0:48:01,https://ca.bbcollab.com/recording/4bc4f700a2684528925a75eb974670b9
Gerencia I,A,2020-05-28,Sesión # 15 - Del 28.05.20,1:33:12,https://ca.bbcollab.com/recording/5945dcc3aa2d4e22b68b32f10cf852fd
Gerencia I,A,2020-06-01,Sesión # 16 - Del 01.06.20,1:26:30,https://ca.bbcollab.com/recording/2695451f0b8a4ecb98282ef9a062120c
Gerencia I,A,2020-06-04,Sesión # 17 - Del 04.06.20,1:28:19,https://ca.bbcollab.com/recording/81895267d9704118b756942584d87f8f
Gerencia I,A,2020-06-08,Sesión # 18 - Del 08.06.20,1:19:38,https://ca.bbcollab.com/recording/aa067eea02c04772903b39e8ed2f7b62
Gerencia I,A,2020-06-11,Sesión # 19 - Del 11.06.20,1:25:57,https://ca.bbcollab.com/recording/3dfbb98e85e142c694b65b32ace93ba4
Gerencia I,A,2020-06-15,Sesión # 20 Del 15.06.20,1:23:52,https://ca.bbcollab.com/recording/57fe27bb68fa40b1b165181b3554fc77
Gerencia I,A,2020-06-18,Sesion # 21 - Del 18.0620,1:24:25,https://ca.bbcollab.com/recording/284536bac4494582bcd23285f09db384
Gerencia I,A,2020-06-22,Sesión # 22 - Del 22.06.20,1:28:21,https://ca.bbcollab.com/recording/f49e51b9f34241179417613c4c8847a9
Gerencia I,A,2020-06-25,Sesión # 23 - Del 25.06.20,1:19:25,https://ca.bbcollab.com/recording/e189e00589e44770ac7abc3d695fce80
Gerencia I,A,2020-07-02,Sesión # 24 - Del 02.07.20,1:17:31,https://ca.bbcollab.com/recording/90d5be5b43da43d695b43010cbc9df49
Gerencia I,A,2020-07-06,Sustentación - Grupo # 1 - de 7:30 a 8:00 am,0:31:07,https://ca.bbcollab.com/recording/8ce9b2a220eb485abba9b47774a853fe
Gerencia I,A,2020-07-06,Sustentación - Grupo # 2 - de 8:00 a 8:30 am,0:27:01,https://ca.bbcollab.com/recording/01a75d9bf21e41eba44f7529215c5c18
Gerencia I,A,2020-07-06,Sustentación - Grupo # 3 - de 8:30 a 9:00 am,0:29:19,https://ca.bbcollab.com/recording/0ad2563fbf36493cae3a4dcaa9496133
Gerencia I,A,2020-07-09,Sustentación - Grupo # 4 - de 7:30 a 8:00 am,0:48:08,https://ca.bbcollab.com/recording/e6048ea7af5a4d0b920a97b57088d668
Gerencia I,A,2020-07-09,Sustentación - Grupo # 4 - de 7:30 a 8:00 am,0:48:08,https://ca.bbcollab.com/recording/e6048ea7af5a4d0b920a97b57088d668
Gerencia I,A,2020-07-09,Sustentación - Grupo # 5 - de 8:00 a 8:30 am,1:01:39,https://ca.bbcollab.com/recording/b2832009da28424f8ef40a330011f721
Gerencia I,A,2020-07-09,Sustentación - Grupo # 5 - de 8:00 a 8:30 am,1:01:39,https://ca.bbcollab.com/recording/b2832009da28424f8ef40a330011f721
