Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Gerencia I,B,2020-03-30,Clase 01 - 30/03,1:53:30,https://ca.bbcollab.com/recording/f516e896bd8747b79ff8ac57c57be7dd
Gerencia I,B,2020-04-01,clase 01 de abril,1:34:57,https://ca.bbcollab.com/recording/2e8ebfc7a348451b98f516bd0551958a
Gerencia I,B,2020-04-06,Clases 06 abril,1:36:48,https://ca.bbcollab.com/recording/8ca39872f45d4b01a287fa5ea9577399
Gerencia I,B,2020-04-08,Clase 08 abril,2:13:52,https://ca.bbcollab.com/recording/15d60378731e42c19bdb8edb91078ed9
Gerencia I,B,2020-04-13,CLASE 13 DE ABRIL,1:36:25,https://ca.bbcollab.com/recording/6e52dd5e19e34e9c9559efd83e2f820e
Gerencia I,B,2020-04-15,Clase,2:04:01,https://ca.bbcollab.com/recording/6937392dd85441e5b09757c70d77c94c
Gerencia I,B,2020-04-20,ClASE 20 ABRIL,1:41:29,https://ca.bbcollab.com/recording/ef20bc954278470e993fcaa882450b53
Gerencia I,B,2020-04-22,CLASE 22 ABRIL,1:33:47,https://ca.bbcollab.com/recording/8b88f9ed34134fc19cef6ff9ed6fc8f0
Gerencia I,B,2020-04-27,CLASE 27 ABRIL,1:34:42,https://ca.bbcollab.com/recording/ae6b3afa294c48b089b8d5df888ea2d3
Gerencia I,B,2020-04-29,CLASE 29 DE ABRIL,1:22:16,https://ca.bbcollab.com/recording/ad968380b0464ae183ffa32e631ab354
Gerencia I,B,2020-05-04,CLASE 4 DE MAYO,1:54:31,https://ca.bbcollab.com/recording/bdebd17950fc4463a9635b21af8901ce
Gerencia I,B,2020-05-06,cLASE 6 DE MAYO,1:53:02,https://ca.bbcollab.com/recording/e6e540a84f5940068c26efcc693ae8df
Gerencia I,B,2020-05-11,CLASE 11 ABRIL,1:21:55,https://ca.bbcollab.com/recording/e64d392de40e4ca88300c761a19cc540
Gerencia I,B,2020-05-13,clase 13 abril,0:43:57,https://ca.bbcollab.com/recording/82a4abf9ae604ab4982bf7dd5d9045c1
Gerencia I,B,2020-05-18,EXAMEN PARCIAL,1:29:32,https://ca.bbcollab.com/recording/8a3e7efde24541afb0a2140bafd58c2d
Gerencia I,B,2020-05-25,CLASE 25DE MAYO,0:45:35,https://ca.bbcollab.com/recording/82fa237a37de456a9b062c16b66d3d00
Gerencia I,B,2020-05-27,CLASE 27 DE MAYO,1:12:53,https://ca.bbcollab.com/recording/2b7a903c0c8e4c4eb992a8e2ff519135
Gerencia I,B,2020-06-01,CLASE 1 DE JUNIO,2:18:21,https://ca.bbcollab.com/recording/492afe8fb21b412ca97f5e2bc07e982e
Gerencia I,B,2020-06-08,CLASE 08 JUNIO,1:29:28,https://ca.bbcollab.com/recording/7daf4bc0e798467fabd018c949b29f12
Gerencia I,B,2020-06-10,CLASE 10 DE JUNIO,1:12:17,https://ca.bbcollab.com/recording/74ae4544fa53493eb7eeb65184ce3a7b
Gerencia I,B,2020-06-15,CLASE  15 DE JUNIO,0:47:39,https://ca.bbcollab.com/recording/18bb714f4b914dffbca123ef458c1bbe
Gerencia I,B,2020-06-17,CLASE 17 DE JUNIO,1:28:43,https://ca.bbcollab.com/recording/1993406c449345e491df517aa11f0b29
Gerencia I,B,2020-06-22,CLASE 22 DE JUNIO,1:28:49,https://ca.bbcollab.com/recording/b51e6ce4bb914fb690c78f3dacc51c12
Gerencia I,B,2020-06-24,CLASE 24 DE JUNIO,2:07:39,https://ca.bbcollab.com/recording/70bdab1b3f2d46d0901b4759d3bbea2d
Gerencia I,B,2020-06-29,CLASE 29 DE JUNIO,0:57:24,https://ca.bbcollab.com/recording/0f6b96c2f55941479a208b71fd9ddad6
Gerencia I,B,2020-07-01,clase 01 de julio,1:50:08,https://ca.bbcollab.com/recording/3d27da5367754fda8b62bc4b19d0b098
Gerencia I,B,2020-07-06,CLASE 06 DE JULIO,1:28:42,https://ca.bbcollab.com/recording/8f1377840f3d4eb5a0368fcc791f5f84
