Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Gerencia I,C,2020-03-30,"Sesión 01 - 30/03, 14:30",1:26:17,https://ca.bbcollab.com/recording/6b7213d568c34ca891d1ce782e60c244
Gerencia I,C,2020-04-06,Gerencia I - C,1:13:50,https://ca.bbcollab.com/recording/85e78b696d414c038dd7e61ea1d3ca9c
Gerencia I,C,2020-04-08,Gerencia I - C,0:39:58,https://ca.bbcollab.com/recording/41c348d8bedb4bab84d1decea64b07d5
Gerencia I,C,2020-04-15,Gerencia I - C,0:01:37,https://ca.bbcollab.com/recording/de3c7799c92d4593a7ef34ea6f5d369d
Gerencia I,C,2020-04-20,Gerencia I - C,1:34:47,https://ca.bbcollab.com/recording/c233ba55b5f74c5398ce3b7b3be5e391
Gerencia I,C,2020-04-22,Gerencia I - C,1:28:08,https://ca.bbcollab.com/recording/4db2c2987f034d8f868586138fd551a9
Gerencia I,C,2020-04-27,Gerencia I - C,1:40:41,https://ca.bbcollab.com/recording/60b396335a42462c96e3641155b97836
Gerencia I,C,2020-04-29,Gerencia I - C,1:41:55,https://ca.bbcollab.com/recording/5d5ba3c74dfb4a7090cd490d110d7e41
Gerencia I,C,2020-05-04,Gerencia I - C,1:34:00,https://ca.bbcollab.com/recording/dd20ab2c637f4d84a0944a2ac7b9f175
Gerencia I,C,2020-05-06,Gerencia I - C,0:13:06,https://ca.bbcollab.com/recording/12147a016c4c47f9b4dd0a9dcc20df96
Gerencia I,C,2020-05-06,Gerencia I - C,0:37:45,https://ca.bbcollab.com/recording/804c81d191724b88bc17c2dc8abf3fcc
Gerencia I,C,2020-05-11,Gerencia I - C,1:25:52,https://ca.bbcollab.com/recording/abc2ed1b16e44404a3ec40288ce81610
Gerencia I,C,2020-05-13,Gerencia I - C,0:00:41,https://ca.bbcollab.com/recording/17a76f566c71454d9e4394d93a0f4479
Gerencia I,C,2020-05-13,Gerencia I - C,0:31:20,https://ca.bbcollab.com/recording/7fb4422c84854a9397e0c3f6d3361339
Gerencia I,C,2020-05-13,Gerencia I - C,0:11:14,https://ca.bbcollab.com/recording/8157a3570c6c4f50bbb69ec70e93d3d3
Gerencia I,C,2020-05-25,Gerencia I - C,0:21:15,https://ca.bbcollab.com/recording/dc2d5dd795e34156ace085283bab8c5b
Gerencia I,C,2020-05-27,Gerencia I - C,1:20:38,https://ca.bbcollab.com/recording/f6a49c4cf9ea4a26be466efe57173848
Gerencia I,C,2020-06-01,Gerencia I - C,1:33:17,https://ca.bbcollab.com/recording/0aa3b298e4634ce3baa23cce11587233
Gerencia I,C,2020-06-03,Gerencia I - C,1:40:39,https://ca.bbcollab.com/recording/3fa6874547b6466d8ebfd46c06ff897a
Gerencia I,C,2020-06-08,Gerencia I - C,1:23:58,https://ca.bbcollab.com/recording/022c59d4e70a410695452b220afe1011
Gerencia I,C,2020-06-17,Gerencia I - C,1:46:14,https://ca.bbcollab.com/recording/1b29d07a3ace482c95621ff6b3d9003b
Gerencia I,C,2020-06-22,Gerencia I - C,1:45:52,https://ca.bbcollab.com/recording/dceb35307ba7443b9270d2fb74d2eefb
Gerencia I,C,2020-06-24,Gerencia I - C,1:37:25,https://ca.bbcollab.com/recording/119f86262795494dabd105ff7991c8bc
Gerencia I,C,2020-07-01,Gerencia I - C,0:58:45,https://ca.bbcollab.com/recording/5a091b8d684849e9b0781c7124347220
Gerencia I,C,2020-07-06,Gerencia I - C,1:19:48,https://ca.bbcollab.com/recording/78cb2ddbb294424c97489769fdb07459
Gerencia I,C,2020-07-08,Gerencia I - C - Sustentación Final,1:24:25,https://ca.bbcollab.com/recording/4b3e5c7a270c4756be0f61b7707d285c
